curve,rank,conductor,series,alpha,mode,n,zero_index,gamma,cycles_over_logK_range,median_abs_phase_step_rad,intercept,cos_coef,sin_coef,amplitude,phase_rad_for_amp_cos_gamma_u_minus_phase,rss_constant,rss_zero_model,rmse_zero_model,r2_vs_constant,adjusted_r2_vs_constant,const_loo_rmse,zero_model_loo_rmse,loo_skill_vs_constant,series_range
389a1,2,389,product_residual_logP_plus_rank_loglogK,0.75,all,7,5,7.4749074957854305,8.2179387029877269,2.7164000325981572,-1.7523268691195317,-0.014525387949056721,-0.010732896987154395,0.018060508653065951,-2.5052295649335266,0.026996886696179168,0.025833742260598459,0.06074977044118704,0.043084391495606278,-0.43537341275659047,0.072452706197685762,0.10633716353254909,-1.1540754950984962,0.20635909380823936
389a1,2,389,product_residual_logP_plus_rank_loglogK,0.75,all,7,6,8.6332052445633263,9.4913751842595566,3.081825242087934,-1.7553592802692743,0.016497570382770995,0.049222815274255254,0.051913922718842383,1.2474017315843793,0.026996886696179168,0.018661243559240173,0.051632276117117966,0.30876312630962466,-0.036855310535562902,0.072452706197685762,0.0930584740366171,-0.6496910961270046,0.20635909380823936
389a1,2,389,product_residual_logP_plus_rank_loglogK,0.75,all,7,7,9.6330788021849134,10.59063957139818,1.9833518645705581,-1.7671918323913098,-0.089140337905575198,0.035775592688917508,0.096051511566260406,2.7599315465630294,0.026996886696179168,0.01069934331817801,0.039095749345454074,0.60368232683317991,0.40552349024976986,0.072452706197685762,0.080575190682514952,-0.23678286821510697,0.20635909380823936
389a1,2,389,product_residual_logP_plus_rank_loglogK,0.75,all,7,8,10.351433312881497,11.380400961655889,1.194158771499124,-1.7474660527085839,-0.015746584951866729,-0.029721849045024087,0.033635446307453021,-2.0579974219422059,0.026996886696179168,0.023159082940157682,0.057519043976951893,0.14215727165920378,-0.28676409251119428,0.072452706197685762,0.093201828507889731,-0.65477763448905613,0.20635909380823936
389a1,2,389,s1_proxy_all_adjusted,0.75,all,7,1,2.876099071260465,3.1619930928462825,3.1234675240659033,-2.4383362347466142,-0.0081377311516146397,-0.040924849504576297,0.041726082673409187,-1.7670817557325396,0.027023095853340569,0.016419556002478256,0.048431919820474741,0.39238804866806232,0.088582073002093531,0.072487866987322611,0.078171775881551997,-0.16297215217598282,0.20813927495151052
389a1,2,389,s1_proxy_all_adjusted,0.75,all,7,2,4.4168960836652582,4.8559505644040923,1.4307289918948891,-2.4525980717871199,0.045711336479066902,-0.037602078103773473,0.059189885626048926,-0.68836944324885974,0.027023095853340569,0.015964355141534301,0.047755859986773654,0.40923293066879296,0.11384939600318944,0.072487866987322611,0.080737687534514949,-0.24057199101489291,0.20813927495151052
389a1,2,389,s1_proxy_all_adjusted,0.75,all,7,3,5.7934026339283653,6.3692865435719108,0.69191390858041046,-2.409199306627321,0.047721499186242411,0.0016865698864700774,0.04775129320305873,0.035327226438708753,0.027023095853340569,0.025799274285518262,0.060709230041377515,0.045287985302062239,-0.43206802204690664,0.072487866987322611,0.14970059769204347,-3.2649743895014476,0.20813927495151052
389a1,2,389,s1_proxy_all_adjusted,0.75,all,7,4,6.9859666528286892,7.6803954786640594,2.127728554754043,-2.4452525715066891,0.049046128753989851,-0.029071503856790519,0.057014691810517888,-0.5350626770019794,0.027023095853340569,0.013423418868467417,0.043790766914087231,0.5032612495134221,0.25489187427013327,0.072487866987322611,0.080382558040590524,-0.22968253420688955,0.20813927495151052
389a1,2,389,s1_proxy_all_adjusted,0.75,all,7,5,7.4749074957854305,8.2179387029877269,2.7164000325981572,-2.441881217505244,-0.014189995021844403,-0.010156249918929331,0.017450082267305246,-2.5203853825436693,0.027023095853340569,0.025933032864470077,0.060866402724644261,0.04033819791730997,-0.43949270312403499,0.072487866987322611,0.10658269137763315,-1.1619354573386853,0.20813927495151052
389a1,2,389,s1_proxy_all_adjusted,0.75,all,7,6,8.6332052445633263,9.4913751842595566,3.081825242087934,-2.444768746629518,0.01597795507646934,0.049558935054962998,0.052070942878036236,1.2589150106833797,0.027023095853340569,0.018649692200982202,0.051616293386850795,0.3098610054822144,-0.035208491776678397,0.072487866987322611,0.093295951663850796,-0.65651341455520829,0.20813927495151052
389a1,2,389,s1_proxy_all_adjusted,0.75,all,7,7,9.6330788021849134,10.59063957139818,1.9833518645705581,-2.4567106708021753,-0.08965836770738006,0.035751809522197212,0.096523648833139547,2.7621591746369898,0.027023095853340569,0.010571747359337363,0.038861930250085115,0.60878844464334403,0.41318266696501615,0.072487866987322611,0.080228682484749764,-0.22497910154959833,0.20813927495151052
389a1,2,389,s1_proxy_all_adjusted,0.75,all,7,8,10.351433312881497,11.380400961655889,1.194158771499124,-2.43651286492035,-0.016945181799796458,-0.030897889021958419,0.035239448523514266,-2.0724296950081733,0.027023095853340569,0.0228479517341178,0.057131367083888086,0.15450280537367234,-0.26824579193949161,0.072487866987322611,0.092548494951350341,-0.63007685147140924,0.20813927495151052
