mode,alpha,curve,rank,conductor,window,n,K_min,K_max,slope_logP_vs_loglogK,expected_slope,slope_error_vs_minus_rank,intercept,r2,rmse_logP,adjusted_mean,adjusted_sd_pop,adjusted_min,adjusted_max,adjusted_range,adjusted_first,adjusted_last,adjusted_endpoint_drift,adjusted_last_step,P_first,P_last
c_only,0.85,37a1,1,37,all,7,1000,1000000,-1.2026477017694837,-1.0,-0.20264770176948366,-1.6112907796574585,0.9502808081392118,0.06339426061034714,-2.0794097435804546,0.07873833215534987,-2.1911478776084796,-1.915786761905876,0.2753611157026037,-1.915786761905876,-2.074137218841371,-0.1583504569354952,0.026222473306978245,0.02131313998384076,0.00909592167665068
c_only,0.85,389a1,2,389,all,7,1000,1000000,-1.752342597535303,-2.0,0.24765740246469692,-2.4014389151242277,0.9492362650843601,0.09338650131500659,-1.8293469267260047,0.10944545259542728,-2.0149314081234433,-1.6439954696165193,0.37093593850692397,-1.9270720839560243,-1.7921902407511192,0.13488184320490504,-0.1481947711345999,0.003050769113509466,0.0008728262313004274
c_only,0.92,11a1,0,11,all,7,1000,1000000,-0.02641051079668,-0.0,-0.02641051079668,-1.6747168978194464,0.016754811178087636,0.04662441661807632,-1.735725539135707,0.047019986033703574,-1.814141226245412,-1.6511821851285466,0.16295904111686532,-1.6511821851285466,-1.7398395378110318,-0.0886573526824852,-0.020672555236579404,0.19182300422277243,0.17554856726446896
c_only,0.92,37a1,1,37,all,7,1000,1000000,-1.2026477017694837,-1.0,-0.20264770176948366,-1.6112907796574585,0.9502808081392118,0.06339426061034714,-2.0794097435804546,0.07873833215534987,-2.1911478776084796,-1.915786761905876,0.2753611157026037,-1.915786761905876,-2.074137218841371,-0.1583504569354952,0.026222473306978245,0.02131313998384076,0.00909592167665068
c_only,0.92,389a1,2,389,all,7,1000,1000000,-1.752342597535303,-2.0,0.24765740246469692,-2.4014389151242277,0.9492362650843601,0.09338650131500659,-1.8293469267260047,0.10944545259542728,-2.0149314081234433,-1.6439954696165193,0.37093593850692397,-1.9270720839560243,-1.7921902407511192,0.13488184320490504,-0.1481947711345999,0.003050769113509466,0.0008728262313004274
P_only,0,11a1,0,11,all,7,1000,1000000,-0.01753799444902787,-0.0,-0.01753799444902787,-1.6740602264041589,0.40688492968381373,0.004879654456705191,-1.7145732335543957,0.006336064502854607,-1.7241506299151916,-1.7037218468621291,0.020428783053062505,-1.7077894936548645,-1.714996910060282,-0.007207416405417444,0.0023596830606678054,0.18126603981082226,0.17996427679101973
P_only,0,37a1,1,37,all,7,1000,1000000,-1.1261941081323814,-1.0,-0.1261941081323814,-1.7169642357207948,0.9992771023228018,0.006980461906897441,-2.0084743522249267,0.02990738513234817,-2.0373652564726257,-1.9572460036000372,0.08011925287258848,-1.9572460036000372,-2.0373652564726257,-0.08011925287258848,-0.0008459247985905805,0.020447580069275585,0.009436622291580193
P_only,0,389a1,2,389,all,7,1000,1000000,-2.276367355322409,-2.0,-0.27636735532240886,-0.9432757062604349,0.9968853316012554,0.029322508320033573,-1.5816880785992493,0.07011459677682591,-1.656396004821966,-1.4251408770680118,0.23125512775395407,-1.4251408770680118,-1.656396004821966,-0.23125512775395407,-0.02861111943855299,0.00503959103066728,0.0009997754704186895
P_only,0.25,11a1,0,11,all,7,1000,1000000,-0.021401930942045795,-0.0,-0.021401930942045795,-1.6646631599447477,0.3182147466197399,0.007219249860066363,-1.7141019132642323,0.00874315688617418,-1.7269682542550326,-1.6998008002740168,0.027167453981015832,-1.7039044398783936,-1.7127119668655828,-0.00880752698718923,0.004452902518600199,0.1819716378790515,0.18037595509221555
P_only,0.25,37a1,1,37,all,7,1000,1000000,-1.055481236480764,-1.0,-0.055481236480763974,-1.918735520836547,0.9994379668693811,0.005768050018894826,-2.0468979362587834,0.014026486773239968,-2.066745887441531,-2.025177480852133,0.04156840658939798,-2.025177480852133,-2.058250914294156,-0.03307343344202307,0.00012203012069367247,0.01910467489900059,0.00924157615093333
P_only,0.25,389a1,2,389,all,7,1000,1000000,-2.176856432557859,-2.0,-0.1768564325578592,-1.2555714894183119,0.9953196615266849,0.03440032856047549,-1.6641122685596303,0.053333578868466285,-1.7285536334011349,-1.5419813321730853,0.18657230122804958,-1.5419813321730853,-1.7285536334011349,-0.18657230122804958,-0.060208523659084356,0.004483860880529448,0.0009301753303265424
P_only,0.5,11a1,0,11,all,7,1000,1000000,-0.031115475107294868,-0.0,-0.031115475107294868,-1.6397256502047028,0.13336493527026438,0.01827886392403165,-1.7116028234566725,0.01963500749130796,-1.733319777932605,-1.6843766077548605,0.04894317017774452,-1.689586154489066,-1.6992945393171357,-0.009708384828069683,0.011008306044297145,0.18459590237300819,0.18281244556554344
P_only,0.5,37a1,1,37,all,7,1000,1000000,-0.9370553681424573,-1.0,0.06294463185754273,-2.227643928763354,0.9964712057102034,0.012850543940930124,-2.082240967898863,0.01937904597520566,-2.1069001062719668,-2.0598424760180203,0.04705763025394649,-2.1069001062719668,-2.0633464227073555,0.04355368356461131,-0.00350394668933518,0.017605483900973967,0.00919460539347974
P_only,0.5,389a1,2,389,all,7,1000,1000000,-2.0874491538022037,-2.0,-0.08744915380220375,-1.5188253234745241,0.9884955353445796,0.051896398600646494,-1.7208340653274004,0.055671927005952804,-1.7905551636980679,-1.6393592369230863,0.15119592677498161,-1.6393592369230863,-1.773901906994288,-0.1345426700712018,-0.12519362372358067,0.004067817334794412,0.0008889356267328838
P_only,0.65,11a1,0,11,all,7,1000,1000000,0.014256197780319169,-0.0,0.014256197780319169,-1.7422008978628982,0.011269354513018581,0.030772916095957448,-1.7092688859223153,0.030947790987690762,-1.7602069308016566,-1.6736330039558605,0.08657392684579612,-1.7001742304074696,-1.67604179089466,0.024132439512809523,0.014217275206624524,0.18265169780053192,0.18711314513621982
P_only,0.65,37a1,1,37,all,7,1000,1000000,-0.9456858130591204,-1.0,0.05431418694087964,-2.2256709256156917,0.9869776428862426,0.025033033507217004,-2.100204410599368,0.027987850119154112,-2.144181816122081,-2.0562278918673877,0.0879539242546934,-2.088300491191238,-2.0749272455216365,0.01337324566960163,-0.018699353654248796,0.017936003363807962,0.009088738493671233
