mode,alpha,window,n_curves,max_abs_slope_error,rms_slope_error,mean_abs_slope_error,max_adjusted_range,mean_adjusted_range,max_abs_adjusted_last_step,max_abs_adjusted_endpoint_drift,worst_slope_curve,worst_slope_error,worst_range_curve,worst_range
sharp,0.92,tail_ge_100000,3,0.20427308217882167,0.1769796958180443,0.17404967756663123,0.18546139515282611,0.08113817944647672,0.1481947711345999,0.037266624018226224,389a1,0.20427308217882167,389a1,0.18546139515282611
c_only,0,tail_ge_100000,3,0.20427308217882167,0.1769796958180443,0.17404967756663123,0.18546139515282611,0.08113817944647672,0.1481947711345999,0.037266624018226224,389a1,0.20427308217882167,389a1,0.18546139515282611
c_only,0.25,tail_ge_100000,3,0.20427308217882167,0.1769796958180443,0.17404967756663123,0.18546139515282611,0.08113817944647672,0.1481947711345999,0.037266624018226224,389a1,0.20427308217882167,389a1,0.18546139515282611
c_only,0.5,tail_ge_100000,3,0.20427308217882167,0.1769796958180443,0.17404967756663123,0.18546139515282611,0.08113817944647672,0.1481947711345999,0.037266624018226224,389a1,0.20427308217882167,389a1,0.18546139515282611
c_only,0.65,tail_ge_100000,3,0.20427308217882167,0.1769796958180443,0.17404967756663123,0.18546139515282611,0.08113817944647672,0.1481947711345999,0.037266624018226224,389a1,0.20427308217882167,389a1,0.18546139515282611
c_only,0.75,tail_ge_100000,3,0.20427308217882167,0.1769796958180443,0.17404967756663123,0.18546139515282611,0.08113817944647672,0.1481947711345999,0.037266624018226224,389a1,0.20427308217882167,389a1,0.18546139515282611
c_only,0.85,tail_ge_100000,3,0.20427308217882167,0.1769796958180443,0.17404967756663123,0.18546139515282611,0.08113817944647672,0.1481947711345999,0.037266624018226224,389a1,0.20427308217882167,389a1,0.18546139515282611
c_only,0.92,tail_ge_100000,3,0.20427308217882167,0.1769796958180443,0.17404967756663123,0.18546139515282611,0.08113817944647672,0.1481947711345999,0.037266624018226224,389a1,0.20427308217882167,389a1,0.18546139515282611
P_only,0,tail_ge_100000,3,0.23493700448940613,0.13616506023484823,0.08631818837337706,0.042833078912825506,0.015796030314885634,0.02861111943855299,0.042833078912825506,389a1,-0.23493700448940613,389a1,0.042833078912825506
P_only,0.25,tail_ge_100000,3,0.24121368506045826,0.1433860143570026,0.1080633760017131,0.060208523659084356,0.02511244484376829,0.060208523659084356,0.04397313136641223,389a1,-0.24121368506045826,389a1,0.060208523659084356
P_only,0.5,tail_ge_100000,3,0.19468840224423944,0.15301783085468804,0.13708961778937337,0.12519362372358067,0.06536457363955502,0.12519362372358067,0.035498853439740685,37a1,0.19468840224423944,389a1,0.12519362372358067
P_only,0.65,tail_ge_100000,3,0.2926741882235757,0.22730441845072188,0.20888994689089632,0.14574742604139335,0.08775962254165133,0.14574742604139335,0.05336713569561269,37a1,0.2926741882235757,389a1,0.14574742604139335
P_only,0.75,tail_ge_100000,3,0.26061766779338535,0.18971649437616958,0.18072420181736945,0.11778480776439082,0.06977805899261773,0.11778480776439082,0.047522454207657994,37a1,0.26061766779338535,389a1,0.11778480776439082
