p	M_p	T_p_minus_1
863851	-132	-88.4131996556
863959	-133	-90.6974328715
864077	-136	-92.4281762317
864167	-143	-98.6690549541
864299	-138	-100.2757605938
864419	-134	-98.7842451312
864551	-140	-105.4027481128
864679	-134	-104.3375046595
864817	-118	-95.4320957918
864979	-109	-87.0299898858
865091	-117	-92.9886301404
865231	-109	-90.9829283593
865339	-112	-95.9141566015
865483	-108	-92.0546873210
865637	-111	-93.3261479824
865747	-117	-96.7260346741
865829	-136	-111.5178056724
865979	-140	-112.8466906993
866083	-142	-115.4642773193
866221	-141	-115.8315336492
866417	-136	-112.9656046746
866623	-119	-98.9228013322
866717	-125	-103.0394850197
866857	-129	-106.6532260623
867001	-132	-108.6394611240
867131	-133	-108.6229129430
867257	-144	-116.3408535041
867389	-138	-117.5605321849
867487	-135	-115.7519991371
867617	-120	-107.0911198110
867719	-124	-109.8813526903
867857	-129	-116.6452759719
868039	-123	-107.7391615220
868157	-127	-110.8299927326
868291	-129	-110.9684229716
868409	-132	-114.9027603735
868537	-134	-116.8670774128
868691	-147	-125.4314573511
868801	-154	-135.4227299843
868937	-140	-128.8391308810
869039	-145	-131.2588531687
869179	-148	-135.5204652464
869303	-138	-126.0207612270
869437	-136	-123.4049038755
869563	-143	-128.3217325853
869717	-132	-124.2214213318
869863	-140	-130.4413542150
869989	-141	-132.1181916375
870127	-124	-122.0221793694
870229	-131	-126.1426521447
870367	-121	-121.4605236780
870491	-116	-117.7145564920
870629	-106	-115.4151278305
870787	-100	-110.8532001689
870907	-107	-117.7822409057
871001	-110	-119.6215057973
871181	-101	-107.8396023494
871393	-90	-101.5983685043
871589	-74	-90.3116946586
871687	-74	-90.6126335130
871901	-70	-86.0909532324
872033	-68	-83.8243405051
872143	-74	-90.4953854771
872237	-81	-95.2881512680
872369	-91	-102.6225915788
872453	-107	-114.5980128540
872609	-104	-113.1384908167
872737	-99	-110.8485972862
872951	-93	-100.4158053023
873091	-97	-103.6619056239
873263	-89	-94.0188034443
873419	-95	-96.6605483019
873539	-88	-93.7010718424
873667	-84	-87.3330375990
873781	-84	-87.8941884999
874009	-76	-76.7292631339
874127	-82	-79.6010212113
874301	-76	-78.7523578014
874409	-85	-85.6064906204
874583	-80	-79.9414658527
874697	-82	-84.3504521635
874807	-86	-89.6066116470
874919	-106	-103.1025052962
875117	-85	-85.9041932201
875261	-84	-85.6884098765
875339	-99	-98.6017121170
875447	-102	-103.0552534466
875591	-104	-104.2872338794
875683	-114	-113.9159290305
875779	-114	-113.6525864661
875947	-129	-122.0290153923
876067	-130	-125.0605411087
876181	-140	-132.8364283100
876301	-148	-138.8958765629
876433	-158	-139.2477080876
876607	-163	-137.9811832885
876731	-159	-134.5615108762
876833	-160	-136.7400646306
877027	-168	-142.6332069175
877181	-148	-127.7826886633
877313	-159	-135.2038729330
877403	-159	-139.3038048177
877601	-160	-136.4430456992
877817	-154	-132.0083988086
877907	-160	-135.3559448013
878041	-162	-136.4688341200
878159	-176	-145.6806136358
878287	-170	-142.1790668558
878443	-167	-140.0067784504
878597	-156	-129.6212588957
878699	-162	-138.3670209839
878831	-158	-134.5892438908
878953	-151	-133.4520546856
879097	-165	-140.1941104530
879227	-167	-137.4485286835
879341	-163	-137.1514478009
879523	-145	-123.7084698097
879649	-144	-126.0867330120
879709	-147	-131.6899989589
879863	-133	-122.3261086551
880007	-146	-131.2575672439
880109	-159	-136.2536999121
880249	-163	-136.0614436508
880367	-171	-145.1590461219
880541	-161	-143.8945965079
880673	-164	-144.6730062864
880793	-169	-148.2403161619
880903	-169	-149.5355607582
881009	-179	-157.9849268541
881147	-188	-163.3155554194
881269	-178	-156.3491839881
881407	-177	-157.6964567342
881527	-176	-158.8755407004
881681	-162	-146.6177366744
881899	-152	-135.4096628904
882029	-152	-138.1541180977
882169	-136	-127.9343025416
882263	-148	-139.5748742854
882449	-143	-130.2053667816
882587	-132	-119.3880184756
882719	-124	-118.6133582913
882881	-112	-113.9492674750
883013	-105	-107.9065274051
883163	-92	-100.8122964258
883249	-104	-109.6387504091
883397	-121	-119.2868251019
883517	-119	-118.2181491301
883667	-126	-119.9504419842
883781	-136	-125.7604361873
883973	-142	-124.7169256280
884111	-143	-126.2522182308
884243	-154	-136.9490725670
884353	-139	-126.4589017558
884489	-128	-121.8387036105
884651	-120	-116.4905983632
884827	-114	-108.7418266522
884987	-121	-112.0275709096
885127	-119	-112.6895966693
885251	-120	-112.5198025145
885389	-133	-119.7905074937
885509	-133	-119.6267713667
885713	-123	-114.1625022419
885821	-129	-119.3226433357
885931	-136	-124.5301830948
886013	-147	-135.9555849728
886177	-141	-132.3408637885
886307	-141	-130.9842256478
886429	-146	-137.9484135184
886537	-148	-142.3287851484
886651	-155	-147.0563961796
886807	-150	-141.6396940552
886979	-153	-141.6854787988
887101	-145	-136.3658062434
887261	-134	-130.9825185979
887401	-131	-128.2618053920
887567	-125	-124.4651226471
887657	-128	-128.7687608978
887749	-133	-135.0847386090
887921	-133	-132.5366305420
888061	-123	-127.7164899182
888179	-141	-139.4508078729
888323	-142	-140.0992045164
888443	-136	-136.4162010533
888623	-137	-132.5990419876
888737	-141	-135.6096241370
888857	-138	-133.0673511094
888983	-129	-128.9577811652
889081	-135	-135.4457769246
889271	-146	-139.9065308489
889367	-154	-145.9457798633
889519	-164	-151.3679320076
889699	-158	-147.9674438013
889879	-143	-139.5783084561
889997	-135	-137.5589085540
890119	-134	-137.7252378756
890291	-121	-127.3138506705
890459	-124	-124.1406729575
