curve,K,c_K,E_K,D_K,D_K_times_zeta2,D_K_zeta2_minus_1,scale_label,scale_value,rank,normalization_name,normalization_status,normalized_value,L2E_estimate,L2E_prime_count,L2E_max_p,Sym2_good_partial_estimate,Sym2_good_prime_count,Sym2_bad_primes_deferred
37a1,30000,31.6781471258253132724971328411,0.0108438130692151685928683949748,0.343511905811545461817065390636,0.565054436237370386002968250164,-0.434945563762629613997031749836,c_K / log K,3.07287734929277303188355926552,1,D/Sym2_good_partial^rank,COMPUTED_GOOD_PRIME_PLACEHOLDER_FULL_SYM2_DEFER,0.137245313098239967915227,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,30000,31.6781471258253132724971328411,0.0108438130692151685928683949748,0.343511905811545461817065390636,0.565054436237370386002968250164,-0.434945563762629613997031749836,c_K / log K,3.07287734929277303188355926552,1,D*zeta(2)/Sym2_good_partial^rank,COMPUTED_GOOD_PRIME_PLACEHOLDER_FULL_SYM2_DEFER,0.225759491030546030718366,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,100000,35.6137751428711981494600533567,0.010546896055589965343270407278,0.375614784579016194212982641544,0.617861555165881596836419994397,-0.382138444834118403163580005603,c_K / log K,3.09337320485843106750453379285,1,D,COMPUTED_FROM_SOURCE_D_K,0.375614784579016194212983,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,100000,35.6137751428711981494600533567,0.010546896055589965343270407278,0.375614784579016194212982641544,0.617861555165881596836419994397,-0.382138444834118403163580005603,c_K / log K,3.09337320485843106750453379285,1,D*zeta(2),COMPUTED_FROM_SOURCE_D_K_times_zeta2,0.617861555165881596836420,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,100000,35.6137751428711981494600533567,0.010546896055589965343270407278,0.375614784579016194212982641544,0.617861555165881596836419994397,-0.382138444834118403163580005603,c_K / log K,3.09337320485843106750453379285,1,D*exp(rank*EulerGamma),COMPUTED_FROM_SOURCE_D_K_AND_EULERGAMMA,0.668997132603015703424244,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,100000,35.6137751428711981494600533567,0.010546896055589965343270407278,0.375614784579016194212982641544,0.617861555165881596836419994397,-0.382138444834118403163580005603,c_K / log K,3.09337320485843106750453379285,1,D/L2E_partial^rank,COMPUTED_WITH_AP_TABLE_EC_EULER_FACTORS,0.984050838585542086866323,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,100000,35.6137751428711981494600533567,0.010546896055589965343270407278,0.375614784579016194212982641544,0.617861555165881596836419994397,-0.382138444834118403163580005603,c_K / log K,3.09337320485843106750453379285,1,D*zeta(2)/L2E_partial^rank,COMPUTED_WITH_AP_TABLE_EC_EULER_FACTORS,1.61869874789992336988425,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,100000,35.6137751428711981494600533567,0.010546896055589965343270407278,0.375614784579016194212982641544,0.617861555165881596836419994397,-0.382138444834118403163580005603,c_K / log K,3.09337320485843106750453379285,1,D/Sym2_good_partial^rank,COMPUTED_GOOD_PRIME_PLACEHOLDER_FULL_SYM2_DEFER,0.150071563290026699530380,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
37a1,100000,35.6137751428711981494600533567,0.010546896055589965343270407278,0.375614784579016194212982641544,0.617861555165881596836419994397,-0.382138444834118403163580005603,c_K / log K,3.09337320485843106750453379285,1,D*zeta(2)/Sym2_good_partial^rank,COMPUTED_GOOD_PRIME_PLACEHOLDER_FULL_SYM2_DEFER,0.246857826920934623452413,0.381702621298426499358925,100,541,2.50290445667649290361039,99,37
11a1,1000,3.853428423451027829206955253,0.191823004222772293270481288806,0.739176216743797291931917823338,1.21589614032586056795111133798,0.215896140325860567951111337976,c_K (constant),3.853428423451027829206955253,0,D,COMPUTED_FROM_SOURCE_D_K,0.739176216743797291931918,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
