mode,alpha,passes_old_gate,max_within_cv,cross_curve_cv,cross_curve_ratio,mean_37a1,mean_11a1,mean_389a1,cv_37a1,cv_11a1,cv_389a1
P_only,0.92,True,0.074967291470311989,0.14281570159519372,1.4003233218860602,1.6497770775934355,1.1781401136498908,1.594599947268732,0.074967291470311989,0.036845447496121189,0.057465808220809211
PL2_only,0.65,True,0.070220777271914295,0.14320100646813463,1.4007854162221256,1.6104403734975727,1.18755272360622,1.6635065362224577,0.04207269458049831,0.049941175896221726,0.070220777271914295
P_only,0.65,True,0.070275780316219172,0.143214686906946,1.4008896786386076,1.6103857596187601,1.18755272360622,1.6636303533391208,0.042104696234688981,0.049941175896221726,0.070275780316219172
cP_only,0,True,0.066797792922392754,0.14645703102255442,1.4073013023288647,1.6119085793155061,1.1734582572564773,1.6514093336656006,0.012082367569823808,0.0044074410846285383,0.066797792922392754
cL2_only,0,False,0.11332518873918335,0.11040817255785018,1.3077350110801771,1.5040482848217223,1.1501170130632139,1.2943187541426444,0.0592450548213573,0.04613416260902789,0.11332518873918335
c_only,0,False,0.11307433615410069,0.11039207430887547,1.3077610268987254,1.5040782060572435,1.1501170130632139,1.2946994757546963,0.059254453606283959,0.04613416260902789,0.11307433615410069
c_only,0.25,False,0.10603739797336761,0.12389131348044025,1.359195828864278,1.5635278751293151,1.1503330439409702,1.3777261732028854,0.063320215547033251,0.047250578032482345,0.10603739797336761
cL2_only,0.25,False,0.10615424818862311,0.12389954609730676,1.3592172101103397,1.5635524706831805,1.1503330439409702,1.3775447297274273,0.06335504812246727,0.047250578032482345,0.10615424818862311
c_only,0.5,False,0.1015399826342239,0.13490991450065717,1.3973779703747649,1.6039928260429428,1.1478589616041861,1.4348372865664163,0.067001182164176137,0.049414174909300321,0.1015399826342239
cL2_only,0.5,False,0.10161592037110158,0.13492243125375777,1.3974334506193238,1.6040565095388517,1.1478589616041861,1.4347076068991049,0.067073405121471863,0.049414174909300321,0.10161592037110158
cL2_only,0.92,False,0.097999686125758448,0.1415127391051238,1.4155377328680554,1.6380686374652391,1.1572059150597904,1.5066447130150062,0.056801388944431506,0.045077780437886815,0.097999686125758448
c_only,0.92,False,0.097978978948588272,0.14151650509930003,1.4155421694699191,1.6380737715271585,1.1572059150597904,1.5066990056430709,0.056805025819500948,0.045077780437886815,0.097978978948588272
c_only,0.65,False,0.099751373832809062,0.14077608890910501,1.4172331436423076,1.6236185230192888,1.1456255664798864,1.4628216570796666,0.066633075423862112,0.05528875255240176,0.099751373832809062
cL2_only,0.65,False,0.099792319537118229,0.14078734288420311,1.4172888768135372,1.6236823723651506,1.1456255664798864,1.4627241078375495,0.066699274529342073,0.05528875255240176,0.099792319537118229
c_only,0.85,False,0.098601936198132858,0.14341089079412778,1.4236615721373576,1.6367027312137858,1.1496431197174111,1.4967371592206276,0.061612072117718519,0.045680285468988696,0.098601936198132858
cL2_only,0.85,False,0.098625785701913715,0.14341201844265647,1.4236781750290544,1.6367218186139925,1.1496431197174111,1.4966756202206022,0.061631720621667566,0.045680285468988696,0.098625785701913715
L2_only,0,False,0.096820567226966664,0.14433140802735583,1.4237924788639904,1.6460910328489369,1.1561312882916148,1.5226828396742695,0.064207167152406708,0.042476716079305803,0.096820567226966664
L2_only,0.92,False,0.096710951837345502,0.14436068006370423,1.4238168609895028,1.646119221787117,1.1561312882916148,1.5231019004636905,0.064218968603444768,0.042476716079305803,0.096710951837345502
sharp,0,False,0.096692112053387638,0.14436483826123217,1.4238213854704775,1.6461244526811352,1.1561312882916148,1.5231571176853049,0.064222885941888214,0.042476716079305803,0.096692112053387638
sharp,0.25,False,0.096692112053387638,0.14436483826123217,1.4238213854704775,1.6461244526811352,1.1561312882916148,1.5231571176853049,0.064222885941888214,0.042476716079305803,0.096692112053387638
sharp,0.5,False,0.096692112053387638,0.14436483826123217,1.4238213854704775,1.6461244526811352,1.1561312882916148,1.5231571176853049,0.064222885941888214,0.042476716079305803,0.096692112053387638
sharp,0.65,False,0.096692112053387638,0.14436483826123217,1.4238213854704775,1.6461244526811352,1.1561312882916148,1.5231571176853049,0.064222885941888214,0.042476716079305803,0.096692112053387638
sharp,0.75,False,0.096692112053387638,0.14436483826123217,1.4238213854704775,1.6461244526811352,1.1561312882916148,1.5231571176853049,0.064222885941888214,0.042476716079305803,0.096692112053387638
sharp,0.85,False,0.096692112053387638,0.14436483826123217,1.4238213854704775,1.6461244526811352,1.1561312882916148,1.5231571176853049,0.064222885941888214,0.042476716079305803,0.096692112053387638
sharp,0.92,False,0.096692112053387638,0.14436483826123217,1.4238213854704775,1.6461244526811352,1.1561312882916148,1.5231571176853049,0.064222885941888214,0.042476716079305803,0.096692112053387638
L2_only,0.85,False,0.0967133859305956,0.14436496987334632,1.4238380306782896,1.6461436967266867,1.1561312882916148,1.52309402224274,0.064242173036627492,0.042476716079305803,0.0967133859305956
L2_only,0.25,False,0.096773198818134523,0.14435804606953664,1.4238439711027866,1.6461505646373136,1.1561312882916148,1.5229489190360186,0.064259802148937659,0.042476716079305803,0.096773198818134523
L2_only,0.75,False,0.096717470004319461,0.14436929417176578,1.4238623271052859,1.6461717865861309,1.1561312882916148,1.5230744429436489,0.064267905447294243,0.042476716079305803,0.096717470004319461
L2_only,0.65,False,0.096725011876509517,0.14437143532544733,1.4238770637355553,1.6461888240654694,1.1561312882916148,1.5230540898586262,0.0642874540291348,0.042476716079305803,0.096725011876509517
L2_only,0.5,False,0.096752043850718825,0.14436940844044416,1.4238776218806342,1.6461894693544583,1.1561312882916148,1.523016249959307,0.064294423461612224,0.042476716079305803,0.096752043850718825
c_only,0.75,False,0.098971990137690119,0.14414315213080528,1.4280314700323038,1.6323661729407706,1.1430883752889875,1.4806988104891361,0.064965848083802347,0.051699798227712881,0.098971990137690119
cL2_only,0.75,False,0.09900175368866497,0.14415014059886455,1.4280726347523744,1.6324132278537555,1.1430883752889875,1.4806192015433239,0.065011709489214545,0.051699798227712881,0.09900175368866497
PL2_only,0.5,False,0.073548519200199017,0.1517861201746889,1.430559524227887,1.6394811113617933,1.1841984144820585,1.6940663204128719,0.039446612549111457,0.039067040104056046,0.073548519200199017
P_only,0.5,False,0.073727264162026934,0.151808624382124,1.4307166490830823,1.6394272350878532,1.1841984144820585,1.6942523874172697,0.039504264308610038,0.039067040104056046,0.073727264162026934
PL2_only,0.25,False,0.082655240852694808,0.17273625276106858,1.5188802091605964,1.6972062558152847,1.1810386943304445,1.7938562990713831,0.011772643791833248,0.034305757047236256,0.082655240852694808
P_only,0.25,False,0.082967452094766872,0.17277980545584423,1.5191334320814089,1.6971836831724798,1.1810386943304445,1.7941553651391542,0.011804021624375556,0.034305757047236256,0.082967452094766872
PL2_only,0,False,0.10353932455476821,0.20110363842180323,1.6528471495627965,1.7635736332256351,1.1804653611491727,1.9511288073330273,0.0086979120333515354,0.03387247461502501,0.10353932455476821
P_only,0,False,0.10418472673594888,0.2012223522323876,1.6534768396062232,1.7636080671953585,1.1804653611491727,1.9518721346175529,0.0087170525434143876,0.03387247461502501,0.10418472673594888
