p,n,n_prime,M_p,A,B,C,D,delta_W,DA_ratio,one_minus_DA,B_plus_C_plus_D_minus_A,C_plus_D_minus_A,one_minus_DA_times_p,one_minus_DA_times_p_over_M
41,491,531,-1,0.001428268498022307,2.2724914218010788e-05,0.0002593071337892142,0.0015169023981088546,-0.00037066594809377233,1.0620568893098719,-0.062056889309871945,0.00037066594809377233,0.00034794103387576157,-2.54433246170475,2.54433246170475
43,543,585,-3,0.0013241448987953393,0.00032745015048517176,0.00024193130101439144,0.0014302436007862364,-0.0006754801534904604,1.0801262022664,-0.08012620226640003,0.0006754801534904604,0.0003480300030052886,-3.4454266974552015,1.1484755658184005
47,651,697,-3,0.001147905657460813,0.00028093943393415403,0.00017989953230169802,0.0012610244381569624,-0.0005739577469320013,1.0985436215606517,-0.09854362156065159,0.0005739577469320013,0.00029301831299784735,-4.631550213350625,1.543850071116875
53,831,883,-3,0.0009416208870644783,0.0002175379959317963,0.0001554125553975732,0.0010298736189371296,-0.0004612032832020209,1.0937242717159568,-0.09372427171595675,0.0004612032832020209,0.0002436652872702246,-4.967386400945708,1.6557954669819026
59,1029,1087,-1,0.000785401054018182,6.789665455218387e-05,0.00011966283209783095,0.0008131531972906293,-0.00021531162992246205,1.035334996216856,-0.035334996216856054,0.00021531162992246205,0.00014741497537027818,-2.0847647767945072,2.0847647767945072
61,1103,1163,-2,0.000755249936259277,0.00017358727444796813,0.00013743092777251776,0.0007926385719735834,-0.0003484068379347923,1.0495049836077985,-0.04950498360779854,0.0003484068379347923,0.00017481956348682417,-3.019804000075711,1.5099020000378556
67,1329,1395,-2,0.0006342725555200434,0.00013452874787650183,0.00010588473603702413,0.0006705670782787799,-0.00027670800667226243,1.0572222815615573,-0.057222281561557384,0.00027670800667226243,0.0001421792587957606,-3.8338928646243446,1.9169464323121723
71,1495,1565,-3,0.0005666077025451622,0.00016118358670342455,8.866612170150637e-05,0.000611386269212207,-0.0002946282750719756,1.0790292233337149,-0.0790292233337149,0.0002946282750719756,0.0001334446883685511,-5.611074856693758,1.870358285564586
73,1589,1661,-4,0.0005586154971622544,0.0002647430638753522,9.461155018401313e-05,0.0005594404677750905,-0.0003601795846722014,1.0014768129724774,-0.0014768129724773201,0.0003601795846722014,9.543652079684922e-05,-0.10780734699084436,0.02695183674771109
79,1857,1935,-4,0.00047843856335173936,0.000188382197389167,7.350686432479846e-05,0.0005004331142533341,-0.0002838836126155602,1.0459715260983775,-0.04597152609837751,0.0002838836126155602,9.550141522639318e-05,-3.6317505617718235,0.9079376404429559
83,2061,2143,-4,0.0004493915346472275,0.000188914393592141,6.503065116867508e-05,0.00047987363185152224,-0.0002844271419651108,1.0678297094052365,-0.06782970940523655,0.0002844271419651108,9.551274837296983e-05,-5.629865880634634,1.4074664701586586
89,2369,2457,-2,0.00039160744291009844,0.00011617581122442408,5.88862045659473e-05,0.00040721444827118594,-0.0001906690211514589,1.0398536995239653,-0.03985369952396544,0.0001906690211514589,7.449320992703481e-05,-3.546979257632924,1.773489628816462
97,2807,2903,1,0.000343401495828735,-1.1287649244220513e-05,5.353213570817927e-05,0.0003509755409983888,-4.981853163361255e-05,1.0220559469357442,-0.02205594693574429,4.981853163361255e-05,6.110618087783306e-05,-2.1394268527671962,-2.1394268527671962
101,3045,3145,0,0.0003108970180943049,2.876109552494733e-05,4.826235102236696e-05,0.00031915522175181266,-8.528165020482204e-05,1.0265625051926448,-0.026562505192644772,8.528165020482204e-05,5.652055467987471e-05,-2.682813024457122,inf
103,3177,3279,-2,0.0003006610518084166,8.639063984660585e-05,4.594238977592006e-05,0.0003145968346845036,-0.00014626881249861292,1.0463504760336135,-0.04635047603361343,0.00014626881249861292,5.9878172652007076e-05,-4.774099031462184,2.387049515731092
107,3427,3533,-3,0.0002836213904397101,0.00011760747481201596,4.0729671305150834e-05,0.00029822095970856026,-0.000172936715386017,1.051475557771633,-0.051475557771633144,0.000172936715386017,5.5329240574001047e-05,-5.507884681564747,1.8359615605215822
109,3569,3677,-4,0.0002827686031316364,0.00015588949693991496,4.227710038186756e-05,0.000289319000550541,-0.0002047169947406871,1.0231652218328326,-0.02316522183283265,0.0002047169947406871,4.882749780077214e-05,-2.525009179778759,0.6312522949446897
113,3837,3949,-5,0.0002665542592275259,0.0001749454354592105,3.962259618090419e-05,0.0002684069387247707,-0.00021642071113735952,1.0069504779350136,-0.006950477935013611,0.00021642071113735952,4.147527567814901e-05,-0.785404006656538,0.15708080133130758
127,4833,4959,-2,0.00020552190793745632,6.23274122538354e-05,3.199986326523728e-05,0.00021034224099355318,-9.914760857516951e-05,1.0234541081506685,-0.02345410815066855,9.914760857516951e-05,3.6820196321334125e-05,-2.9786717351349057,1.4893358675674528
131,5155,5285,-3,0.0001978559963939765,7.962977978314026e-05,2.8879755280913708e-05,0.00020239762990910764,-0.00011305116857918509,1.022954237414608,-0.022954237414607847,0.00011305116857918509,3.3421388796044835e-05,-3.007005101313628,1.0023350337712094
137,5635,5771,-2,0.0001792156354672738,6.125408253222316e-05,2.6997408831282304e-05,0.00018593079427104667,-9.49666501672783e-05,1.0374697151075252,-0.037469715107525246,9.49666501672783e-05,3.371256763505515e-05,-5.133350969730959,2.5666754848654794
139,5815,5953,-4,0.00017803521985804445,9.557637928439718e-05,2.5317255918737538e-05,0.00018352158425931757,-0.0001263799996044078,1.0308161744942805,-0.030816174494280563,0.0001263799996044078,3.080362032001064e-05,-4.283448254704998,1.0708620636762496
149,6671,6819,0,0.0001549193898794337,2.5440088495980377e-05,2.2105836389720553e-05,0.0001592441940145632,-5.1870729020830435e-05,1.0279164805547925,-0.02791648055479236,5.1870729020830435e-05,2.643064052485006e-05,-4.159555602664061,inf
151,6859,7009,-1,0.000153272767127315,4.8451941027774056e-05,2.246065741859292e-05,0.00015628026762592187,-7.392009894497385e-05,1.0196218842719054,-0.019621884271905348,7.392009894497385e-05,2.5468157917199795e-05,-2.9629045250577075,2.9629045250577075
157,7405,7561,-2,0.0001400677044488193,5.5268165899848716e-05,2.099593076353207e-05,0.00014293794709583225,-7.913433931039375e-05,1.020491823281517,-0.020491823281517017,7.913433931039375e-05,2.386617341054503e-05,-3.2172162551981716,1.6086081275990858
163,7993,8155,0,0.00013252407611339761,2.9230529475474813e-05,1.953223328698281e-05,0.00013530460169135526,-5.154328834041526e-05,1.0209812862651344,-0.02098128626513429,5.154328834041526e-05,2.231275886494045e-05,-3.4199496612168896,inf
167,8397,8563,-1,0.00012669255290902342,4.255599043306188e-05,1.7472018273410798e-05,0.0001298732508950448,-6.320870669249407e-05,1.0251056428573622,-0.02510564285736214,6.320870669249407e-05,2.0652716259432195e-05,-4.192642357179477,4.192642357179477
173,9023,9195,-3,0.0001183924696140862,5.923750872148224e-05,1.699532500255547e-05,0.00011993306817329884,-7.777343228325035e-05,1.0130126397754384,-0.013012639775438402,7.777343228325035e-05,1.853592356176811e-05,-2.2511866811508434,0.7503955603836144
179,9655,9833,-3,0.00011074895586917837,5.237707115946944e-05,1.5190426758673095e-05,0.0001154654037927273,-7.228394584169147e-05,1.042586838733904,-0.04258683873390385,7.228394584169147e-05,1.9906874682222026e-05,-7.623044133368789,2.5410147111229295
