p,M(p),R1,delta2_ratio,total,margin,method
439,-7,0.984205439179,0.133445802406,1.117651241585,0.117651241585,mpmath
443,-9,0.984785213675,0.133081127015,1.117866340690,0.117866340690,mpmath
449,-7,0.991949748658,0.134094295138,1.126044043796,0.126044043796,mpmath
457,-6,0.990029409137,0.136167538883,1.126196948021,0.126196948021,mpmath
461,-6,0.996350939480,0.134017764576,1.130368704056,0.130368704056,mpmath
463,-6,0.982697953873,0.134291076621,1.116989030494,0.116989030494,mpmath
467,-7,0.993610818038,0.129049827008,1.122660645046,0.122660645046,mpmath
479,-6,1.002494946597,0.130705789469,1.133200736066,0.133200736066,mpmath
487,-5,0.991570019644,0.134172660246,1.125742679890,0.125742679890,mpmath
491,-5,0.995961010840,0.134421506378,1.130382517218,0.130382517218,mpmath
499,-6,0.991253159596,0.134370416134,1.125623575730,0.125623575730,mpmath
503,-5,1.005206845588,0.130783474118,1.135990319707,0.135990319707,float
509,-6,1.001203260464,0.131866626515,1.133069886980,0.133069886980,float
521,-2,0.993918213026,0.135378867996,1.129297081022,0.129297081022,float
523,-3,0.986342093703,0.135275805872,1.121617899574,0.121617899574,float
541,0,0.996082053399,0.138207152384,1.134289205783,0.134289205783,float
607,0,0.995805858319,0.132522666487,1.128328524806,0.128328524806,float
613,-2,0.987532019359,0.135673103212,1.123205122571,0.123205122571,float
617,-3,0.998295834785,0.134846244614,1.133142079398,0.133142079398,float
619,-5,0.991561040170,0.132614967168,1.124176007339,0.124176007339,float
631,-3,0.979362478763,0.136134823576,1.115497302339,0.115497302339,float
641,-2,0.993350505542,0.134663092034,1.128013597576,0.128013597576,float
643,-4,0.998455903233,0.131819446752,1.130275349985,0.130275349985,float
647,-7,0.997557425851,0.130680706964,1.128238132815,0.128238132815,float
653,-8,0.982100410743,0.131476358040,1.113576768783,0.113576768783,float
659,-10,0.990984045420,0.128502600252,1.119486645673,0.119486645673,float
661,-11,0.968468031078,0.129192336545,1.097660367623,0.097660367623,float
673,-11,0.967751537481,0.132041857215,1.099793394696,0.099793394696,float
677,-11,0.972757184646,0.130039707469,1.102796892115,0.102796892115,float
683,-12,0.979834718749,0.128161767873,1.107996486623,0.107996486623,float
691,-9,0.984565807320,0.131410635741,1.115976443061,0.115976443061,float
701,-5,0.991646571626,0.131834809392,1.123481381018,0.123481381018,float
709,-4,0.993552806773,0.132752842896,1.126305649669,0.126305649669,float
719,-3,1.007693326040,0.131410002422,1.139103328461,0.139103328461,float
727,-2,1.001631547110,0.133343516798,1.134975063908,0.134975063908,float
733,-3,0.995625869849,0.133286263054,1.128912132902,0.128912132902,float
739,-2,0.991379709130,0.132620526004,1.124000235133,0.124000235133,float
743,-5,0.988811590910,0.132597346516,1.121408937426,0.121408937426,float
751,-3,0.989032242175,0.133562037221,1.122594279395,0.122594279395,float
757,-3,0.987402654678,0.134292929910,1.121695584588,0.121695584588,float
761,-4,0.985887318067,0.132640816907,1.118528134974,0.118528134974,float
769,-3,0.990237327150,0.132023542332,1.122260869483,0.122260869483,float
773,-2,0.995002446130,0.130055785433,1.125058231563,0.125058231563,float
787,-2,0.995732216821,0.132916101295,1.128648318116,0.128648318116,float
797,-1,0.991025714367,0.130629093608,1.121654807975,0.121654807975,float
811,0,0.990130101306,0.133247351551,1.123377452857,0.123377452857,float
823,0,0.993650018919,0.132637430933,1.126287449852,0.126287449852,float
827,-2,0.992127815624,0.133094186923,1.125222002547,0.125222002547,float
829,-3,0.999546529398,0.133250347297,1.132796876695,0.132796876695,float
839,-3,0.999888296588,0.130666027343,1.130554323931,0.130554323931,float
853,0,0.997037081769,0.132537317563,1.129574399332,0.129574399332,float
857,-2,0.993683503848,0.130879126860,1.124562630709,0.124562630709,float
859,-2,0.983615089751,0.131140330011,1.114755419762,0.114755419762,float
863,-3,0.993027934111,0.128739095890,1.121767030001,0.121767030001,float
877,0,0.990891066661,0.131178538331,1.122069604993,0.122069604993,float
883,0,0.985399906466,0.128863937997,1.114263844463,0.114263844463,float
887,-1,0.979150792241,0.127072476503,1.106223268744,0.106223268744,float
907,-1,1.000658980819,0.132136829691,1.132795810510,0.132795810510,float
911,-1,0.987369745357,0.131431907590,1.118801652947,0.118801652947,float
919,0,0.994451930308,0.132125478921,1.126577409229,0.126577409229,float
1013,0,0.985860206027,0.131730733511,1.117590939538,0.117590939538,float
1019,-1,0.993977729411,0.129486063758,1.123463793168,0.123463793168,float
1021,-2,0.990464221199,0.131373404891,1.121837626090,0.121837626090,float
1031,-5,0.996367592120,0.130685735999,1.127053328120,0.127053328120,float
1033,-6,0.988112273935,0.130247530326,1.118359804260,0.118359804260,float
1039,-8,0.990248007205,0.129392131718,1.119640138924,0.119640138924,float
1049,-5,0.994814838891,0.129956110446,1.124770949337,0.124770949337,float
1051,-6,0.987349204286,0.130711076667,1.118060280953,0.118060280953,float
1061,-5,0.992897224786,0.130930155380,1.123827380166,0.123827380166,float
1063,-6,0.990744105862,0.129573798157,1.120317904019,0.120317904019,float
1069,-8,0.984774559764,0.129834841123,1.114609400887,0.114609400887,float
1087,-8,0.995172276667,0.130938528745,1.126110805412,0.126110805412,float
1091,-10,0.997197135993,0.129220334127,1.126417470121,0.126417470121,float
1093,-11,0.969377706027,0.130136491788,1.099514197814,0.099514197814,float
1097,-12,0.988516290799,0.127527052475,1.116043343274,0.116043343274,float
1103,-12,0.984743434364,0.126905540072,1.111648974436,0.111648974436,float
1109,-15,0.984468508954,0.125065517128,1.109534026082,0.109534026082,float
1117,-13,0.980318619951,0.127783199495,1.108101819446,0.108101819446,float
1123,-12,0.974665653037,0.127650773118,1.102316426155,0.102316426155,float
1129,-12,0.975357127142,0.127375884591,1.102733011733,0.102733011733,float
1151,-6,0.995028163929,0.130108289130,1.125136453059,0.125136453059,float
1153,-7,0.985251838584,0.131197487045,1.116449325630,0.116449325630,float
1163,-6,0.989459094426,0.130408879358,1.119867973784,0.119867973784,float
1171,-5,0.986001197267,0.131055471218,1.117056668485,0.117056668485,float
1181,-6,0.994260770716,0.131106835805,1.125367606521,0.125367606521,float
1187,-8,0.994358681062,0.129693598448,1.124052279510,0.124052279510,float
1193,-6,0.996177695721,0.130814114235,1.126991809956,0.126991809956,float
1201,-5,0.988019214843,0.131941452824,1.119960667667,0.119960667667,float
1213,-2,0.997013504662,0.131690677008,1.128704181670,0.128704181670,float
1217,-2,0.993503311806,0.131177029872,1.124680341678,0.124680341678,float
1223,-3,0.993029170782,0.130881950251,1.123911121033,0.123911121033,float
1229,-2,0.994930795636,0.131141589987,1.126072385623,0.126072385623,float
1231,-2,0.996244075693,0.130176886197,1.126420961890,0.126420961890,float
1237,-3,0.999719400290,0.130270548526,1.129989948817,0.129989948817,float
1249,-3,0.992075284430,0.131541054510,1.123616338940,0.123616338940,float
1259,-1,0.992291680924,0.129459009117,1.121750690041,0.121750690041,float
1279,0,0.995054854771,0.131507270549,1.126562125320,0.126562125320,float
1283,-1,0.994258238894,0.131292652310,1.125550891203,0.125550891203,float
1289,0,0.993278910694,0.131107116621,1.124386027315,0.124386027315,float
1291,0,0.992749714936,0.130577805807,1.123327520743,0.123327520743,float
1297,0,0.991103081087,0.130660106775,1.121763187863,0.121763187863,float
1301,-1,0.991047242194,0.129904600857,1.120951843051,0.120951843051,float
1303,-1,0.986849999872,0.129002618508,1.115852618380,0.115852618380,float
1307,-1,0.982121732323,0.127842684077,1.109964416400,0.109964416400,float
1319,-1,0.991898000053,0.126738818661,1.118636818714,0.118636818714,float
1321,-2,0.976175317405,0.128682897447,1.104858214852,0.104858214852,float
1327,-1,0.975381144803,0.126811695550,1.102192840353,0.102192840353,float
1493,-1,0.992008452107,0.128669020847,1.120677472954,0.120677472954,float
1499,-3,0.993382491467,0.128596721481,1.121979212948,0.121979212948,float
1511,-3,0.997646760825,0.128723993045,1.126370753870,0.126370753870,float
1523,0,0.988871262099,0.129679413692,1.118550675791,0.118550675791,float
1531,0,0.986637231516,0.130617994702,1.117255226218,0.117255226218,float
1543,0,0.992772732999,0.130397208246,1.123169941245,0.123169941245,float
1549,-2,0.993794301463,0.130376441299,1.124170742761,0.124170742761,float
1553,-4,0.987715533753,0.130145705329,1.117861239081,0.117861239081,float
1559,-4,0.993928243138,0.129345440969,1.123273684107,0.123273684107,float
1567,-3,0.997665025549,0.130127377240,1.127792402789,0.127792402789,float
1571,-4,0.991390531575,0.130047697112,1.121438228687,0.121438228687,float
1579,-4,0.995457221481,0.129418903460,1.124876124941,0.124876124941,float
1583,-7,0.991800887421,0.128213125392,1.120014012813,0.120014012813,float
1597,-5,0.992829740514,0.130290350076,1.123120090591,0.123120090591,float
1601,-8,0.986052202082,0.129908730972,1.115960933055,0.115960933055,float
1607,-10,0.990046154958,0.128687738124,1.118733893082,0.118733893082,float
1609,-11,0.987076865037,0.127880157180,1.114957022217,0.114957022217,float
1613,-11,0.984954737185,0.128088641779,1.113043378964,0.113043378964,float
1619,-13,0.993533440290,0.126249447685,1.119782887974,0.119782887974,float
1621,-14,0.967454398458,0.126959655351,1.094414053809,0.094414053809,float
1627,-14,0.984182080722,0.125732125874,1.109914206596,0.109914206596,float
1637,-16,0.986319005120,0.124988205191,1.111307210311,0.111307210311,float
1657,-10,0.989200531636,0.129522815392,1.118723347028,0.118723347028,float
1663,-11,0.989825175675,0.127730063976,1.117555239651,0.117555239651,float
1667,-12,0.984066307919,0.127885748533,1.111952056452,0.111952056452,float
1669,-13,0.981997325724,0.126648708745,1.108646034469,0.108646034469,float
1693,-9,0.990181240675,0.129482566235,1.119663806910,0.119663806910,float
1697,-11,0.992386382394,0.128386060102,1.120772442496,0.120772442496,float
1699,-13,0.988877177209,0.126814441248,1.115691618456,0.115691618456,float
1709,-13,0.994605800798,0.127079682995,1.121685483793,0.121685483793,float
1721,-9,0.989171447583,0.128518147201,1.117689594784,0.117689594784,float
1723,-9,0.980058901431,0.128432318720,1.108491220151,0.108491220151,float
1733,-9,0.992056414931,0.128329025849,1.120385440780,0.120385440780,float
1741,-9,0.986812443548,0.128872312998,1.115684756546,0.115684756546,float
1747,-11,0.990357228652,0.127902618897,1.118259847549,0.118259847549,float
1753,-12,0.982407760523,0.127910870811,1.110318631334,0.110318631334,float
1759,-12,0.990047609485,0.126382302921,1.116429912406,0.116429912406,float
1777,-7,0.979361374420,0.128544814278,1.107906188698,0.107906188698,float
1783,-7,0.991621519572,0.128800011487,1.120421531059,0.120421531059,float
1787,-8,0.987831444093,0.128405459035,1.116236903128,0.116236903128,float
1789,-9,0.985951244462,0.127855174726,1.113806419188,0.113806419188,float
1801,-7,0.980839922568,0.129292906827,1.110132829394,0.110132829394,float
