p,M_p,B_plus_C,B_raw,delta_sq,R,n_farey
829,-3,238218.6733266265,203680.6038452059,34538.0694814206,5.8972781891,208537
839,-3,235564.5910777512,200942.9781081869,34621.6129695643,5.8039750570,213559
863,-3,307695.1703147851,270942.3890101735,36752.7813046116,7.3720240861,226001
1031,-5,439458.5654643610,386462.6448531272,52995.9206112338,7.2923093022,322533
1033,-6,501652.4046338434,448203.2838799751,53449.1207538682,8.3856063029,323899
1039,-8,573213.2045427470,519491.2340234767,53721.9705192703,9.6699958881,327655
1049,-5,498963.8768210862,444195.7643022566,54768.1125188296,8.1104815170,333971
1051,-6,556433.5792195321,500713.2961198261,55720.2830997059,8.9861944029,335259
1061,-5,512444.1299498063,455902.0337215127,56542.0962282936,8.0630550357,341647
1063,-6,577229.3838595815,520690.8656252195,56538.5182343620,9.2094890684,343055
1069,-8,663901.6426200314,606593.0646249448,57308.5779950866,10.5846818373,346901
1087,-8,580147.9328686139,521108.8966125470,59039.0362560669,8.8265142804,358501
1091,-10,663360.2316316201,604174.8969261331,59185.3347054870,10.2081858611,361191
1093,-11,729867.6012983136,669425.2830958999,60442.3182024137,11.0754402380,362569
1097,-12,778610.9191495770,718400.0625834680,60210.8565661090,11.9314041280,365327
1103,-12,793510.1085510390,732769.3691821959,60740.7393688432,12.0638862285,369355
1109,-15,913004.9491477307,851674.8596179052,61330.0895298254,13.8867375891,373317
1117,-13,871069.0320975478,808365.5943914066,62703.4377061412,12.8918863776,378693
1123,-12,857335.3441841992,794090.2446819483,63245.0995022509,12.5557592751,382805
1129,-12,878957.9579602960,814955.3046120262,64002.6533482698,12.7331487365,386941
1151,-6,543163.4602500699,477144.3236858273,66019.1365642425,7.2273638905,402063
1153,-7,616688.1715643596,549449.3158288068,67238.8557355528,8.1716041985,403597
1163,-6,557069.8321832611,489203.9439682810,67865.8882149801,7.2083922695,410565
1171,-5,508252.0050903719,439145.3124476708,69106.6926427011,6.3545988913,416195
1181,-6,530236.7091271734,460218.1851064231,70018.5240207503,6.5728061473,423339
1187,-8,624328.4116701473,554109.5882237187,70218.8234464287,7.8911830337,427639
1193,-6,556595.1282614779,485335.9737893776,71259.1544721003,6.8108578804,432073
1201,-5,535679.2897506586,462845.3856289695,72833.9041216891,6.3548067512,437787
1223,-3,534026.8131181466,459439.7770393597,74587.0360787869,6.1597805891,454049
1237,-3,657668.2303664420,580912.4642388597,76755.7661275823,7.5683234439,464497
1249,-3,609003.9028144657,530272.4605394887,78731.4422749769,6.7352057224,473559
1499,-3,1087602.8486661376,975180.7300740338,112422.1185921036,8.6742781784,682285
1511,-3,1030395.2897469639,916571.8746296618,113823.4151173021,8.0525775271,693213
1553,-4,1067419.7283655640,946270.4088907496,121149.3194748145,7.8107777493,732321
1559,-4,1058935.9499903927,937606.9522839485,121328.9977064441,7.7278059657,738073
1567,-3,984018.0454755474,860816.9250691570,123201.1204063904,6.9870868238,745543
1571,-4,1084573.6629210114,960326.8984575166,124246.7644634949,7.7291903946,749449
1579,-4,1077187.9719132057,952165.4702548834,125022.5016583222,7.6159527895,757149
1583,-7,1365581.5580109349,1240410.4306068944,125171.1274040403,9.9097168519,760983
1597,-5,1160420.4827974141,1031892.1197804771,128528.3630169368,8.0285167846,774301
1601,-8,1437804.7291790696,1308419.7103611084,129385.0188179613,10.1126059440,778233
1607,-10,1570191.9202374616,1440481.4602058090,129710.4600316526,11.1053608156,784097
1609,-11,1716281.9208444715,1586324.8112227933,129957.1096216783,12.2065257979,786231
1613,-11,1814928.6752412987,1683758.6950804396,131169.9801608592,12.8364637474,790155
1619,-13,2022215.3213732392,1891409.9962168932,130805.3251563459,14.4597323844,795903
1621,-14,2185862.2837242959,2052911.4822331162,132950.8014911797,15.4411365649,797953
1627,-14,2214554.0868687644,2081627.8164000872,132926.2704686773,15.6600182121,803875
1637,-16,2287068.8093213509,2152984.1735656071,134084.6357557438,16.0569043681,813829
1657,-10,1779108.8184873180,1640690.9361256836,138417.8823616343,11.8531717733,833681
1663,-11,1883170.9091850778,1744587.9898917584,138582.9192933194,12.5887663414,839809
1667,-12,2069360.5966903833,1929590.6768064408,139769.9198839424,13.8054788785,843775
1669,-13,2236216.8964715493,2096137.9783636485,140078.9181079009,14.9639789247,845993
1693,-9,1684307.0675985448,1540112.9469497770,144194.1206487679,10.6808303974,870415
1697,-11,1908619.9924093068,1763862.6532933253,144757.3391159816,12.1849618407,874495
1699,-13,2106102.1193679171,1961311.3286132391,144790.7907546777,13.5458292505,876755
1709,-13,2185936.2703444269,2039532.0372188508,146404.2331255762,13.9308269555,886885
1721,-9,1783137.6677566860,1634090.4739911277,149047.1937655582,10.9635775938,899419
1723,-9,1904681.8196011670,1754805.6414227041,149876.1781784630,11.7083692869,901619
1733,-9,1865526.3255112816,1714584.6032539175,150941.7222573640,11.3592489711,912079
1741,-9,1808665.7514247878,1655765.4913198075,152900.2601049804,10.8290560800,920495
1747,-11,2010601.5639327553,1857432.0644429454,153169.4994898099,12.1266444731,926843
1753,-12,2185511.6959649189,2030707.3134863300,154804.3824785888,13.1178929238,933229
1759,-12,2153417.3825857253,1998645.6571686924,154771.7254170328,12.9135063383,939681
1777,-7,1702549.9828864494,1543175.5494347480,159374.4334517015,9.6827045343,958839
1783,-7,1708591.9094562861,1548156.8532006578,160435.0562556284,9.6497417044,965431
1787,-8,1867417.9110582506,1706874.9305047765,160542.9805534740,10.6318876392,969697
1789,-9,2060079.3663876429,1899039.0911417266,161040.2752459164,11.7923239279,972075
1801,-7,1750392.4493636310,1586206.0226019919,164186.4267616391,9.6610058084,985059
1811,-7,1761901.8986152690,1597152.1546221543,164749.7439931147,9.6944135749,996023
1823,-3,1341411.2420761888,1174948.6458500214,166462.5962261674,7.0583342594,1009345
1831,-3,1364433.9576056742,1195704.0338970448,168729.9237086292,7.0864966191,1018143
1873,-3,1267835.9518084798,1090213.6542218458,177622.2975866341,6.1378197953,1065423
1877,-3,1393208.7901925733,1215623.2686685838,177585.5215239894,6.8452836596,1070023
1879,-5,1624073.7857179046,1446887.1226007182,177186.6631171865,8.1658918180,1072523
1889,-7,1977985.8573885516,1799501.4309067314,178484.4264818202,10.0821201400,1083693
1901,-4,1606485.4871663926,1424171.2694046728,182314.2177617199,7.8116303100,1097459
1907,-5,1709060.0401019268,1526256.9250604170,182803.1150415099,8.3491844475,1104439
1913,-6,1800041.2550925878,1616144.2185541200,183897.0365384677,8.7883102902,1111493
1933,-3,1354128.8736997910,1165458.5015056073,188670.3721941837,6.1772205564,1134849
2143,-3,2661753.3447066196,2430051.2384378319,231702.1062687879,10.4878254133,1394975
2347,-3,2623450.7586167459,2345331.8002910293,278118.9583257167,8.4328368494,1672979
2351,-4,2869765.8852342861,2592233.7460701712,277532.1391641149,9.3403011049,1678929
2357,-6,3255743.9708051644,2976482.1304929466,279261.8403122178,10.6583918775,1687499
2377,-3,2879610.8700587293,2593683.7406229163,285927.1294358131,9.0711355223,1716135
2381,-6,3455134.8325277907,3168642.3463339112,286492.4861938796,11.0601237346,1721839
2383,-8,3815963.5533094569,3530294.8476000559,285668.7057094012,12.3580034391,1725011
2389,-9,4286967.0253512496,3999683.3347711544,287283.6905800952,13.9224169903,1733609
2393,-10,4544708.4401109572,4256249.3310134010,288459.1090975560,14.7551219455,1739597
2399,-12,4821489.4325400069,4532846.6238654330,288642.8086745735,15.7039998491,1748297
2411,-15,5277390.6607360728,4985086.5077563999,292304.1529796726,17.0544498152,1765609
2417,-15,5344020.2122266181,5050085.1919421935,293935.0202844250,17.1809578425,1774455
2423,-15,5360295.0856504394,5064710.9081009235,295584.1775495163,17.1345805790,1783431
2437,-11,4622803.1521395650,4322777.8786466727,300025.2734928925,14.4080457900,1803861
2441,-13,5035276.0487403823,4735330.8072998654,299945.2414405167,15.7873176602,1810021
2447,-12,5067949.6981487656,4767819.2068051416,300130.4913436241,15.8858208157,1818891
2459,-11,4672503.7446842371,4369034.6612809245,303469.0834033128,14.3969679293,1836765
2467,-10,4601645.9522435507,4294609.4112526216,307036.5409909291,13.9872908853,1848633
2473,-8,4302733.8888960686,3994136.4083467904,308597.4805492779,12.9428678460,1857767
2477,-8,4396735.9426311161,4087866.7720133122,308869.1706178037,13.2349459282,1863911
2543,-3,2491714.0267722541,2166497.4564587395,325216.5703135145,6.6617068570,1964371
2549,-4,2674689.1208772990,2347442.5651620561,327246.5557152430,7.1733148116,1973665
2551,-5,2977376.3262560549,2649339.9908169033,328036.3354391517,8.0763613801,1976853
2557,-7,3649274.7487437096,3319365.4678279972,329909.2809157124,10.0614491918,1985951
2699,-6,3671583.7431519292,3305827.0622969856,365756.6808549438,9.0383231130,2212899
2707,-6,3704906.7678501704,3335261.8747992255,369644.8930509448,9.0228809798,2225933
2711,-8,4200030.4650336374,3830166.6522125197,369863.8128211177,10.3556133892,2232583
2713,-9,4613761.4086513836,4242649.6536444817,371111.7550069023,11.4322696503,2236189
2719,-13,5797775.1034638612,5425854.5412015775,371920.5622622835,14.5887458015,2245829
2729,-12,5642671.2392930435,5268457.2037703330,374214.0355227108,14.0787268880,2262423
2731,-14,6158790.7088783653,5781220.4163123844,377570.2925659808,15.3116400579,2265727
2741,-14,6306067.6528813681,5927045.1600647699,379022.4928165984,15.6377135194,2282227
2749,-13,6059860.6173333712,5679660.6314413836,380199.9858919874,14.9386134724,2295939
2753,-15,6685166.2979940111,6303236.6664577974,381929.6315362133,16.5036596954,2302591
2767,-16,6690612.0066990480,6305123.9136268916,385488.0930721565,16.3562092499,2325715
2777,-18,6920485.7207636796,6531570.6592079187,388915.0615557608,16.7943371313,2342741
2789,-19,7050726.4777778788,6659091.8268626053,391634.6509152732,17.0033264710,2362893
2791,-20,7446700.5365333203,7052876.0290028388,393824.5075304814,17.9086773274,2366401
2797,-23,8376374.4781185426,7981491.3661427218,394883.1119758204,20.2122884572,2376299
2801,-23,8512737.2758571189,8116357.5560463890,396379.7198107291,20.4762180061,2383313
2803,-25,9046257.3989791218,8650288.1402433664,395969.2587357552,21.8458578524,2387045
2819,-21,7986057.4567995034,7586135.7449377812,399921.7118617221,18.9690519918,2414443
2833,-23,8372407.8305117562,7967516.9227462821,404890.9077654746,19.6781818755,2438173
2837,-25,8857776.8534902036,8452943.4394991621,404833.4139910417,20.8800537391,2445013
2843,-23,8611591.0191878378,8204434.7847206574,407156.2344671813,20.1505812516,2455533
2851,-24,9104387.2276246008,8694312.8930633329,410074.3345612672,21.2017972360,2469021
2857,-23,9007606.1899706330,8594667.8599628378,412938.3300077955,20.8134417064,2479561
2861,-22,8860983.7359495722,8448022.7130196039,412961.0229299688,20.4571914634,2486709
2879,-20,8180812.6712501217,7765015.6774429753,415796.9938071463,18.6750163977,2517971
2887,-19,8090117.2088146368,7670645.6262755999,419471.5825390366,18.2864488217,2531941
2897,-19,8169226.7456436027,7747036.5103982873,422190.2352453158,18.3496345099,2549629
2903,-17,7701545.1739192102,7277697.4911654172,423847.6827537930,17.1705492027,2560483
2909,-18,8221278.0244239550,7795068.1477459455,426209.8766780092,18.2892714934,2570865
2917,-18,8439696.7581653297,8009394.5604983987,430302.1976669318,18.6134177421,2584865
2927,-17,8265326.6642933460,7833250.3140935730,432076.3501997729,18.1293197614,2602463
2939,-17,7850178.8370922245,7416128.3565119104,434050.4805803141,17.0858660186,2624125
2953,-15,7254062.2996059125,6813754.6585820103,440307.6410239025,15.4749861772,2649085
2957,-18,8008420.4470553817,7567784.8453417225,440635.6017136590,17.1747013085,2656341
2963,-16,7833443.6089647468,7391596.5212819912,441847.0876827553,16.7288564921,2667161
2969,-16,7989112.1313034706,7545766.6030924506,443345.5282110201,17.0200579975,2677933
