p,M(p),delta_w,verified,method,margin_or_dw
1693,-9,-2.207269769126093e-06,PASS,exact+wobble,2.207269769126093e-06
1697,-11,-2.482716362351323e-06,PASS,exact+wobble,2.482716362351323e-06
1699,-13,-2.721466827567559e-06,PASS,exact+wobble,2.721466827567559e-06
1709,-13,-2.769313731588302e-06,PASS,exact+wobble,2.769313731588302e-06
1721,-9,-2.187219615453167e-06,PASS,exact+wobble,2.187219615453167e-06
1723,-9,-2.312082109984150e-06,PASS,exact+wobble,2.312082109984150e-06
1733,-9,-2.229927941058921e-06,PASS,exact+wobble,2.229927941058921e-06
1741,-9,-2.114303679953363e-06,PASS,exact+wobble,2.114303679953363e-06
1747,-11,-2.325771599929365e-06,PASS,exact+wobble,2.325771599929365e-06
1753,-12,-2.482713168739607e-06,PASS,exact+wobble,2.482713168739607e-06
1759,-12,-2.424027568066430e-06,PASS,exact+wobble,2.424027568066430e-06
1777,-7,-1.822597198702393e-06,PASS,exact+wobble,1.822597198702393e-06
1783,-7,-1.820544147267589e-06,PASS,exact+wobble,1.820544147267589e-06
1787,-8,-1.968736413759812e-06,PASS,exact+wobble,1.968736413759812e-06
1789,-9,-2.159916236099744e-06,PASS,exact+wobble,2.159916236099744e-06
1801,-7,-1.776973767635744e-06,PASS,exact+wobble,1.776973767635744e-06
1811,-7,-1.766913376996266e-06,PASS,exact+wobble,1.766913376996266e-06
1823,-3,-1.315075191370379e-06,PASS,exact+wobble,1.315075191370379e-06
1831,-3,-1.309366258091086e-06,PASS,exact+wobble,1.309366258091086e-06
1847,-2,-9.731908131466746e-07,PASS,exact+wobble,9.731908131466746e-07
1867,-1,-7.987324473409394e-07,PASS,exact+wobble,7.987324473409394e-07
1871,-2,-9.467109808141403e-07,PASS,exact+wobble,9.467109808141403e-07
1873,-3,-1.100786097348321e-06,PASS,exact+wobble,1.100786097348321e-06
1877,-3,-1.205639132297813e-06,PASS,exact+wobble,1.205639132297813e-06
1879,-5,-1.406632620614659e-06,PASS,exact+wobble,1.406632620614659e-06
1889,-7,-1.680518998118025e-06,PASS,exact+wobble,1.680518998118025e-06
1901,-4,-1.324346549904200e-06,PASS,exact+wobble,1.324346549904200e-06
1907,-5,-1.391700405068417e-06,PASS,exact+wobble,1.391700405068417e-06
1913,-6,-1.450578731302418e-06,PASS,exact+wobble,1.450578731302418e-06
1931,-2,-9.230611383853203e-07,PASS,exact+wobble,9.230611383853203e-07
1933,-3,-1.045014748676971e-06,PASS,exact+wobble,1.045014748676971e-06
2137,-1,-1.103468056699592e-06,PASS,exact+wobble,1.103468056699592e-06
2141,-2,-1.253669182177061e-06,PASS,exact+wobble,1.253669182177061e-06
2143,-3,-1.358078918480552e-06,PASS,exact+wobble,1.358078918480552e-06
2153,-2,-1.240521245458751e-06,PASS,exact+wobble,1.240521245458751e-06
2161,-2,-1.164442751015000e-06,PASS,exact+wobble,1.164442751015000e-06
2297,-1,-8.987639231735700e-07,PASS,exact+wobble,8.987639231735700e-07
2311,-2,-9.146795282593710e-07,PASS,exact+wobble,9.146795282593710e-07
2339,-1,-7.117986170742459e-07,PASS,exact+wobble,7.117986170742459e-07
2341,-2,-8.052301344049577e-07,PASS,exact+wobble,8.052301344049577e-07
2347,-3,-9.346874611295417e-07,PASS,exact+wobble,9.346874611295417e-07
2351,-4,-1.010473302933594e-06,PASS,exact+wobble,1.010473302933594e-06
2357,-6,-1.132218902639764e-06,PASS,exact+wobble,1.132218902639764e-06
2371,-2,-8.979086923286599e-07,PASS,exact+wobble,8.979086923286599e-07
2377,-3,-9.695425095932624e-07,PASS,exact+wobble,9.695425095932624e-07
2381,-6,-1.150951920834693e-06,PASS,exact+wobble,1.150951920834693e-06
2383,-8,-1.275463789256583e-06,PASS,exact+wobble,1.275463789256583e-06
2389,-9,-1.413814452162797e-06,PASS,exact+wobble,1.413814452162797e-06
2393,-10,-1.488798056384875e-06,PASS,exact+wobble,1.488798056384875e-06
2399,-12,-1.567945743309411e-06,PASS,exact+wobble,1.567945743309411e-06
2411,-15,-1.681617981931266e-06,PASS,exact+wobble,1.681617981931266e-06
2417,-15,-1.681190971646442e-06,PASS,exact+wobble,1.681190971646442e-06
2423,-15,-1.669148264839358e-06,PASS,exact+wobble,1.669148264839358e-06
2437,-11,-1.409083608369427e-06,PASS,exact+wobble,1.409083608369427e-06
2441,-13,-1.526049211571896e-06,PASS,exact+wobble,1.526049211571896e-06
2447,-12,-1.528455048713164e-06,PASS,exact+wobble,1.528455048713164e-06
2459,-11,-1.379080266238725e-06,PASS,exact+wobble,1.379080266238725e-06
2467,-10,-1.336938896164593e-06,PASS,exact+wobble,1.336938896164593e-06
2473,-8,-1.237262650297035e-06,PASS,exact+wobble,1.237262650297035e-06
2477,-8,-1.257001644366668e-06,PASS,exact+wobble,1.257001644366668e-06
2503,-1,-7.438093765296545e-07,PASS,exact+wobble,7.438093765296545e-07
2531,-1,-5.304268916809097e-07,PASS,exact+wobble,5.304268916809097e-07
2539,-1,-4.967486382271517e-07,PASS,exact+wobble,4.967486382271517e-07
2543,-3,-6.408079833903658e-07,PASS,exact+wobble,6.408079833903658e-07
2549,-4,-6.800420525282622e-07,PASS,exact+wobble,6.800420525282622e-07
2551,-5,-7.581918768475898e-07,PASS,exact+wobble,7.581918768475898e-07
2557,-7,-9.193756774603817e-07,PASS,exact+wobble,9.193756774603817e-07
2693,-2,-5.694467559475718e-07,PASS,exact+wobble,5.694467559475718e-07
2699,-6,-7.464701632684076e-07,PASS,exact+wobble,7.464701632684076e-07
2707,-6,-7.414947942525386e-07,PASS,exact+wobble,7.414947942525386e-07
2711,-8,-8.374194746161808e-07,PASS,exact+wobble,8.374194746161808e-07
2713,-9,-9.151611284101619e-07,PASS,exact+wobble,9.151611284101619e-07
2719,-13,-1.141426003105318e-06,PASS,exact+wobble,1.141426003105318e-06
2729,-12,-1.098043884762654e-06,PASS,exact+wobble,1.098043884762654e-06
2731,-14,-1.183441611302111e-06,PASS,exact+wobble,1.183441611302111e-06
2741,-14,-1.200982217560922e-06,PASS,exact+wobble,1.200982217560922e-06
2749,-13,-1.143337979203054e-06,PASS,exact+wobble,1.143337979203054e-06
2753,-15,-1.251736845701986e-06,PASS,exact+wobble,1.251736845701986e-06
2767,-16,-1.228014490202206e-06,PASS,exact+wobble,1.228014490202206e-06
2777,-18,-1.250891401856141e-06,PASS,exact+wobble,1.250891401856141e-06
2789,-19,-1.254027390198493e-06,PASS,exact+wobble,1.254027390198493e-06
2791,-20,-1.314840347022906e-06,PASS,exact+wobble,1.314840347022906e-06
2797,-23,-1.467204652346100e-06,PASS,exact+wobble,1.467204652346100e-06
2801,-23,-1.482257769343709e-06,PASS,exact+wobble,1.482257769343709e-06
2803,-25,-1.570024243347103e-06,PASS,exact+wobble,1.570024243347103e-06
2819,-21,-1.359331021699023e-06,PASS,exact+wobble,1.359331021699023e-06
2833,-23,-1.392457272977231e-06,PASS,exact+wobble,1.392457272977231e-06
2837,-25,-1.469124644982712e-06,PASS,exact+wobble,1.469124644982712e-06
2843,-23,-1.413980765942847e-06,PASS,exact+wobble,1.413980765942847e-06
