p,N,T_N,M_half,M_third,M_fifth,M_sixth,M_seventh,p_mod6,p_mod12,p_mod30,p_mod24
56237,56236,-21.1017195499,-3,-3,1,-4,6,5,5,17,5
56393,56392,-18.6995960443,2,-1,-3,-4,11,5,5,23,17
65843,65842,-14.6078605986,23,-7,-9,-8,-7,5,11,23,11
75869,75868,-24.2375927000,-30,-5,8,3,-12,5,5,29,5
75937,75936,-20.9010734009,-27,-2,10,3,-8,1,1,7,1
75967,75966,-20.9814490422,-29,-3,9,5,-6,1,7,7,7
76249,76248,-18.9766276959,-23,-1,6,5,-12,1,1,19,1
77647,77646,-20.3461179357,-19,-3,-11,-5,-4,1,7,7,7
77969,77968,-19.9736694276,-11,-3,-18,-7,-3,5,5,29,17
77983,77982,-19.7011090049,-9,-5,-16,-7,-4,1,7,13,7
78017,78016,-19.5019395552,-5,-8,-19,-9,-3,5,5,17,17
78139,78138,-17.2553108451,0,-3,-19,-13,-3,1,7,19,19
78191,78190,-18.4703946476,-2,-3,-19,-12,-3,5,11,11,23
78203,78202,-18.5483741016,-2,-2,-20,-13,-4,5,11,23,11
78233,78232,-18.6533584071,-4,0,-20,-12,-6,5,5,23,17
80953,80952,-20.4816095730,-2,-12,-37,-2,12,1,1,13,1
81001,81000,-20.2473894722,-4,-10,-37,-2,17,1,1,1,1
84349,84348,-22.1435859558,-46,-3,-13,15,14,1,1,19,13
84421,84420,-28.0726124972,-47,2,-13,12,19,1,1,1,13
84449,84448,-29.0232801003,-46,2,-15,11,20,5,5,29,17
84649,84648,-29.3675537817,-49,4,-17,13,23,1,1,19,1
84653,84652,-29.6497516284,-48,3,-18,13,22,5,5,23,5
84659,84658,-29.6717020138,-47,1,-19,14,23,5,11,29,11
90089,90088,-18.0212719043,0,15,-13,-4,4,5,5,29,17
91433,91432,-20.9998785363,5,25,-19,2,-12,5,5,23,17
91513,91512,-13.7394591334,7,22,-18,7,-9,1,1,13,1
100847,100846,-19.6272977603,0,-19,21,-15,16,5,11,17,23
100943,100942,-17.1459566266,9,-25,21,-20,15,5,11,23,23
104473,104472,-25.0544585521,6,-29,40,-14,-15,1,1,13,1
104701,104700,-17.0593159362,10,-24,37,-18,-21,1,1,1,13
108971,108970,-20.7733169475,14,-3,3,-17,-15,5,11,11,11
109423,109422,-16.1736260871,9,3,-3,-19,-19,1,7,13,7
109451,109450,-15.8241697243,10,5,-4,-22,-19,5,11,11,11
109507,109506,-15.7641254896,14,2,-2,-24,-22,1,7,7,19
109517,109516,-15.4762773838,14,3,-3,-24,-21,5,5,17,5
111127,111126,-10.1238480538,30,-14,-20,-23,-20,1,7,7,7
111263,111262,-7.3499480674,35,-11,-16,-27,-23,5,11,23,23
111269,111268,-7.6141919376,35,-11,-16,-27,-23,5,5,29,5
111271,111270,-8.3475881808,34,-12,-17,-26,-23,1,7,1,7
125693,125692,-26.9701269022,-28,-24,-6,34,-4,5,5,23,5
125711,125710,-27.5126362713,-29,-25,-5,34,-4,5,11,11,23
125789,125788,-28.3448161643,-28,-30,-6,36,-8,5,5,29,5
130021,130020,-19.6855934774,15,-49,-7,2,-23,1,1,1,13
130199,130198,-18.1686542732,15,-41,-3,3,-20,5,11,29,23
130307,130306,-21.6730406414,7,-39,-3,2,-18,5,11,17,11
130337,130336,-20.9776401914,6,-38,-2,4,-17,5,5,17,17
131293,131292,-22.2779606596,10,-23,1,-4,0,1,1,13,13
131639,131638,-17.5041205188,0,-17,4,-8,2,5,11,29,23
131777,131776,-17.6979395068,0,-13,3,-6,5,5,5,17,17
132047,132046,-14.8435624384,7,-17,3,-3,20,5,11,17,23
132059,132058,-16.1625502328,6,-19,4,-2,20,5,11,29,11
132313,132312,-13.5355112392,19,-25,2,-9,27,1,1,13,1
134857,134856,-1.2378561365,32,1,-14,-27,46,1,1,7,1
134887,134886,-1.0380137289,34,-1,-12,-28,45,1,7,7,7
135721,135720,-16.6013254405,17,-4,-19,-18,44,1,1,1,1
162229,162228,-18.2365537619,-15,21,35,-11,-38,1,1,19,13
162451,162450,-21.9392257185,-15,31,36,-18,-37,1,7,1,19
162457,162456,-22.1245443097,-15,30,35,-18,-37,1,1,7,1
163147,163146,-23.9888114877,-26,20,21,-11,-30,1,7,7,19
163151,163150,-24.1286212539,-25,19,22,-11,-31,5,11,11,23
163171,163170,-24.6884968482,-26,18,20,-9,-32,1,7,1,19
194981,194980,-34.6693176610,-88,18,-10,36,10,5,5,11,5
195469,195468,-26.9473133564,-71,5,0,29,1,1,1,19,13
195863,195862,-31.0767714621,-72,13,-5,22,-1,5,11,23,23
195883,195882,-32.2707472139,-74,12,-5,21,-3,1,7,13,19
195887,195886,-33.0606736028,-76,12,-5,21,-3,5,11,17,23
195893,195892,-33.8107634678,-76,11,-6,21,-3,5,5,23,5
195919,195918,-33.1773577906,-73,10,-8,22,-6,1,7,19,7
196139,196138,-34.7131813424,-70,4,-10,26,-1,5,11,29,11
196709,196708,-32.5892112488,-68,11,-22,24,-9,5,5,29,5
196769,196768,-31.8993627018,-66,12,-24,21,-6,5,5,29,17
196837,196836,-30.0844163745,-60,14,-23,15,-2,1,1,7,13
197767,197766,-34.1773311018,-62,1,-17,23,-2,1,7,7,7
198251,198250,-39.1103572722,-57,8,-16,9,7,5,11,11,11
198323,198322,-42.5722859047,-67,9,-14,7,8,5,11,23,11
198349,198348,-42.5091828851,-67,10,-14,8,7,1,1,19,13
198413,198412,-43.8754146895,-74,14,-14,8,8,5,5,23,5
199337,199336,-34.6487576758,-57,35,-8,4,7,5,5,17,17
199373,199372,-26.8256519231,-52,32,-6,3,5,5,5,23,5
199403,199402,-27.0523250707,-52,31,-8,3,6,5,11,23,11
199739,199738,-32.5435731447,-60,25,-9,12,7,5,11,29,11
199813,199812,-39.5314567374,-57,25,-10,12,3,1,1,13,13
199819,199818,-39.2210192160,-58,27,-9,11,4,1,7,19,19
199831,199830,-39.5739355825,-58,27,-9,12,2,1,7,1,7
199853,199852,-39.7335425822,-60,26,-7,12,1,5,5,23,5
200009,200008,-35.7293506736,-47,30,-11,4,-3,5,5,29,17
200713,200712,-18.4196417193,-19,33,-11,-1,-9,1,1,13,1
201829,201828,-8.2077072087,-1,35,-13,-25,-21,1,1,19,13
202061,202060,-20.3970946308,-18,35,-8,-17,-27,5,5,11,5
206749,206748,-12.4078934977,-25,52,-12,-23,14,1,1,19,13
206779,206778,-10.4909657994,-22,53,-11,-22,14,1,7,19,19
206807,206806,-10.7219806447,-21,51,-11,-23,15,5,11,17,23
213901,213900,-30.0499719988,-22,43,-78,-22,28,1,1,1,13
213949,213948,-25.5065716807,-25,42,-80,-21,29,1,1,19,13
213953,213952,-25.7517490487,-25,41,-79,-21,29,5,5,23,17
218021,218020,-8.3326538321,4,34,-35,-3,45,5,5,11,5
218047,218046,-6.7903315168,7,34,-36,-3,45,1,7,7,7
218629,218628,-8.1070881102,7,30,-23,4,35,1,1,19,13
218761,218760,-11.4008963098,2,24,-20,3,34,1,1,1,1
219031,219030,-13.7655133709,-2,21,-29,3,36,1,7,1,7
219301,219300,-15.6799916984,-9,17,-22,2,38,1,1,1,13
219353,219352,-14.0563585722,-6,21,-21,2,37,5,5,23,17
243227,243226,-10.1931174348,56,-12,83,-8,-37,5,11,17,11
243577,243576,-3.5915299956,50,-11,83,-5,-30,1,1,7,1
243613,243612,-4.3452458338,53,-14,83,-5,-32,1,1,13,13
243703,243702,-2.3235269223,62,-15,78,-1,-31,1,7,13,7
243799,243798,0.1652217434,63,-9,83,-2,-29,1,7,19,7
244507,244506,-2.8062256424,46,-18,72,-2,-25,1,7,7,19
245257,245256,-12.0895615385,36,-29,72,-7,-11,1,1,7,1
245941,245940,-12.9188059139,40,-28,72,-12,-20,1,1,1,13
246049,246048,-14.0104506379,40,-33,65,-10,-16,1,1,19,1
246097,246096,-13.0105247139,41,-34,65,-9,-17,1,1,7,1
246121,246120,-12.8679591552,40,-34,65,-9,-16,1,1,1,1
246223,246222,-13.8711667526,43,-38,65,-7,-20,1,7,13,7
246641,246640,-17.6752478453,36,-50,66,8,-19,5,5,11,17
246661,246660,-17.3965501450,38,-50,64,5,-18,1,1,1,13
250813,250812,-21.2538259402,18,-22,14,-26,-10,1,1,13,13
250969,250968,-24.6507929642,11,-29,11,-23,-11,1,1,19,1
250993,250992,-24.7639829853,10,-29,11,-22,-10,1,1,13,1
253417,253416,-10.7064870264,20,-7,8,-47,-4,1,1,7,1
253481,253480,-12.6079791846,15,-8,11,-44,-7,5,5,11,17
253493,253492,-12.8279267472,14,-7,12,-43,-6,5,5,23,5
253507,253506,-13.3867680611,13,-8,13,-43,-6,1,7,7,19
253543,253542,-19.0234646042,15,-6,13,-46,-5,1,7,13,7
253601,253600,-17.2181203835,21,-8,17,-45,-6,5,5,11,17
253633,253632,-18.1572033768,19,-7,15,-43,-8,1,1,13,1
259691,259690,-18.3900460510,-8,27,6,-48,-14,5,11,11,11
259733,259732,-17.5224698003,-8,31,5,-51,-14,5,5,23,5
259837,259836,-16.5583213014,-8,35,8,-49,-15,1,1,7,13
259841,259840,-16.8335205694,-9,36,8,-49,-15,5,5,11,17
259949,259948,-14.1457203863,-8,41,6,-52,-11,5,5,29,5
260207,260206,-21.0437652219,-16,38,13,-40,-8,5,11,17,23
260263,260262,-21.0478416027,-14,37,11,-41,-8,1,7,13,7
260363,260362,-17.9488831045,-8,38,9,-39,-9,5,11,23,11
260413,260412,-16.5480765335,-3,40,9,-39,-13,1,1,13,13
260551,260550,-19.1290642108,-1,39,9,-41,-17,1,7,1,7
267307,267306,-25.1493869024,-34,23,11,3,-23,1,7,7,19
267317,267316,-26.1001742015,-36,21,11,3,-23,5,5,17,5
267451,267450,-30.1244350684,-44,19,15,8,-28,1,7,1,19
273919,273918,-24.6925760887,-59,10,11,3,-4,1,7,19,7
273929,273928,-25.1640047805,-59,8,12,4,-4,5,5,29,17
273941,273940,-24.6321908516,-58,9,12,3,-6,5,5,11,5
274007,274006,-25.2768318400,-56,8,11,-1,-4,5,11,17,23
275393,275392,-38.4153458441,-77,5,7,13,-22,5,5,23,17
275699,275698,-42.4599864606,-82,-6,9,23,-22,5,11,29,11
275741,275740,-43.1949804772,-83,-3,6,23,-25,5,5,11,5
275963,275962,-39.8946789257,-77,-9,15,22,-23,5,11,23,11
277183,277182,-55.6026065834,-101,-20,23,35,-17,1,7,13,7
277421,277420,-49.7450764317,-104,-25,26,34,-19,5,5,11,5
277427,277426,-49.7322716511,-104,-24,26,33,-19,5,11,17,11
278051,278050,-48.5388015869,-90,-26,35,37,-17,5,11,11,11
278387,278386,-45.1734895151,-96,-40,29,44,-8,5,11,17,11
322513,322512,-41.6313613533,-50,-11,-35,14,31,1,1,13,1
322519,322518,-41.4870462941,-49,-11,-35,14,32,1,7,19,7
372871,372870,-0.2777049857,40,40,38,-78,13,1,7,1,7
375709,375708,-10.5605437923,33,19,33,-49,10,1,1,19,13
376633,376632,-10.2726946791,46,6,22,-35,19,1,1,13,1
377059,377058,-20.4834923661,40,0,22,-29,20,1,7,19,19
377099,377098,-21.4177920581,39,-3,22,-27,19,5,11,29,11
377231,377230,-19.0340568345,44,-2,25,-34,20,5,11,11,23
378289,378288,-0.1906804579,56,16,11,-44,28,1,1,19,1
383983,383982,8.8012988556,88,64,16,-73,7,1,7,13,7
384203,384202,3.1521454201,72,65,9,-69,7,5,11,23,11
392831,392830,-26.1683545933,11,-8,2,3,0,5,11,11,23
392983,392982,-28.1995138667,12,-13,-2,4,1,1,7,13,7
393073,393072,-30.2265857292,6,-14,2,7,2,1,1,13,1
393077,393076,-30.5847204938,6,-14,2,7,2,5,5,17,5
393271,393270,-26.7495529659,2,-18,-1,12,-3,1,7,1,7
393401,393400,-27.9537321677,0,-18,-1,9,0,5,5,11,17
393403,393402,-28.6231974983,-1,-19,-1,10,0,1,7,13,19
393451,393450,-28.6317455942,-6,-17,2,12,-2,1,7,1,19
393521,393520,-27.6451463221,-3,-15,2,12,-4,5,5,11,17
439973,439972,-29.1575197085,-29,-42,27,38,-27,5,5,23,5
439981,439980,-29.3402086099,-29,-42,28,38,-28,1,1,1,13
440393,440392,-34.7143320652,-27,-36,24,36,-30,5,5,23,17
440507,440506,-36.9111747777,-33,-44,29,41,-36,5,11,17,11
440651,440650,-37.2543983492,-36,-49,29,41,-35,5,11,11,11
440669,440668,-38.0687780179,-38,-50,29,43,-35,5,5,29,5
440681,440680,-38.0613312338,-37,-51,31,41,-35,5,5,11,17
441907,441906,-42.8956462454,-57,-55,46,37,-39,1,7,7,19
481211,481210,-34.1720603875,-11,-50,-121,4,47,5,11,11,11
481301,481300,-33.7615676804,-18,-47,-115,4,48,5,5,11,5
481307,481306,-34.9924640330,-19,-48,-116,4,47,5,11,17,11
482759,482758,-44.3700781530,-42,-54,-122,10,51,5,11,29,23
482767,482766,-44.7714865645,-41,-56,-123,11,52,1,7,7,7
483247,483246,-52.4315291785,-49,-59,-105,11,61,1,7,7,7
483409,483408,-50.3543292672,-47,-56,-104,15,66,1,1,19,1
483557,483556,-49.3881476953,-43,-54,-107,18,65,5,5,17,5
483577,483576,-51.0574253297,-47,-54,-106,18,65,1,1,7,1
490741,490740,-18.1049325999,-7,16,-67,-34,73,1,1,1,13
491789,491788,-13.8687817396,-4,5,-66,-27,57,5,5,29,5
492911,492910,-15.2674665282,-1,12,-62,-38,63,5,11,11,23
493043,493042,-14.7097612502,-2,17,-61,-40,60,5,11,23,11
493351,493350,-20.2668882230,-1,8,-62,-50,52,1,7,1,7
493397,493396,-18.8687181541,0,10,-60,-49,54,5,5,17,5
494381,494380,-21.7798920191,16,17,-60,-61,44,5,5,11,5
494407,494406,-22.2960225311,16,18,-62,-62,43,1,7,7,7
494561,494560,-19.6693594729,20,24,-67,-63,49,5,5,11,17
494563,494562,-20.3389802687,19,23,-67,-62,49,1,7,13,19
497297,497296,-18.7606522373,-24,44,-56,-52,44,5,5,17,17
498907,498906,-32.3978089904,-17,35,-57,-45,47,1,7,7,19
498923,498922,-32.4066858591,-18,34,-56,-45,49,5,11,23,11
498937,498936,-33.7969929215,-18,32,-59,-45,49,1,1,7,1
498973,498972,-34.4396199981,-20,33,-58,-44,47,1,1,13,13
498977,498976,-35.1629940276,-21,33,-59,-44,46,5,5,17,17
499327,499326,-29.8051018871,-21,33,-61,-36,40,1,7,7,7
500107,500106,-41.1513325869,-41,30,-44,-29,21,1,7,7,19
500113,500112,-41.8927153637,-41,29,-45,-29,21,1,1,13,1
503147,503146,-14.7530473626,-24,35,-25,-4,31,5,11,17,11
503267,503266,-15.1145243497,-23,35,-21,-6,21,5,11,17,11
503317,503316,-15.5811430935,-24,34,-19,-7,23,1,1,7,13
511039,511038,-23.4975495332,-74,92,-65,28,22,1,7,19,7
511061,511060,-24.4291883201,-75,90,-62,27,22,5,5,11,5
511447,511446,-19.2798908477,-74,89,-65,26,12,1,7,7,7
511523,511522,-18.5522907749,-70,93,-68,20,15,5,11,23,11
512011,512010,-26.4072208639,-76,93,-58,22,24,1,7,1,19
512717,512716,-19.4603130056,-75,98,-52,27,37,5,5,17,5
513131,513130,-23.2244031578,-78,99,-62,30,39,5,11,11,11
513157,513156,-23.4000036272,-79,99,-61,29,41,1,1,7,13
513167,513166,-23.2062692563,-78,99,-60,29,40,5,11,17,23
513367,513366,-25.4674668741,-81,97,-63,34,36,1,7,7,7
515507,515506,-8.4352443514,-52,90,-41,57,37,5,11,17,11
545731,545730,-24.8528544647,-38,53,3,9,0,1,7,1,19
545747,545746,-24.1186712374,-35,53,3,10,0,5,11,17,11
551113,551112,-16.2122819928,4,31,13,-6,2,1,1,13,1
551143,551142,-15.5311531463,6,29,11,-5,5,1,7,13,7
551339,551338,-22.1747093332,-1,40,11,-10,11,5,11,29,11
551909,551908,-23.4294350751,-3,34,9,-8,14,5,5,29,5
551911,551910,-24.1627810917,-4,33,8,-7,14,1,7,1,7
551917,551916,-24.4921387297,-3,32,7,-8,13,1,1,7,13
554417,554416,-17.1275234188,8,61,15,-24,17,5,5,17,17
559703,559702,-4.5561043582,37,53,39,-61,0,5,11,23,23
559709,559708,-4.9007792892,37,52,38,-61,1,5,5,29,5
561521,561520,-14.4956698687,32,45,32,-60,4,5,5,11,17
561529,561528,-14.2732167599,33,46,31,-61,3,1,1,19,1
564671,564670,4.6360035153,39,44,59,-70,15,5,11,11,23
564679,564678,5.0169759372,40,44,58,-70,15,1,7,19,7
565549,565548,0.8127394118,57,37,66,-68,1,1,1,19,13
565559,565558,0.1252711176,56,37,64,-68,2,5,11,29,23
565637,565636,-0.4521200681,56,38,60,-69,0,5,5,17,5
565661,565660,-1.1326503880,54,39,58,-69,0,5,5,11,5
567937,567936,23.1204335047,111,57,67,-101,-15,1,1,7,1
570667,570666,-0.6134254845,83,40,85,-109,-16,1,7,7,19
570677,570676,-1.3726906000,81,41,85,-109,-16,5,5,17,5
570961,570960,6.3768900586,78,44,80,-109,-25,1,1,1,1
571099,571098,6.7345274035,81,38,82,-103,-26,1,7,19,19
571531,571530,13.8472904923,82,59,89,-113,-24,1,7,1,19
571601,571600,14.8164933026,84,63,86,-116,-27,5,5,11,17
571657,571656,15.1574900080,85,61,83,-117,-23,1,1,7,1
571679,571678,14.8752395316,87,60,80,-116,-24,5,11,29,23
572059,572058,15.2702144454,84,60,89,-111,-31,1,7,19,19
572177,572176,12.5837392245,78,53,83,-107,-28,5,5,17,17
572179,572178,11.9098213178,77,52,83,-106,-28,1,7,19,19
572233,572232,12.4104806150,74,56,84,-107,-29,1,1,13,1
631453,631452,5.7517286788,129,-80,15,-27,-12,1,1,13,13
633781,633780,-0.2468888245,117,-74,13,-26,0,1,1,1,13
633793,633792,-1.9783809250,114,-75,11,-25,1,1,1,13,1
633883,633882,-5.3779460565,101,-71,16,-23,-1,1,7,13,19
633931,633930,-3.2528061657,101,-68,17,-25,-1,1,7,1,19
638971,638970,0.8401111246,91,-27,75,-30,18,1,7,1,19
639007,639006,-0.0772471402,88,-26,76,-31,18,1,7,7,7
778793,778792,-6.0129028033,52,1,-63,-7,-4,5,5,23,17
778913,778912,-5.8887447009,59,-2,-63,-6,-4,5,5,23,17
779081,779080,-5.7467602322,60,-4,-64,-9,2,5,5,11,17
779731,779730,5.1601904108,63,3,-72,-6,5,1,7,1,19
780257,780256,1.0392259930,60,-10,-65,-4,20,5,5,17,17
780397,780396,0.4364206327,57,-7,-64,-2,18,1,1,7,13
780401,780400,0.1486454177,56,-6,-64,-2,18,5,5,11,17
780433,780432,0.6379626795,55,-3,-61,-6,16,1,1,13,1
785353,785352,-24.5500327030,13,19,-58,-14,44,1,1,13,1
785597,785596,-26.0853551526,6,20,-54,-12,40,5,5,17,5
785627,785626,-27.2316617843,4,20,-52,-12,40,5,11,17,11
785779,785778,-26.0945636778,3,22,-51,-9,41,1,7,19,19
789473,789472,-28.6393431333,-34,36,-62,5,51,5,5,23,17
789961,789960,-28.2112280071,-29,33,-67,-2,57,1,1,1,1
789967,789966,-28.4576686909,-29,34,-68,-2,57,1,7,7,7
789977,789976,-29.7486608651,-32,33,-69,-1,58,5,5,17,17
790003,790002,-29.3427678160,-32,33,-68,-2,61,1,7,13,19
791599,791598,-30.3346251864,-29,32,-66,-7,60,1,7,19,7
793733,793732,-22.8757914954,5,13,-66,-2,51,5,5,23,5
793957,793956,-23.0799663685,6,11,-70,-3,52,1,1,7,13
803849,803848,-28.0248877568,14,-62,-59,-10,89,5,5,29,17
803989,803988,-26.2047396666,18,-55,-59,-14,88,1,1,19,13
804161,804160,-29.5443861626,16,-61,-60,-11,86,5,5,11,17
804197,804196,-29.4257452429,13,-59,-59,-11,87,5,5,17,5
960373,960372,8.2036144951,38,60,79,-64,-61,1,1,13,13
960667,960666,12.3051742291,48,60,73,-64,-63,1,7,7,19
963253,963252,-12.6616150560,11,31,48,-38,-79,1,1,13,13
963367,963366,-15.9933599172,1,31,51,-36,-81,1,7,7,7
963491,963490,-13.1960208598,5,35,53,-34,-81,5,11,11,11
963689,963688,-13.1988507312,16,31,56,-40,-85,5,5,29,17
963691,963690,-13.9884583852,15,30,55,-39,-86,1,7,1,19
964559,964558,-25.9024864422,14,31,41,-58,-81,5,11,29,23
964577,964576,-25.0667414224,15,34,42,-60,-80,5,5,17,17
964783,964782,-22.1181938636,21,31,39,-59,-78,1,7,13,7
964861,964860,-22.2346168350,19,34,43,-60,-78,1,1,1,13
964897,964896,-23.9468820481,16,32,41,-58,-81,1,1,7,1
965047,965046,-23.3936011211,15,38,41,-60,-80,1,7,7,7
