p,N,T_N,M_half,M_third,M_fifth,M_sixth,M_seventh,p_mod6,p_mod12,p_mod30,p_mod24
1114723,1114722,-29.1421101342,25,-11,-78,27,-64,1,7,13,19
1117273,1117272,-26.1020640675,36,7,-89,20,-62,1,1,13,1
1118807,1118806,-22.6830394141,21,3,-83,41,-68,5,11,17,23
1118951,1118950,-23.3043147431,21,4,-83,40,-71,5,11,11,23
1118969,1118968,-23.0570697429,20,3,-81,41,-70,5,5,29,17
1133227,1133226,-8.5954778975,32,10,-55,33,-36,1,7,7,19
1133239,1133238,-10.7916591211,27,9,-56,34,-38,1,7,19,7
1133387,1133386,-10.9182813879,23,7,-54,37,-37,5,11,17,11
1140371,1140370,-3.0146958286,10,28,-51,37,-35,5,11,11,11
1140389,1140388,-3.6655035372,10,27,-52,36,-35,5,5,29,5
1140413,1140412,-3.7346299581,12,24,-51,36,-34,5,5,23,5
1141067,1141066,-6.6409532962,3,24,-44,33,-30,5,11,17,11
1141087,1141086,-6.6085138669,4,24,-45,33,-32,1,7,7,7
1141243,1141242,-6.1479065050,8,21,-46,39,-33,1,7,13,19
1142573,1142572,-1.8416831542,2,37,-49,38,-10,5,5,23,5
1142851,1142850,5.1130275019,-1,33,-54,46,-7,1,7,1,19
1143091,1143090,1.4957253115,-2,17,-68,61,2,1,7,1,19
1161449,1161448,-22.1805246337,-44,29,-107,25,45,5,5,29,17
1161871,1161870,-23.7415425018,-47,38,-107,16,44,1,7,1,7
1161877,1161876,-24.2070975612,-49,39,-107,17,43,1,1,7,13
1161883,1161882,-24.3123216203,-50,41,-107,16,42,1,7,13,19
1162559,1162558,-29.1322896403,-61,44,-114,24,48,5,11,29,23
1162571,1162570,-28.5838272310,-60,46,-114,24,47,5,11,11,11
1173463,1173462,-51.8290483938,-111,29,-62,1,31,1,7,13,7
1173481,1173480,-52.3309045085,-114,30,-64,2,31,1,1,1,1
1174769,1174768,-54.0621840196,-138,57,-68,-6,40,5,5,29,17
1174781,1174780,-54.4326026180,-140,59,-68,-6,40,5,5,11,5
1176121,1176120,-62.9560489445,-165,52,-68,-4,63,1,1,1,1
1176127,1176126,-63.3727030056,-166,52,-68,-5,64,1,7,7,7
1176137,1176136,-63.7091930874,-167,52,-70,-4,65,5,5,17,17
1176239,1176238,-61.8398552896,-164,57,-72,-7,65,5,11,29,23
1177223,1177222,-66.7830539374,-149,21,-64,-12,79,5,11,23,23
1177741,1177740,-58.6639459377,-148,15,-60,0,77,1,1,1,13
1177769,1177768,-59.7299499523,-151,16,-59,-2,77,5,5,29,17
1177873,1177872,-58.8663637608,-153,16,-59,-2,78,1,1,13,1
1177877,1177876,-59.5637223981,-155,16,-59,-2,78,5,5,17,5
1178447,1178446,-77.2774507759,-181,3,-51,7,70,5,11,17,23
1208821,1208820,-92.4694060456,-250,21,-47,26,82,1,1,1,13
1234241,1234240,-55.4041920994,-229,127,-22,20,76,5,5,11,17
1234253,1234252,-57.0492753689,-232,127,-23,19,75,5,5,23,5
1246841,1246840,-30.4939515729,-155,145,-18,-41,80,5,5,11,17
1246891,1246890,-29.4665406934,-154,147,-17,-46,82,1,7,1,19
1247317,1247316,-20.3714198415,-134,154,-19,-53,87,1,1,7,13
1247867,1247866,-18.3357454731,-145,156,-27,-55,93,5,11,17,11
1247893,1247892,-18.5546818323,-143,152,-28,-52,94,1,1,13,13
1248253,1248252,-24.2915465138,-158,148,-23,-45,93,1,1,13,13
1248353,1248352,-26.2010203804,-165,151,-21,-44,94,5,5,23,17
1248391,1248390,-26.7391591290,-167,151,-23,-44,94,1,7,1,7
1248553,1248552,-27.6847233120,-176,159,-17,-45,91,1,1,13,1
1249141,1249140,-40.7034981253,-178,160,-31,-46,83,1,1,1,13
1249159,1249158,-40.7113831493,-177,160,-31,-46,83,1,7,19,7
1249247,1249246,-41.9522987780,-176,155,-31,-48,88,5,11,17,23
1249333,1249332,-41.8954027100,-172,148,-38,-46,89,1,1,13,13
1331437,1331436,11.5084759238,161,-51,1,-61,40,1,1,7,13
