N,wobble,farey_size,is_prime,delta_w,mertens,mu
199,3.078660452521340e-03,12153,1,-1.024095576233172e-04,-8,-1
200,3.046142803265683e-03,12233,0,3.251764925565762e-05,-8,0
201,2.989489602906273e-03,12365,0,5.665320035940944e-05,-7,1
202,2.949400583828986e-03,12465,0,4.008901907728759e-05,-6,1
203,2.876979474390372e-03,12633,0,7.242110943861402e-05,-5,1
204,2.843946323821653e-03,12697,0,3.303315056871854e-05,-5,0
205,2.784030782385106e-03,12857,0,5.991554143654730e-05,-4,1
206,2.771472296756491e-03,12959,0,1.255848562861433e-05,-3,1
207,2.730027355443096e-03,13091,0,4.144494131339558e-05,-3,0
208,2.700130344015533e-03,13187,0,2.989701142756297e-05,-3,0
209,2.660478631731749e-03,13367,0,3.965171228378396e-05,-2,1
210,2.643838152246733e-03,13415,0,1.664047948501555e-05,-1,1
211,2.695318307117224e-03,13625,1,-5.148015487049101e-05,-2,-1
212,2.673390101742671e-03,13729,0,2.192820537455335e-05,-2,0
213,2.658952358259129e-03,13869,0,1.443774348354205e-05,-1,1
214,2.665332106261000e-03,13975,0,-6.379748001870880e-06,0,1
215,2.653262608442764e-03,14143,0,1.206949781823539e-05,1,1
216,2.628919990485727e-03,14215,0,2.434261795703722e-05,1,0
217,2.623565521091283e-03,14395,0,5.354469394443836e-06,2,1
218,2.649960997184737e-03,14503,0,-2.639547609345353e-05,3,1
219,2.669807335233524e-03,14647,0,-1.984633804878733e-05,4,1
220,2.636254629789208e-03,14727,0,3.355270544431674e-05,4,0
221,2.637595993006738e-03,14919,0,-1.341363217530461e-06,5,1
222,2.579307957187749e-03,14991,0,5.828803581898892e-05,4,-1
223,2.585700983098267e-03,15213,1,-6.393025910518026e-06,3,-1
224,2.558490188802539e-03,15309,0,2.721079429572832e-05,3,0
225,2.526854141209623e-03,15429,0,3.163604759291597e-05,3,0
226,2.559819165262846e-03,15541,0,-3.296502405322364e-05,4,1
227,2.570221233979238e-03,15767,1,-1.040206871639202e-05,3,-1
228,2.553667116748277e-03,15839,0,1.655411723096127e-05,3,0
229,2.575558563222284e-03,16067,1,-2.189144647400665e-05,2,-1
230,2.526500902656009e-03,16155,0,4.905766056627478e-05,1,-1
231,2.473066060061394e-03,16275,0,5.343484259461495e-05,0,-1
232,2.448632538955047e-03,16387,0,2.443352110634723e-05,0,0
233,2.488397539687318e-03,16619,1,-3.976500073227121e-05,-1,-1
234,2.469993246120343e-03,16691,0,1.840429356697549e-05,-1,0
235,2.450084287867957e-03,16875,0,1.990895825238577e-05,0,1
236,2.422479905266770e-03,16991,0,2.760438260118693e-05,0,0
237,2.421536624669877e-03,17147,0,9.432805968927205e-07,1,1
238,2.380244062873037e-03,17243,0,4.129256179684045e-05,0,-1
239,2.416386855361097e-03,17481,1,-3.614279248806071e-05,-1,-1
240,2.398764125479231e-03,17545,0,1.762272988186687e-05,-1,0
241,2.443378226495016e-03,17785,1,-4.461410101578526e-05,-2,-1
242,2.429333442608470e-03,17895,0,1.404478388654590e-05,-2,0
243,2.418602887111619e-03,18057,0,1.073055549685124e-05,-2,0
244,2.400538904438733e-03,18177,0,1.806398267288579e-05,-2,0
245,2.371670388069860e-03,18345,0,2.886851636887304e-05,-2,0
246,2.349323603624307e-03,18425,0,2.234678444555270e-05,-3,-1
247,2.321328395836900e-03,18641,0,2.799520778740735e-05,-2,1
248,2.306182099331670e-03,18761,0,1.514629650523026e-05,-2,0
249,2.304799177356028e-03,18925,0,1.382921975641525e-06,-1,1
250,2.290750490424385e-03,19025,0,1.404868693164309e-05,-1,0
251,2.325831566326243e-03,19275,1,-3.508107590185789e-05,-2,-1
252,2.308087927454353e-03,19347,0,1.774363887189004e-05,-2,0
253,2.278231377394136e-03,19567,0,2.985655006021654e-05,-1,1
254,2.278085234298448e-03,19693,0,1.461430956884238e-07,0,1
255,2.235530134678052e-03,19821,0,4.255509962039538e-05,-1,-1
256,2.227002202944892e-03,19949,0,8.527931733160170e-06,-1,0
257,2.262112611963271e-03,20205,1,-3.511040901837872e-05,-2,-1
258,2.247557956306780e-03,20289,0,1.455465565649086e-05,-3,-1
259,2.218990407710728e-03,20505,0,2.856754859605201e-05,-2,1
260,2.201160006710055e-03,20601,0,1.783040100067270e-05,-2,0
261,2.175418635158022e-03,20769,0,2.574137155203363e-05,-2,0
262,2.177900196374449e-03,20899,0,-2.481561216427421e-06,-1,1
263,2.211104894289224e-03,21161,1,-3.320469791477437e-05,-2,-1
264,2.190002215776386e-03,21241,0,2.110267851283733e-05,-2,0
265,2.173740188658046e-03,21449,0,1.626202711834052e-05,-1,1
266,2.149666067030083e-03,21557,0,2.407412162796227e-05,-2,-1
267,2.141793627358304e-03,21733,0,7.872439671779367e-06,-1,1
268,2.129915216217015e-03,21865,0,1.187841114128887e-05,-1,0
269,2.160063885576680e-03,22133,1,-3.014866935966516e-05,-2,-1
270,2.147622143127201e-03,22205,0,1.244174244947969e-05,-2,0
271,2.184491033439481e-03,22475,1,-3.686889031228029e-05,-3,-1
272,2.162530663579763e-03,22603,0,2.196036985971849e-05,-3,0
273,2.142166968527094e-03,22747,0,2.036369505266887e-05,-4,-1
274,2.135792792925475e-03,22883,0,6.374175601618712e-06,-3,1
275,2.105765459373597e-03,23083,0,3.002733355187814e-05,-3,0
276,2.091853505717751e-03,23171,0,1.391195365584626e-05,-3,0
277,2.134264854984504e-03,23447,1,-4.241134926675312e-05,-4,-1
278,2.133044061326761e-03,23585,0,1.220793657742952e-06,-3,1
279,2.117832542325213e-03,23765,0,1.521151900154725e-05,-3,0
280,2.103420688401631e-03,23861,0,1.441185392358265e-05,-3,0
281,2.146685196795098e-03,24141,1,-4.326450839346697e-05,-4,-1
282,2.138659982631323e-03,24233,0,8.025214163774434e-06,-5,-1
283,2.189649723850857e-03,24515,1,-5.098974121953408e-05,-6,-1
284,2.170123899536003e-03,24655,0,1.952582431485449e-05,-6,0
285,2.172699031994744e-03,24799,0,-2.575132458740911e-06,-7,-1
286,2.165326953548333e-03,24919,0,7.372078446411107e-06,-8,-1
287,2.118218664787063e-03,25159,0,4.710828876126937e-05,-7,1
288,2.104238576055843e-03,25255,0,1.398008873122010e-05,-7,0
289,2.106960870905754e-03,25527,0,-2.722294849911121e-06,-7,0
290,2.104139081031809e-03,25639,0,2.821789873945837e-06,-8,-1
291,2.068615850047746e-03,25831,0,3.552323098406302e-05,-7,1
292,2.060595420700112e-03,25975,0,8.020429347633043e-06,-7,0
293,2.110566074516330e-03,26267,1,-4.997065381621719e-05,-8,-1
294,2.099051119741279e-03,26351,0,1.151495477505048e-05,-8,0
295,2.059961907503709e-03,26583,0,3.908921223757036e-05,-7,1
296,2.040025671728736e-03,26727,0,1.993623577497281e-05,-7,0
297,2.015622195288645e-03,26907,0,2.440347644009104e-05,-7,0
298,1.999852617193416e-03,27055,0,1.576957809522892e-05,-6,1
299,1.968039985864391e-03,27319,0,3.181263132902463e-05,-5,1
300,1.956379033816995e-03,27399,0,1.166095204739679e-05,-5,0
301,1.934836898978261e-03,27651,0,2.154213483873354e-05,-4,1
302,1.930977324806480e-03,27801,0,3.859574171781455e-06,-3,1
303,1.916305258399413e-03,28001,0,1.467206640706677e-05,-2,1
304,1.901889734382551e-03,28145,0,1.441552401686163e-05,-2,0
305,1.892778979193932e-03,28385,0,9.110755188618778e-06,-1,1
306,1.875783952722360e-03,28481,0,1.699502647157223e-05,-1,0
307,1.899117421852183e-03,28787,1,-2.333346912982326e-05,-2,-1
308,1.881090322852420e-03,28907,0,1.802709899976379e-05,-2,0
309,1.874426904002200e-03,29111,0,6.663418850219984e-06,-1,1
310,1.862411970970982e-03,29231,0,1.201493303121769e-05,-2,-1
311,1.890203108296334e-03,29541,1,-2.779113732535193e-05,-3,-1
312,1.880771371254135e-03,29637,0,9.431737042199257e-06,-3,0
313,1.913825342937296e-03,29949,1,-3.305397168316179e-05,-4,-1
314,1.908781723353661e-03,30105,0,5.043619583635197e-06,-3,1
315,1.893434076632102e-03,30249,0,1.534764672155887e-05,-3,0
316,1.884229842626884e-03,30405,0,9.204234005218050e-06,-3,0
317,1.918367963488111e-03,30721,1,-3.413812086122702e-05,-4,-1
318,1.911964987044511e-03,30825,0,6.402976443599991e-06,-5,-1
319,1.881937282014539e-03,31105,0,3.002770502997230e-05,-4,1
320,1.869640480004190e-03,31233,0,1.229680201034872e-05,-4,0
321,1.861260520970696e-03,31445,0,8.379959033494528e-06,-3,1
322,1.849731235694807e-03,31577,0,1.152928527588834e-05,-4,-1
323,1.828258828877704e-03,31865,0,2.147240681710369e-05,-3,1
324,1.818179321490321e-03,31973,0,1.007950738738327e-05,-3,0
325,1.801657975330133e-03,32213,0,1.652134616018735e-05,-3,0
326,1.797014063184387e-03,32375,0,4.643912145746009e-06,-2,1
327,1.799616613605872e-03,32591,0,-2.602550421485286e-06,-1,1
328,1.784705786753241e-03,32751,0,1.491082685263164e-05,-1,0
329,1.777618673435700e-03,33027,0,7.087113317541137e-06,0,1
330,1.772298580713996e-03,33107,0,5.320092721704077e-06,1,1
331,1.787968984937344e-03,33437,1,-1.567040422334855e-05,0,-1
332,1.785893345098767e-03,33601,0,2.075639838577557e-06,0,0
333,1.765146979871880e-03,33817,0,2.074636522688680e-05,0,0
334,1.767852096230540e-03,33983,0,-2.705116358660319e-06,1,1
335,1.765140187524000e-03,34247,0,2.711908706540429e-06,2,1
336,1.753769975699621e-03,34343,0,1.137021182437826e-05,2,0
337,1.765324924177083e-03,34679,1,-1.155494847746128e-05,1,-1
338,1.759529294339913e-03,34835,0,5.795629837169677e-06,1,0
339,1.769596891603994e-03,35059,0,-1.006759726408140e-05,2,1
340,1.750339940671946e-03,35187,0,1.925695093204843e-05,2,0
341,1.749545399338636e-03,35487,0,7.945413333097003e-07,3,1
342,1.743581156171968e-03,35595,0,5.964243166668238e-06,3,0
343,1.740403151795719e-03,35889,0,3.178004376248877e-06,3,0
344,1.731533229037858e-03,36057,0,8.869922757860898e-06,3,0
345,1.700347959345543e-03,36233,0,3.118526969231512e-05,2,-1
346,1.709073585082729e-03,36405,0,-8.725625737186033e-06,3,1
347,1.718217891986990e-03,36751,1,-9.144306904260678e-06,2,-1
348,1.706794526015688e-03,36863,0,1.142336597130208e-05,2,0
349,1.720927605068905e-03,37211,1,-1.413307905321682e-05,1,-1
350,1.708665192892359e-03,37331,0,1.226241217654580e-05,1,0
351,1.694965573437761e-03,37547,0,1.369961945459769e-05,1,0
352,1.682973557351329e-03,37707,0,1.199201608643248e-05,1,0
353,1.701064669200284e-03,38059,1,-1.809111184895547e-05,0,-1
354,1.684585718295356e-03,38175,0,1.647895090492826e-05,-1,-1
355,1.675975752163053e-03,38455,0,8.609966132303200e-06,0,1
356,1.669093847033426e-03,38631,0,6.881905129626446e-06,0,0
357,1.646084611262297e-03,38823,0,2.300923577112945e-05,-1,-1
358,1.648911173101049e-03,39001,0,-2.826561838752432e-06,0,1
359,1.667851099880713e-03,39359,1,-1.893992677966380e-05,-1,-1
360,1.660332274924504e-03,39455,0,7.518824956209008e-06,-1,0
361,1.664706472316796e-03,39797,0,-4.374197392291879e-06,-1,0
362,1.669342980120893e-03,39977,0,-4.636507804097302e-06,0,1
363,1.655820534180011e-03,40197,0,1.352244594088228e-05,0,0
364,1.647049952946697e-03,40341,0,8.770581233314258e-06,0,0
365,1.643465501270558e-03,40629,0,3.584451676138601e-06,1,1
366,1.629507059922389e-03,40749,0,1.395844134816884e-05,0,-1
367,1.648517130639937e-03,41115,1,-1.901007071754778e-05,-1,-1
368,1.636201797993055e-03,41291,0,1.231533264688177e-05,-1,0
369,1.622012646081190e-03,41531,0,1.418915191186520e-05,-1,0
370,1.605991789158650e-03,41675,0,1.602085692253971e-05,-2,-1
371,1.595190928802727e-03,41987,0,1.080086035592349e-05,-1,1
372,1.591109489834947e-03,42107,0,4.081438967780274e-06,-1,0
373,1.611300035307559e-03,42479,1,-2.019054547261283e-05,-2,-1
374,1.598348978787563e-03,42639,0,1.295105651999591e-05,-3,-1
375,1.588235912729272e-03,42839,0,1.011306605829161e-05,-3,0
376,1.581540226809696e-03,43023,0,6.695685919575617e-06,-3,0
377,1.566587435779554e-03,43359,0,1.495279103014193e-05,-2,1
378,1.557277284576445e-03,43467,0,9.310151203109065e-06,-2,0
379,1.578513858493192e-03,43845,1,-2.123657391674637e-05,-3,-1
380,1.574160409694779e-03,43989,0,4.353448798412839e-06,-3,0
381,1.565924092776842e-03,44241,0,8.236316917937213e-06,-2,1
382,1.567347428197865e-03,44431,0,-1.423335421023818e-06,-1,1
383,1.588005363977947e-03,44813,1,-2.065793578008178e-05,-2,-1
384,1.581023666537669e-03,44941,0,6.981697440278578e-06,-2,0
385,1.566208026027331e-03,45181,0,1.481564051033775e-05,-3,-1
386,1.568186857191588e-03,45373,0,-1.978831164257131e-06,-2,1
387,1.557873465621812e-03,45625,0,1.031339156977559e-05,-2,0
388,1.542736371930102e-03,45817,0,1.513709369171056e-05,-2,0
389,1.565128228794416e-03,46205,1,-2.239185686431417e-05,-3,-1
390,1.563835781758978e-03,46301,0,1.292447035438141e-06,-2,1
391,1.546140706559126e-03,46653,0,1.769507519985163e-05,-1,1
392,1.537230078759411e-03,46821,0,8.910627799714769e-06,-1,0
393,1.533237338007905e-03,47081,0,3.992740751506329e-06,0,1
394,1.540806648587975e-03,47277,0,-7.569310580070364e-06,1,1
395,1.537265371662908e-03,47589,0,3.541276925067213e-06,2,1
396,1.529246847532885e-03,47709,0,8.018524130023281e-06,2,0
397,1.543482043300206e-03,48105,1,-1.423519576732100e-05,1,-1
398,1.554018578066657e-03,48303,0,-1.053653476645097e-05,2,1
399,1.539822357136835e-03,48519,0,1.419622092982149e-05,1,-1
400,1.530956416936713e-03,48679,0,8.865940200122446e-06,1,0
401,1.548264803424582e-03,49079,1,-1.730838648786857e-05,0,-1
402,1.535311297390824e-03,49211,0,1.295350603375766e-05,-1,-1
403,1.525415556948189e-03,49571,0,9.895740442635373e-06,0,1
404,1.512049485003118e-03,49771,0,1.336607194507068e-05,0,0
405,1.502319147785769e-03,49987,0,9.730337217349208e-06,0,0
406,1.487665641091672e-03,50155,0,1.465350669409672e-05,-1,-1
407,1.475782743454174e-03,50515,0,1.188289763749792e-05,0,1
