p,n,M_p,B_prime,C_prime,correction_over_C,margin,S5,B_positive
7937,19144851,-3,40362383.0816037729,3183561.9384080134,-5.839186,6.339186,4587190.0744895618,1
9241,25953023,-3,43454292.5209566206,4326770.8149494752,-4.521562,5.021562,6233168.6818295978,1
9277,26153851,-3,43364673.0915621147,4354009.9047359414,-4.479855,4.979855,6274232.2987767234,1
9281,26177529,-3,44640382.7794075161,4355295.5204209015,-4.624840,5.124840,6274284.9514714172,1
9391,26801835,-3,44383774.1816478297,4460597.6196498061,-4.475093,4.975093,6426816.6287016375,1
9397,26836049,-3,46222630.2460104600,4467300.7899213284,-4.673441,5.173441,6436437.6256710505,1
11027,36954677,-3,50295684.7098283842,6148402.8761934051,-3.590142,4.090142,8856873.5772758815,1
11159,37844513,-3,63227791.9107630700,6291532.1189963045,-4.524833,5.024833,9062039.1664828453,1
11273,38622591,-3,45249180.9996108711,6430098.7579398286,-3.018545,3.518545,9262043.1322937440,1
11287,38717747,-3,47382639.6052740812,6446407.2208117163,-3.175120,3.675120,9286638.2519815713,1
11299,38800139,-3,52025752.4682639241,6456298.9656034019,-3.529069,4.029069,9301676.7985524088,1
12919,50726629,-3,125534819.9806058109,8439025.9346292391,-6.937755,7.437755,12158132.3706624750,1
13399,54565029,-3,135268230.3719134927,9087700.0126721151,-6.942380,7.442380,13090238.6324785985,1
13441,54907557,-3,133929991.6779275686,9147386.7847134601,-6.820670,7.320670,13176768.1807100028,1
13469,55136753,-3,134181614.8948782980,9183637.7433388326,-6.805472,7.305472,13225675.0105001274,1
13513,55497657,-3,138106049.8417525887,9239235.8012158573,-6.973889,7.473889,13311105.9100981839,1
13879,58545347,-3,153146685.3320869207,9746307.6434681695,-7.356652,7.856652,14040021.2416212372,1
15277,70932913,-3,132108172.2144091278,11812372.7028793208,-5.091941,5.591941,17014871.1660203487,1
17737,95617419,-3,194935563.5203062296,15920930.2894269023,-5.621990,6.121990,22933646.3830733448,1
17863,96982909,-3,147467347.3139756322,16146200.2484424319,-4.066627,4.566627,23257936.9848872162,1
18671,105952929,-3,259697701.8553844988,17641649.9155332595,-6.860358,7.360358,25409454.4619910792,1
18749,106841941,-3,257955680.9886226654,17792912.5297316462,-6.748832,7.248832,25625585.2535689101,1
21839,144961561,-3,286999291.8951095343,24118089.6616820060,-5.449876,5.949876,34738664.4212510735,1
21991,146985201,-3,305837611.4075443149,24477281.9518967159,-5.747377,6.247377,35257165.6962492242,1
22027,147467755,-3,285318059.8200698495,24557777.8240340278,-5.309118,5.809118,35374105.1458196267,1
25189,192850523,-3,355611875.2012157440,32119196.7638896480,-5.035815,5.535815,46263735.3759967685,1
25357,195428351,-3,335659296.8270688653,32546469.8315062486,-4.656616,5.156616,46880238.9744590819,1
25373,195678417,-3,330119029.3125166297,32589562.9532974102,-4.564797,5.064797,46936058.6913683340,1
25457,196974353,-3,259879188.2796174288,32804772.3793436997,-3.460997,3.960997,47245729.9929113165,1
25913,204094699,-3,331195628.9400832653,33992983.9883796051,-4.371529,4.871529,48958368.3278681189,1
27239,225515193,-3,431425037.5558597445,37548254.3947088122,-5.244941,5.744941,54077315.4195498452,1
27943,237323735,-3,438226662.3716343045,39527126.6115903035,-5.043366,5.543366,56932293.3981831074,1
27983,238006209,-3,416408370.3353029490,39635256.4579119682,-4.753005,5.253005,57085042.7395223975,1
28051,239160705,-3,379213546.2500817180,39853653.1779875681,-4.257576,4.757576,57398812.3830560297,1
28229,242209563,-3,313591067.0134154558,40338869.6342205107,-3.386959,3.886959,58093446.8342391551,1
28571,248109637,-3,282126040.8746069074,41326145.7350780293,-2.913409,3.413409,59518723.3145653903,1
28579,248250779,-3,344952084.3502289057,41347723.5433242396,-3.671355,4.171355,59550912.3046591580,1
29123,257791443,-3,600961745.9741261005,42932871.5247729868,-6.498853,6.998853,61832288.8840777799,1
29137,258040549,-3,657913207.7053961754,42983595.7013182715,-7.153073,7.653073,61911548.2419400886,1
33461,340310767,-3,974572697.5241515636,56682161.4235094488,-8.096820,8.596820,81631138.1346044242,1
33469,340475647,-3,983423357.5594795942,56716837.7183954045,-8.169589,8.669589,81684991.9565791786,1
33547,342063695,-3,1065435467.5317158699,56978557.2469425574,-8.849442,9.349442,82065932.2948265821,1
36307,400666807,-3,898568729.2152892351,66740891.0990152210,-6.231771,6.731771,96124884.4680984765,1
36341,401414115,-3,863717875.8056378365,66871998.5637055337,-5.957994,6.457994,96306387.4490640759,1
36389,402476897,-3,818649222.8059937954,67051695.7832168788,-5.604612,6.104612,96562483.5259264708,1
36683,409011899,-3,1015013285.3331104517,68133196.4450330585,-6.948743,7.448743,98124274.5490452200,1
36781,411195999,-3,1099481187.0080251694,68508477.7876558453,-7.524417,8.024417,98666900.4765979499,1
36833,412363431,-3,1145600903.3908092976,68688522.9425367415,-7.839100,8.339100,98923017.6947371960,1
39097,464606685,-3,729843566.3480739594,77406079.3171113133,-4.214381,4.714381,111485203.0087547004,1
39103,464754173,-3,715218025.8000049591,77427327.0367904156,-4.118641,4.618641,111511406.5818269849,1
39107,464849211,-3,742477094.0494788885,77440606.4246238768,-4.293849,4.793849,111523808.3568965197,1
39119,465134843,-3,776829389.3444750309,77465149.1008704007,-4.514057,5.014057,111561588.8814208210,1
39157,466036717,-3,657297755.7634537220,77646506.3703480512,-3.732629,4.232629,111829561.3861198425,1
39821,481976257,-3,500729634.9632096291,80306368.4246748984,-2.617621,3.117621,115650187.7463210523,1
39827,482122989,-3,504953682.1821954846,80315869.3885564804,-2.643549,3.143549,115667863.8671819419,1
39841,482465335,-3,673170386.5133305788,80390599.1051053107,-3.686873,4.186873,115779542.1255314946,1
40093,488585937,-3,779674646.2939811945,81407402.1834475100,-4.288721,4.788721,117246128.6673769653,1
40483,498134365,-3,367639656.4724279642,82997062.1455875486,-1.714775,2.214775,119536136.2927070707,1
40519,499024713,-3,520414980.0083268881,83133504.2115578949,-2.629995,3.129995,119730596.5385705233,1
40577,500455983,-3,336599716.1573944092,83384038.7607534975,-1.518370,2.018370,120080155.4521600902,1
40897,508377639,-3,308459835.9165534973,84697961.0959458500,-1.320940,1.820940,121986861.3904539645,1
41143,514512809,-3,80867968.7817011327,85710047.3174218982,0.028247,0.471753,123443290.0793810189,1
41149,514664555,-3,89280950.5186721385,85750514.0648881644,-0.020586,0.520586,123496385.3666288406,1
44381,598686347,-3,1981846594.4153118134,99744343.0531688035,-9.434632,9.934632,143646044.1044510305,1
44383,598744359,-3,2050773446.6230828762,99748162.7257770002,-9.779755,10.279755,143660466.4039268196,1
44389,598903509,-3,2136494384.6759436131,99779703.7126030177,-10.206057,10.706057,143703319.8376902342,1
44417,599658041,-3,2053639783.9439237118,99905994.8144962937,-9.777861,10.277861,143880192.3140722811,1
44711,607619223,-3,2406595264.4330368042,101209214.6788866669,-11.389210,11.889210,145757838.2628089190,1
45121,618819843,-3,2093152117.2864530087,103120579.6068377048,-9.649051,10.149051,148514626.3426579833,1
45127,618980123,-3,2175696367.9586157799,103129219.3286904097,-10.048399,10.548399,148524009.7911044955,1
45289,623434897,-3,1827163179.8418567181,103875305.1101904809,-8.294983,8.794983,149598651.7826911807,1
45553,630722585,-3,1711248159.7585806847,105096274.0990944207,-7.641336,8.141336,151357975.2634826601,1
45569,631166955,-3,1884910912.0912940502,105131474.8505658358,-8.464541,8.964541,151408771.1356420815,1
45589,631724455,-3,1817604542.3335337639,105240784.0955192596,-8.135457,8.635457,151563271.9367773235,1
45631,632885659,-3,1735265771.8000392914,105447564.2683068365,-7.728098,8.228098,151863873.7522446513,1
45673,634053441,-3,1662558104.1659171581,105642687.7547372431,-7.368780,7.868780,152147791.4776631296,1
56039,954529939,-3,1863774587.2704896927,159022958.0758536458,-5.360080,5.860080,229007233.9566216767,1
56113,957053071,-3,1955381742.9485509396,159478571.2950962782,-5.630547,6.130547,229671066.5817956328,1
56209,960333919,-3,2265391827.3731555939,159991400.3240487278,-6.579730,7.079730,230417772.3863385320,1
56237,961284889,-3,1949705388.4511759281,160142142.3589392006,-5.587421,6.087421,230621930.9785286486,1
56393,966628095,-3,1575306200.8690257072,161059254.9132294655,-4.390455,4.890455,231944501.2501967847,1
65843,1317747627,-3,2574760540.5204377174,219538097.7599028349,-5.364040,5.864040,316163624.7637404203,1
75869,1749605947,-3,6221229018.6805620193,291513335.4628925920,-10.170574,10.670574,419805616.4108964205,1
75937,1752741941,-3,5263921748.0384588242,292089483.2631319165,-8.510803,9.010803,420645033.7538299561,1
75967,1754127869,-3,5291946371.6898450851,292289906.1077703834,-8.552564,9.052564,420933467.3914812803,1
76249,1767178595,-3,4735654077.0498857498,294471154.9279539585,-7.540947,8.040947,424071578.2097735405,1
77647,1832577817,-3,5332605586.5619602203,305321933.7435235977,-8.232759,8.732759,439710164.2136582136,1
77969,1847803229,-3,5259856879.2877693176,307908089.6241851449,-8.041278,8.541278,443411557.0475366116,1
77983,1848470361,-3,5177638936.1428527832,307998511.7498329282,-7.905299,8.405299,443555063.3391759396,1
78017,1850078059,-3,5121130102.1519365311,308274160.8333547711,-7.806129,8.306129,443936920.4393981695,1
78139,1855876873,-3,4443883704.8915405273,309258390.1541057229,-6.684742,7.184742,445377233.1470944881,1
78191,1858337535,-3,4827969243.4951305389,309630960.5214070678,-7.296328,7.796328,445896538.2393448353,1
78203,1858918713,-3,4852926368.0423316956,309711334.6749279499,-7.334596,7.834596,446028585.9448645115,1
78233,1860341967,-3,4889418849.5100545883,309990533.8534773588,-7.386400,7.886400,446411585.3556698561,1
80953,1991953629,-3,5842274043.6726427078,331936066.5942850709,-8.300300,8.800300,478033707.9170510769,1
