p,wobble_p,wobble_pm1,delta_w,farey_size_p,mertens_p,m_over_sqrt_p,violation
727,8.523144177527145e-04,8.467188727543894e-04,-5.595544998325173e-06,160995,-2,-0.0741758942,0
733,8.470025009953510e-04,8.407518948772012e-04,-6.250606118149774e-06,163701,-3,-0.1108075283,0
739,8.407530725445221e-04,8.348594463689417e-04,-5.893626175580442e-06,166393,-2,-0.0735711893,0
743,8.397488844421965e-04,8.317493022320556e-04,-7.999582210140954e-06,168167,-5,-0.1834322096,0
751,8.297341658992715e-04,8.229276913565982e-04,-6.806474542673320e-06,171769,-3,-0.1094715548,0
757,8.248081619857206e-04,8.181744789223374e-04,-6.633683063383229e-06,174545,-3,-0.1090368546,0
761,8.278006662536649e-04,8.201560549529257e-04,-7.644611300739205e-06,176411,-4,-0.1449998867,0
769,8.168991744317751e-04,8.103418193986414e-04,-6.557355033133669e-06,180177,-3,-0.1081827669,0
773,8.194603943611179e-04,8.132080196520852e-04,-6.252374709032676e-06,182085,-2,-0.0719350001,0
787,7.896153339507070e-04,7.845357055762973e-04,-5.079628374409645e-06,188615,-2,-0.0712923006,0
797,7.864685131958539e-04,7.828195113908556e-04,-3.649001804998308e-06,193479,-1,-0.0354218173,0
809,7.678356753612985e-04,7.653840553186573e-04,-2.451620042641140e-06,199295,1,0.0351581277,0
811,7.696879223708394e-04,7.664225307233753e-04,-3.265391647464151e-06,200321,0,0.0000000000,0
821,7.554545247727925e-04,7.529195610780915e-04,-2.534963694700971e-06,205197,2,0.0698004813,0
823,7.559677527079295e-04,7.523783874452991e-04,-3.589365262630386e-06,206291,0,0.0000000000,0
827,7.508478248796736e-04,7.461688065819651e-04,-4.679018297708455e-06,208273,-2,-0.0695468142,0
829,7.545251466028304e-04,7.490526560176768e-04,-5.472490585153628e-06,209365,-3,-0.1041943067,0
839,7.439824013719142e-04,7.388034712563881e-04,-5.178930115526154e-06,214397,-3,-0.1035715020,0
853,7.325839275579558e-04,7.289885816456667e-04,-3.595345912289056e-06,221585,0,0.0000000000,0
857,7.341337845002848e-04,7.294962928516748e-04,-4.637491648609997e-06,223657,-2,-0.0683186986,0
859,7.383907608129813e-04,7.332641438365277e-04,-5.126616976453588e-06,224755,-2,-0.0682391194,0
863,7.372883695502708e-04,7.312954556190005e-04,-5.992913931270310e-06,226863,-3,-0.1021211876,0
