p,wobble_p,wobble_pm1,delta_w,farey_size_p,mertens_p,m_over_sqrt_p,violation
4549,1.434741424659898e-04,1.432041589008720e-04,-2.699835651177862e-07,6292657,-4,-0.0593064629,0
4561,1.427785409900549e-04,1.425260975068307e-04,-2.524434832242755e-07,6325521,-4,-0.0592283938,0
4567,1.427135211630718e-04,1.424155658105393e-04,-2.979553525324493e-07,6341919,-6,-0.0887842120,0
4583,1.420367615651184e-04,1.418249367950450e-04,-2.118247700734607e-07,6386995,-2,-0.0295430321,0
4591,1.417260459075787e-04,1.414849201918044e-04,-2.411257157743519e-07,6408813,-3,-0.0442759215,0
4597,1.416467338795679e-04,1.414257054697422e-04,-2.210284098256904e-07,6425885,-1,-0.0147490059,0
4603,1.414337909259925e-04,1.412139434849563e-04,-2.198474410362416e-07,6442663,0,0.0000000000,0
4621,1.407770128161607e-04,1.405846573670930e-04,-1.923554490676819e-07,6492827,-1,-0.0147106552,0
4637,1.400014101535634e-04,1.398266295363861e-04,-1.747806171772102e-07,6537797,0,0.0000000000,0
4639,1.401688705602303e-04,1.399604581339530e-04,-2.084124262773156e-07,6543979,-2,-0.0293641754,0
4643,1.403483017673195e-04,1.401155197419133e-04,-2.327820254061498e-07,6554817,-3,-0.0440272858,0
4649,1.402374386238063e-04,1.400019674164644e-04,-2.354712073419853e-07,6571953,-3,-0.0439988658,0
4651,1.405217213069187e-04,1.402626669778607e-04,-2.590543290579748e-07,6577803,-4,-0.0586525396,0
4657,1.405799009121158e-04,1.402827011787359e-04,-2.971997333798876e-07,6594239,-6,-0.0879221160,0
4663,1.404003340618226e-04,1.401055270292331e-04,-2.948070325894047e-07,6611857,-6,-0.0878655320,0
4673,1.401422240144984e-04,1.398112766966711e-04,-3.309473178272828e-07,6640229,-8,-0.1170286234,0
4679,1.399810335156986e-04,1.396540495103437e-04,-3.269840053549372e-07,6656993,-6,-0.0877151737,0
4691,1.392435834495919e-04,1.389890433522220e-04,-2.545400973698645e-07,6691399,-2,-0.0292009701,0
4703,1.387982675317393e-04,1.385599165917544e-04,-2.383509399848699e-07,6725769,-1,-0.0145818461,0
4721,1.378812803993026e-04,1.376957651647037e-04,-1.855152345989761e-07,6776525,2,0.0291080422,0
4723,1.379806654077962e-04,1.377626695003647e-04,-2.179959074315565e-07,6782819,0,0.0000000000,0
4729,1.378951959327818e-04,1.376692266843818e-04,-2.259692483999565e-07,6800379,-1,-0.0145417054,0
4733,1.379500847797818e-04,1.376931804557946e-04,-2.569043239871870e-07,6811615,-2,-0.0290711186,0
4751,1.376119343617077e-04,1.374452955868744e-04,-1.666387748332785e-07,6863383,3,0.0435239938,0
4759,1.372922525923333e-04,1.371291145861317e-04,-1.631380062015373e-07,6886817,4,0.0579831946,0
4783,1.369621137081458e-04,1.369182663522486e-04,-4.384735589714537e-08,6956045,10,0.1445938460,0
4787,1.370888339140926e-04,1.370431415415960e-04,-4.569237249668753e-08,6967575,11,0.1589867646,0
4789,1.371117871312324e-04,1.370433625350451e-04,-6.842459618727043e-08,6973659,10,0.1445032389,0
4793,1.370169006640581e-04,1.369340996440726e-04,-8.280101998549305e-08,6985947,9,0.1299986358,0
4799,1.371333626720912e-04,1.370200299269558e-04,-1.133327451354447e-07,7002919,9,0.1299173443,0
4801,1.372209889715179e-04,1.370840287758506e-04,-1.369601956673343e-07,7008999,8,0.1154580276,0
4813,1.365918711460739e-04,1.364499157754588e-04,-1.419553706151358e-07,7043709,8,0.1153140050,0
4817,1.364173997435346e-04,1.362353376722837e-04,-1.820620712508281e-07,7055381,6,0.0864495879,0
4831,1.364080903663938e-04,1.362566018051718e-04,-1.514885612220426e-07,7096201,8,0.1150989782,0
4861,1.362728198942012e-04,1.363303868084045e-04,5.756691420332870e-08,7185027,18,0.2581723302,1
4871,1.358779023800826e-04,1.359371284984104e-04,5.922611832776393e-08,7214589,17,0.2435790075,1
4877,1.361612745310549e-04,1.362257703371461e-04,6.449580609125616e-08,7232353,18,0.2577484886,1
4889,1.359275186638547e-04,1.360065198407336e-04,7.900117687895808e-08,7267801,19,0.2717337501,1
4903,1.351696981361090e-04,1.352463759868902e-04,7.667785078123326e-08,7309217,19,0.2713455192,1
4909,1.348414732859608e-04,1.348993295424319e-04,5.785625647111172e-08,7327217,18,0.2569070304,1
4919,1.347168874841085e-04,1.347814587695704e-04,6.457128546186685e-08,7357537,18,0.2566457600,1
4931,1.332839182068420e-04,1.333189851688857e-04,3.506696204369345e-08,7392631,15,0.2136110712,1
4933,1.332232963288540e-04,1.332345540946194e-04,1.125776576536733e-08,7399195,14,0.1993299133,1
4937,1.335715477622300e-04,1.335847159325245e-04,1.316817029454521e-08,7411269,15,0.2134812295,1
4943,1.330650346287472e-04,1.330632669722310e-04,-1.767656516277714e-09,7429415,13,0.1849047412,0
4951,1.324083475604175e-04,1.323722307218040e-04,-3.611683861346176e-08,7453109,11,0.1563314017,0
4957,1.323339337763357e-04,1.322969331948586e-04,-3.700058147712701e-08,7471389,11,0.1562367606,0
4967,1.313280478559502e-04,1.312390052196810e-04,-8.904263626915445e-08,7501199,7,0.0993232587,0
4969,1.313758907571762e-04,1.312645907888276e-04,-1.112999683486218e-07,7507751,6,0.0851170870,0
4973,1.316398816363217e-04,1.315241117264824e-04,-1.157699098393273e-07,7519955,7,0.0992633231,0
4987,1.310316245254115e-04,1.309101953025487e-04,-1.214292228628264e-07,7561897,5,0.0708027816,0
4993,1.310253527383809e-04,1.308654501335355e-04,-1.599026048453944e-07,7580053,3,0.0424561366,0
4999,1.307461278869357e-04,1.305804314974236e-04,-1.656963895121054e-07,7598459,2,0.0282871001,0
5003,1.309125099335541e-04,1.307294681678736e-04,-1.830417656804135e-07,7611193,1,0.0141378949,0
5009,1.312250361697710e-04,1.310590984842305e-04,-1.659376855404839e-07,7629071,3,0.0423882746,0
5011,1.314348924920035e-04,1.312532196412759e-04,-1.816728507276393e-07,7635409,3,0.0423798147,0
5021,1.306382687313578e-04,1.304047327599769e-04,-2.335359713808664e-07,7665405,-1,-0.0141125304,0
5023,1.308588930767891e-04,1.306037488016792e-04,-2.551442751099289e-07,7672047,-2,-0.0282194410,0
5039,1.302179564082156e-04,1.299306373139620e-04,-2.873190942535625e-07,7720505,-6,-0.0845238112,0
5051,1.297088151104276e-04,1.294264775638113e-04,-2.823375466162498e-07,7757121,-5,-0.0703527892,0
5059,1.294369116274340e-04,1.291569015620549e-04,-2.800100653790221e-07,7782291,-5,-0.0702971413,0
5077,1.281935540621241e-04,1.279369745141304e-04,-2.565795479936804e-07,7836977,-5,-0.0701724149,0
5081,1.283592644859247e-04,1.281047076262866e-04,-2.545568596380059e-07,7849995,-4,-0.0561158304,0
5087,1.285736246867851e-04,1.282834533757178e-04,-2.901713110672866e-07,7868255,-5,-0.0701034087,0
5099,1.286776856128473e-04,1.284443428939905e-04,-2.333427188567485e-07,7905517,-1,-0.0140041739,0
5101,1.288445466284418e-04,1.285909905775465e-04,-2.535560508952690e-07,7911897,-2,-0.0280028564,0
5107,1.288228628789212e-04,1.285816911180659e-04,-2.411717608553487e-07,7930373,0,0.0000000000,0
5113,1.285792427662423e-04,1.283363637829022e-04,-2.428789833400680e-07,7949389,0,0.0000000000,0
5119,1.286573234808458e-04,1.283962776358284e-04,-2.610458450173336e-07,7967755,-1,-0.0139767898,0
5147,1.268300263944719e-04,1.266166881075793e-04,-2.133382868926316e-07,8055013,-3,-0.0418161621,0
5153,1.266168927741517e-04,1.263888222466989e-04,-2.280705274528136e-07,8073817,-4,-0.0557224137,0
5167,1.263413587297947e-04,1.261523322711246e-04,-1.890264586701287e-07,8117501,-3,-0.0417351543,0
5171,1.265451652539948e-04,1.263559432890678e-04,-1.892219649269830e-07,8130259,-2,-0.0278126728,0
5179,1.264926675101057e-04,1.263031186335583e-04,-1.895488765473971e-07,8155889,-3,-0.0416867751,0
5189,1.260569265886995e-04,1.258790967327953e-04,-1.778298559041499e-07,8186899,-2,-0.0277643915,0
5197,1.257614163867575e-04,1.256025171906967e-04,-1.588991960607580e-07,8212295,0,0.0000000000,0
5209,1.256045809376370e-04,1.254545547605353e-04,-1.500261771017225e-07,8250351,-1,-0.0138555197,0
5227,1.249512040496802e-04,1.248386244469914e-04,-1.125796026887893e-07,8306857,1,0.0138316423,0
5231,1.252085902172690e-04,1.250696032073416e-04,-1.389870099274609e-07,8319739,-1,-0.0138263530,0
5233,1.253711976006430e-04,1.252116115468430e-04,-1.595860537999272e-07,8326699,-2,-0.0276474212,0
5237,1.252621694273808e-04,1.250858508232797e-04,-1.763186041010888e-07,8339255,-3,-0.0414552910,0
5261,1.245307615410309e-04,1.244105029122734e-04,-1.202586287575894e-07,8415479,0,0.0000000000,0
5273,1.241012287353924e-04,1.240140404627668e-04,-8.718827262558593e-08,8454003,2,0.0275423574,0
5279,1.243208942499586e-04,1.242409539728276e-04,-7.994027713105565e-08,8473401,3,0.0412900514,0
5281,1.243756088904646e-04,1.242764328357413e-04,-9.917605472330388e-08,8479961,2,0.0275214881,0
5297,1.232929161109656e-04,1.231661968197862e-04,-1.267192911793853e-07,8531323,-2,-0.0274798912,0
5303,1.234790579588778e-04,1.233299652520239e-04,-1.490927068538732e-07,8550645,-4,-0.0549286819,0
5309,1.237538191585508e-04,1.235870524491857e-04,-1.667667093651704e-07,8570009,-6,-0.0823464512,0
5323,1.235420645378391e-04,1.234514057655625e-04,-9.065877227667292e-08,8615385,-1,-0.0137063484,0
5333,1.233934409193202e-04,1.233227638377410e-04,-7.067708157927079e-08,8648135,2,0.0273869837,0
5347,1.225342024810594e-04,1.224657711808690e-04,-6.843130019048129e-08,8692811,2,0.0273511067,0
5351,1.225884292046674e-04,1.225082044339669e-04,-8.022477070054575e-08,8706125,2,0.0273408820,0
5381,1.216177120947425e-04,1.216393270217559e-04,2.161492701336742e-08,8803561,11,0.1499550822,1
5387,1.215205905993419e-04,1.215430704270818e-04,2.247982773987225e-08,8823383,11,0.1498715495,1
5393,1.213626886152847e-04,1.213870035504048e-04,2.431493512016305e-08,8843579,11,0.1497881562,1
5399,1.210100006882629e-04,1.210017561652157e-04,-8.244523047267849e-09,8862883,10,0.1360953655,0
5407,1.208412212770067e-04,1.208224671518363e-04,-1.875412517043072e-08,8888837,10,0.1359946474,0
5413,1.205695970068628e-04,1.205475978143106e-04,-2.199919255221677e-08,8908737,9,0.1223273298,0
5417,1.207896001318089e-04,1.207603137993275e-04,-2.928633248137544e-08,8922299,9,0.1222821572,0
5419,1.207704410019069e-04,1.207242601468981e-04,-4.618085500887202e-08,8929229,8,0.1086751908,0
5431,1.206502734620554e-04,1.205898150523971e-04,-6.045840965826477e-08,8968261,9,0.1221244464,0
5437,1.208154289990481e-04,1.207683066946136e-04,-4.712230443447831e-08,8987925,11,0.1491808298,0
5441,1.208810031476454e-04,1.208230923009242e-04,-5.791084672118383e-08,9001155,11,0.1491259839,0
5443,1.207919739063514e-04,1.207094142550724e-04,-8.255965127901786e-08,9008409,9,0.1219897503,0
5449,1.203966894674698e-04,1.203076116155034e-04,-8.907785196637474e-08,9028369,8,0.1083756170,0
5471,1.198419032998698e-04,1.197671456358982e-04,-7.475766397151964e-08,9100797,8,0.1081574974,0
5477,1.199304133566485e-04,1.198596378246686e-04,-7.077553197989397e-08,9120697,9,0.1216105182,0
5479,1.200948714819407e-04,1.200114814126756e-04,-8.339006926502072e-08,9127815,9,0.1215883204,0
5483,1.201145542080433e-04,1.200193021368623e-04,-9.525207118096356e-08,9141237,9,0.1215439613,0
5501,1.193468281330842e-04,1.192610886425253e-04,-8.573949055888565e-08,9200521,9,0.1213449444,0
5503,1.195146106289977e-04,1.194160922819312e-04,-9.851834706650707e-08,9207583,9,0.1213228917,0
5507,1.195686570568570e-04,1.194518513598822e-04,-1.168056969748322e-07,9221457,8,0.1078033976,0
5519,1.193143449474233e-04,1.192063945875473e-04,-1.079503598759368e-07,9261487,8,0.1076861350,0
5521,1.193448580370917e-04,1.192196194944596e-04,-1.252385426320885e-07,9268415,7,0.0942082999,0
5527,1.191050300511503e-04,1.189436965507567e-04,-1.613335003936429e-07,9288021,4,0.0538040861,0
5531,1.193223384724073e-04,1.191406004652236e-04,-1.817380071836891e-07,9301639,3,0.0403384703,0
5557,1.187684671012126e-04,1.186382572822418e-04,-1.302098189708462e-07,9388861,7,0.0939026485,0
5563,1.185362939098371e-04,1.183848393810554e-04,-1.514545287817652e-07,9409711,5,0.0670371395,0
5569,1.187055831224864e-04,1.185566535556464e-04,-1.489295668400054e-07,9429787,6,0.0804012205,0
5573,1.187629007064013e-04,1.185897247984104e-04,-1.731759079908509e-07,9443667,4,0.0535815743,0
5581,1.184345429847750e-04,1.182629493743940e-04,-1.715936103809383e-07,9470227,4,0.0535431577,0
5591,1.188464545646024e-04,1.187140236431510e-04,-1.324309214513589e-07,9504587,8,0.1069905058,0
5623,1.183574919972330e-04,1.183057527319137e-04,-5.173926531936053e-08,9613295,13,0.1733641564,0
5639,1.174876707433691e-04,1.174852050757695e-04,-2.465667599604936e-09,9668239,16,0.2130683464,0
5641,1.175258641680824e-04,1.175073414622418e-04,-1.852270584056458e-08,9675351,15,0.1997161609,0
5647,1.177096842836933e-04,1.176836939508241e-04,-2.599033286917812e-08,9695413,15,0.1996100324,0
5651,1.176394649226349e-04,1.175862821481894e-04,-5.318277444554289e-08,9709335,13,0.1729341241,0
5653,1.176604705681407e-04,1.175892619826796e-04,-7.120858546104381e-08,9716859,12,0.1596032583,0
5657,1.175168169518172e-04,1.174271065097677e-04,-8.971044204948762e-08,9730163,11,0.1462512531,0
5659,1.177296671063957e-04,1.176283794675919e-04,-1.012876388037305e-07,9737581,11,0.1462254068,0
5669,1.176609433438112e-04,1.175460932467808e-04,-1.148500970303594e-07,9771609,11,0.1460963805,0
5683,1.166396991579260e-04,1.165193751659610e-04,-1.203239919649762e-07,9819747,9,0.1193860769,0
5689,1.166406102700820e-04,1.165035333859078e-04,-1.370768841742545e-07,9840585,8,0.1060649814,0
5693,1.162566556896551e-04,1.160905218862963e-04,-1.661338033587853e-07,9854633,5,0.0662673208,0
5701,1.162658209738028e-04,1.161006527039169e-04,-1.651682698859225e-07,9882001,6,0.0794649711,0
5711,1.158243508996083e-04,1.156499927513063e-04,-1.743581483019247e-07,9916613,5,0.0661628073,0
5717,1.158000049149946e-04,1.156356036079449e-04,-1.644013070497050e-07,9938089,6,0.0793536951,0
5737,1.147067564992716e-04,1.145469169116116e-04,-1.598395876599575e-07,10006729,5,0.0660127126,0
5741,1.144884567085133e-04,1.143181685710418e-04,-1.702881374715716e-07,10020913,4,0.0527917693,0
5743,1.146314045166974e-04,1.144463453739866e-04,-1.850591427107610e-07,10028335,3,0.0395869321,0
5749,1.146845786215545e-04,1.144865149965650e-04,-1.980636249895141e-07,10049331,2,0.0263775127,0
5779,1.136960377108369e-04,1.136107914900998e-04,-8.524622073706012e-08,10154489,9,0.1183903112,0
5783,1.135443120929367e-04,1.134311421055064e-04,-1.131699874302636e-07,10168563,7,0.0920495021,0
5791,1.132234790190633e-04,1.130995242450294e-04,-1.239547740339081e-07,10196353,6,0.0788450564,0
5801,1.130555586215471e-04,1.129134156451332e-04,-1.421429764139110e-07,10231261,5,0.0656475574,0
5807,1.130211026925533e-04,1.128828024071607e-04,-1.383002853926117e-07,10252793,5,0.0656136339,0
5813,1.129682191600852e-04,1.128292853149019e-04,-1.389338451833016e-07,10274405,5,0.0655797630,0
5821,1.128985201692381e-04,1.127620117502865e-04,-1.365084189516061e-07,10302321,5,0.0655346833,0
5827,1.126570566670461e-04,1.124974242756386e-04,-1.596323914075605e-07,10323707,2,0.0262003738,0
5839,1.127843272430591e-04,1.126395376392481e-04,-1.447896038110641e-07,10366205,4,0.0523468742,0
5843,1.125816950103705e-04,1.124093733190459e-04,-1.723216913246449e-07,10380603,2,0.0261644767,0
5849,1.125037464991682e-04,1.123033179991475e-04,-2.004285000207492e-07,10401771,0,0.0000000000,0
5851,1.126996751914988e-04,1.124837665322946e-04,-2.159086592042053e-07,10409061,-1,-0.0130732917,0
5857,1.126790145587875e-04,1.124816613956925e-04,-1.973531630950528e-07,10430503,1,0.0130665937,0
5861,1.128114183005124e-04,1.125866984904770e-04,-2.247198100354189e-07,10444739,-1,-0.0130621341,0
5867,1.125333812143085e-04,1.122775682615651e-04,-2.558129527434837e-07,10465609,-4,-0.0522218132,0
5869,1.127461011373394e-04,1.124738239986274e-04,-2.722771387120038e-07,10473421,-5,-0.0652661432,0
5879,1.128316847210896e-04,1.125560117240993e-04,-2.756729969902828e-07,10509169,-5,-0.0652106117,0
5881,1.131051604583298e-04,1.128141290041152e-04,-2.910314542145460e-07,10516393,-6,-0.0782394269,0
5897,1.127543576451480e-04,1.124370701072003e-04,-3.172875379476794e-07,10573049,-9,-0.1171998202,0
5903,1.127325880761218e-04,1.123929883825434e-04,-3.395996935784716e-07,10594843,-12,-0.1561869897,0
5923,1.117027012913753e-04,1.114369687861710e-04,-2.657325052043047e-07,10666593,-6,-0.0779615355,0
5927,1.119059476733483e-04,1.116351934280471e-04,-2.707542453012616e-07,10681561,-6,-0.0779352238,0
5939,1.114322251921029e-04,1.111984658696279e-04,-2.337593224749829e-07,10724707,-3,-0.0389282241,0
5953,1.111147546660780e-04,1.109018855009810e-04,-2.128691650970767e-07,10775141,-3,-0.0388824224,0
5981,1.093418944908631e-04,1.091766829157650e-04,-1.652115750980677e-07,10876141,-2,-0.0258608678,0
5987,1.094191854805427e-04,1.092431830761665e-04,-1.760024043762109e-07,10897911,-4,-0.0516958121,0
6007,1.088028261093840e-04,1.086884190363080e-04,-1.144070730760050e-07,10970547,1,0.0129024203,0
6011,1.087380277674872e-04,1.086145579946598e-04,-1.234697728273401e-07,10985961,0,0.0000000000,0
6029,1.080554469113729e-04,1.079614294274798e-04,-9.401748389306608e-08,11051463,2,0.0257577162,0
6037,1.078528019186656e-04,1.077489053470657e-04,-1.038965715998894e-07,11080691,1,0.0128703220,0
6043,1.079111412454172e-04,1.078130668739943e-04,-9.807437142286368e-08,11102795,3,0.0385917931,0
6047,1.081113891046975e-04,1.080169877695004e-04,-9.440133519716108e-08,11117763,4,0.0514387027,0
6053,1.080835116242344e-04,1.079950042171730e-04,-8.850740706134420e-08,11140355,5,0.0642665028,0
6067,1.073536440876300e-04,1.072330017591101e-04,-1.206423285198736e-07,11191293,0,0.0000000000,0
6073,1.072746006479990e-04,1.071441796470650e-04,-1.304210009340660e-07,11213285,-1,-0.0128321184,0
6079,1.072878495848380e-04,1.071594227461844e-04,-1.284268386536245e-07,11236099,-1,-0.0128257842,0
6089,1.072264351460817e-04,1.071059407432144e-04,-1.204944028672980e-07,11272943,0,0.0000000000,0
6091,1.073463939981947e-04,1.072080228907693e-04,-1.383711074254881e-07,11280377,-2,-0.0256262876,0
6101,1.072533009109251e-04,1.070753824220762e-04,-1.779184888489783e-07,11316945,-6,-0.0768158318,0
6113,1.067556873529423e-04,1.066040788336668e-04,-1.516085192754480e-07,11361749,-3,-0.0383701995,0
6121,1.066620636374247e-04,1.065295716146524e-04,-1.324920227723696e-07,11391421,-1,-0.0127817056,0
6131,1.063051287597961e-04,1.061649988869321e-04,-1.401298728639775e-07,11428787,-3,-0.0383138325,0
6133,1.064343806740741e-04,1.062819130744719e-04,-1.524675996022215e-07,11436647,-4,-0.0510767798,0
6143,1.063765905231865e-04,1.062035326225672e-04,-1.730579006192762e-07,11473703,-6,-0.0765527846,0
6151,1.064109429059376e-04,1.062179782668052e-04,-1.929646391323674e-07,11503085,-8,-0.1020039814,0
6163,1.061563192008176e-04,1.059978008478372e-04,-1.585183529804329e-07,11548521,-5,-0.0636903918,0
6173,1.058706296108476e-04,1.057215270700427e-04,-1.491025408048552e-07,11586279,-4,-0.0509110264,0
6197,1.051967676862445e-04,1.051117794338538e-04,-8.498825239075004e-08,11675763,-1,-0.0127030864,0
6199,1.053238559130404e-04,1.052199937974267e-04,-1.038621156137159e-07,11684025,-3,-0.0381031111,0
6203,1.052726362724074e-04,1.051454289888941e-04,-1.272072835133321e-07,11699023,-5,-0.0634847062,0
6211,1.050961567811694e-04,1.049620560809538e-04,-1.341007002156450e-07,11728757,-6,-0.0761325692,0
6217,1.052381352265786e-04,1.050691348838070e-04,-1.690003427716057e-07,11751029,-10,-0.1268263712,0
6221,1.053153690529498e-04,1.051399092927007e-04,-1.754597602490412e-07,11766977,-10,-0.1267855910,0
6229,1.052067944678453e-04,1.050289774449320e-04,-1.778170229133221e-07,11797421,-10,-0.1267041485,0
6247,1.046148050529748e-04,1.044626836842839e-04,-1.521213686909572e-07,11865379,-7,-0.0885650326,0
6257,1.042910184685188e-04,1.041105526110126e-04,-1.804658575062186e-07,11902907,-9,-0.1137782977,0
6263,1.040641939666145e-04,1.038865227407512e-04,-1.776712258633114e-07,11926293,-8,-0.1010878084,0
6269,1.041547898077096e-04,1.039603369898799e-04,-1.944528178296788e-07,11949037,-10,-0.1262992772,0
6271,1.044638861021854e-04,1.042525937988995e-04,-2.112923032858394e-07,11956747,-12,-0.1515349624,0
6277,1.043807265056794e-04,1.041599667367564e-04,-2.207597689229273e-07,11979775,-12,-0.1514625212,0
6287,1.042414746552575e-04,1.040212141201894e-04,-2.202605350680963e-07,12017829,-13,-0.1639538511,0
6299,1.039244422924043e-04,1.037090903499470e-04,-2.153519424573521e-07,12063811,-13,-0.1637976053,0
6301,1.041368245161890e-04,1.039080346405650e-04,-2.287898756239855e-07,12071551,-14,-0.1763694237,0
6311,1.046767246750895e-04,1.043896256612381e-04,-2.870990138514044e-07,12109161,-21,-0.2643444548,0
6317,1.045236482959297e-04,1.042369242647554e-04,-2.867240311742116e-07,12132637,-21,-0.2642188855,0
6323,1.046680559427392e-04,1.043732861878050e-04,-2.947697549342260e-07,12156111,-22,-0.2766693756,0
6329,1.046673392568746e-04,1.043622328891817e-04,-3.051063676928973e-07,12178497,-22,-0.2765382008,0
6337,1.044427640942426e-04,1.041509074737225e-04,-2.918566205201378e-07,12209135,-20,-0.2512396282,0
6343,1.041049961162790e-04,1.038297998098416e-04,-2.751963064374615e-07,12233149,-17,-0.2134526573,0
6353,1.040192925057943e-04,1.037376997949855e-04,-2.815927108087708e-07,12271621,-18,-0.2258307503,0
6359,1.042811305415055e-04,1.039634079475743e-04,-3.177225939312141e-07,12294211,-21,-0.2633448819,0
6361,1.045742758878732e-04,1.042442651897357e-04,-3.300106981374496e-07,12302235,-22,-0.2758417396,0
6367,1.049795864366454e-04,1.046233205875079e-04,-3.562658491375255e-07,12325277,-24,-0.3007764414,0
6373,1.051362627900207e-04,1.047728212177853e-04,-3.634415722354246e-07,12348833,-25,-0.3131612727,0
6379,1.050931814010527e-04,1.047321841753022e-04,-3.609972257505068e-07,12372365,-25,-0.3130139605,0
6389,1.045785914344998e-04,1.042466169088332e-04,-3.319745256665922e-07,12411651,-23,-0.2877473893,0
6397,1.047661590025415e-04,1.044263628927237e-04,-3.397961098177289e-07,12441919,-24,-0.3000703372,0
6421,1.034803685387737e-04,1.031868479602630e-04,-2.935205785107513e-07,12535069,-20,-0.2495908504,0
6427,1.035699937810202e-04,1.032732624849911e-04,-2.967312960291566e-07,12558311,-20,-0.2494743190,0
6449,1.023777318856258e-04,1.021490543622208e-04,-2.286775234049452e-07,12644703,-15,-0.1867863220,0
6451,1.025977087450013e-04,1.023568180815760e-04,-2.408906634252124e-07,12652833,-16,-0.1992078562,0
6469,1.021116137639932e-04,1.018969544782066e-04,-2.146592857866304e-07,12723573,-15,-0.1864973579,0
6473,1.022940351937177e-04,1.020660071318286e-04,-2.280280618891011e-07,12740169,-17,-0.2112983559,0
6481,1.026259281460689e-04,1.023657958313787e-04,-2.601323146901298e-07,12770453,-20,-0.2484328290,0
6491,1.023655391644773e-04,1.021297761596170e-04,-2.357630048603030e-07,12809691,-17,-0.2110051799,0
6521,1.010286976427389e-04,1.008595906856271e-04,-1.691069571118189e-07,12928447,-12,-0.1486018260,0
6529,1.008771307916080e-04,1.007063303009489e-04,-1.708004906590899e-07,12960619,-13,-0.1608866534,0
6547,1.007272827969025e-04,1.005925383719022e-04,-1.347444250003577e-07,13031263,-11,-0.1359475905,0
6551,1.009180177493903e-04,1.007648256354097e-04,-1.531921139806720e-07,13047861,-13,-0.1606162761,0
6553,1.010648995310432e-04,1.008994065588799e-04,-1.654929721632358e-07,13056141,-14,-0.1729449765,0
6563,1.010794850099129e-04,1.009118455246631e-04,-1.676394852497340e-07,13096169,-15,-0.1851569665,0
6569,1.009590068493228e-04,1.007606999307170e-04,-1.983069186058058e-07,13119733,-18,-0.2220868653,0
6571,1.011930797058819e-04,1.009834461897036e-04,-2.096335161783027e-07,13128031,-19,-0.2343893461,0
6577,1.013766753168551e-04,1.011401831583948e-04,-2.364921584602962e-07,13151983,-22,-0.2712743677,0
6581,1.014688054238810e-04,1.012246273544848e-04,-2.441780693961760e-07,13167443,-22,-0.2711919135,0
6599,1.006056585161882e-04,1.003955530238727e-04,-2.101054923154443e-07,13240387,-20,-0.2462016343,0
6607,1.004793449149474e-04,1.002513421118015e-04,-2.280028031459788e-07,13271873,-21,-0.2583551608,0
6619,1.002612317857218e-04,1.000643193049456e-04,-1.969124807761830e-07,13320477,-19,-0.2335379214,0
6637,9.966693030993262e-05,9.951523162499090e-05,-1.516986849417224e-07,13392457,-15,-0.1841218586,0
6653,9.911078594436729e-05,9.897836097892035e-05,-1.324249654469382e-07,13457645,-13,-0.1593802819,0
6659,9.927192966940369e-05,9.912261350490980e-05,-1.493161644938924e-07,13481551,-15,-0.1838174562,0
6661,9.938439070895829e-05,9.922341484984078e-05,-1.609758591175110e-07,13489939,-16,-0.1960425152,0
6673,9.879657720592095e-05,9.866109046742093e-05,-1.354867385000211e-07,13538209,-12,-0.1468996238,0
6679,9.899635232138901e-05,9.885711293265085e-05,-1.392393887381549e-07,13562895,-13,-0.1590697617,0
6689,9.878199883672191e-05,9.862640396823918e-05,-1.555948684827345e-07,13603409,-15,-0.1834047845,0
6691,9.873414609592322e-05,9.856964403081670e-05,-1.645020651065238e-07,13611875,-15,-0.1833773718,0
6701,9.840281029574441e-05,9.822498040371219e-05,-1.778298920322193e-07,13651673,-16,-0.1954565252,0
6703,9.874393341276524e-05,9.855013422678862e-05,-1.937991859766227e-07,13660607,-18,-0.2198557839,0
6709,9.882572519878418e-05,9.862691775591216e-05,-1.988074428720181e-07,13685431,-19,-0.2319661984,0
6719,9.825411442530167e-05,9.805990290770592e-05,-1.942115175957479e-07,13726311,-17,-0.2073941972,0
6733,9.779824827121983e-05,9.761082069140330e-05,-1.874275798165274e-07,13783087,-16,-0.1949914979,0
6737,9.785236572205470e-05,9.765210827727062e-05,-2.002574447840830e-07,13799359,-17,-0.2071169527,0
6761,9.714558474733861e-05,9.696438217108814e-05,-1.812025762504694e-07,13897637,-16,-0.1945873101,0
6763,9.733278147757350e-05,9.714027692792633e-05,-1.925045496471668e-07,13906247,-17,-0.2067184442,0
6779,9.703376675709304e-05,9.685542321199578e-05,-1.783435450972609e-07,13971997,-17,-0.2064743485,0
6781,9.731658788533701e-05,9.712815721707192e-05,-1.884306682650938e-07,13980569,-18,-0.2185876560,0
6791,9.704889020472985e-05,9.686360905598029e-05,-1.852811487495576e-07,14020829,-17,-0.2062918431,0
6793,9.727378557798175e-05,9.707587825806244e-05,-1.979073199193088e-07,14029877,-18,-0.2183945004,0
6803,9.706511819065571e-05,9.687789069567003e-05,-1.872274949856894e-07,14071371,-17,-0.2061098209,0
6823,9.637994679415776e-05,9.622971087528605e-05,-1.502359188717086e-07,14153771,-13,-0.1573822198,0
6827,9.640649454417316e-05,9.625305300720534e-05,-1.534415369678190e-07,14170297,-13,-0.1573361073,0
