p,M,n,old_D_sq,delta_sq,dilution_raw,C_A,C_W,W
653,-8,129287,15975161.862094,21237.792367,161533.165990,0.131476,0.623136,0.00095573
659,-10,131703,16615998.925785,21388.588599,166444.792222,0.128503,0.630320,0.00095793
661,-11,132521,16988288.176563,21915.718957,169636.369643,0.129192,0.638446,0.00096734
663,-11,133511,17406580.758135,21908.167981,173045.286616,0.126604,0.646454,0.00097652
665,-12,134223,17599956.975908,21887.721397,174564.383456,0.125385,0.648673,0.00097692
673,-11,137319,17655696.281063,22873.175848,173226.705008,0.132042,0.629206,0.00093632
677,-11,138999,18116049.653819,22969.909383,176637.658063,0.130040,0.633851,0.00093765
683,-12,141483,18674563.945963,23129.409198,180470.428754,0.128162,0.636248,0.00093291
691,-9,144811,19064569.672530,23931.421521,182111.755154,0.131411,0.627297,0.00090913
701,-5,149019,19702484.743467,24459.992258,185535.158509,0.131835,0.621063,0.00088723
705,-5,150903,20145985.868411,24925.776414,188410.530398,0.132295,0.622824,0.00088469
709,-4,152455,20227264.303707,24998.262373,188306.795004,0.132753,0.616151,0.00087027
715,-4,155115,20729046.374774,25543.542601,191272.318243,0.133545,0.615134,0.00086153
719,-3,156785,20988558.309820,25319.449234,192675.205600,0.131410,0.613053,0.00085383
733,-3,162969,22329441.264306,26796.222805,201042.644538,0.133286,0.615430,0.00084075
741,-3,166681,23258606.222917,27392.531326,206977.094660,0.132346,0.619503,0.00083717
743,-5,167425,23314873.338120,27462.671566,207113.281581,0.132597,0.617158,0.00083175
751,-3,171019,24068576.304172,28257.360011,211567.303099,0.133562,0.617196,0.00082293
757,-3,173789,24711010.034162,28934.550505,215458.479639,0.134293,0.618540,0.00081817
759,-3,174923,25241727.306861,28442.053366,219235.716824,0.129733,0.625309,0.00082495
761,-4,175651,25304499.323010,29107.601967,219446.793574,0.132641,0.623319,0.00082016
769,-3,179409,26082949.660025,29544.975084,223785.656425,0.132024,0.622343,0.00081034
777,-3,183321,27224492.478113,30100.995616,230971.027929,0.130324,0.628633,0.00081009
829,-3,208537,32574562.484450,34537.069481,259189.339330,0.133250,0.620216,0.00074905
839,-3,213559,33694939.775305,34620.612970,264954.967053,0.130666,0.619117,0.00073880
861,-3,225091,37331038.729783,37046.209986,285804.622475,0.129621,0.633654,0.00073681
863,-3,226001,37351977.237477,36751.781305,285474.906054,0.128739,0.630377,0.00073130
1023,-4,317853,62735189.024687,52314.857443,404076.343328,0.129468,0.634614,0.00062095
1031,-5,322533,63389903.854161,52994.920611,405514.191782,0.130686,0.627638,0.00060936
1033,-6,323899,64294161.621218,53448.120754,410358.036120,0.130248,0.632458,0.00061285
1039,-8,327655,65424145.900215,53720.970519,415179.577041,0.129392,0.632560,0.00060940
1045,-6,331513,66518377.938146,54671.124280,419618.747263,0.130288,0.631889,0.00060526
1049,-5,333971,67043973.384014,54767.112519,421427.759964,0.129956,0.629946,0.00060109
1051,-6,335259,67947694.517789,55719.283100,426278.204727,0.130711,0.634751,0.00060452
1061,-5,341647,69485324.323616,56541.096228,431841.664469,0.130930,0.631021,0.00059530
1063,-6,343055,70365063.950205,56537.518234,436334.498476,0.129574,0.634971,0.00059790
1065,-7,344549,71403649.884430,56925.734212,441683.418843,0.128884,0.639971,0.00060148
1069,-8,346901,71574297.166894,57307.577995,441388.286068,0.129835,0.635210,0.00059477
1085,-6,357421,73864700.359672,58879.759264,448718.759402,0.131218,0.626767,0.00057820
1087,-8,358501,74308363.163854,59038.036256,450883.607920,0.130939,0.627895,0.00057817
1091,-10,361191,75770739.397041,59184.334705,458011.001947,0.129220,0.633074,0.00058080
1093,-11,362569,76987345.671176,60441.318202,464445.578424,0.130136,0.639530,0.00058565
1095,-11,364207,78124201.508435,59856.546591,470041.707429,0.127343,0.644327,0.00058896
1097,-12,365327,78569778.074712,60209.856566,472133.993514,0.127527,0.645212,0.00058870
1103,-12,369355,80089824.390155,60739.739369,478621.653036,0.126906,0.646950,0.00058707
1105,-13,370809,81370965.256329,61383.527057,485248.606067,0.126499,0.653338,0.00059179
1109,-15,373317,82488410.063861,61329.089530,490375.692183,0.125066,0.655809,0.00059189
1113,-14,376265,83240508.141273,62146.807708,492739.023748,0.126125,0.653810,0.00058796
1117,-13,378693,83131247.428604,62702.437706,490693.909324,0.127783,0.646925,0.00057968
1123,-12,382805,84394728.634942,63244.099502,495446.270771,0.127651,0.646179,0.00057592
1129,-12,386941,86055191.150353,64001.653348,502462.876342,0.127376,0.648331,0.00057476
1131,-14,388517,87998029.881706,64219.353021,512628.178082,0.125275,0.658766,0.00058298
1151,-6,402063,88573522.606065,66018.136564,507409.151298,0.130108,0.630106,0.00054792
