p,N,T_total,T_low,T_mid,T_high,M_N_2,M_N_3,M_N_4,M_N_5,M_N_6,M_N_7,M_N_8,M_N_9,M_N_10,M_N_11,M_N_12,M_N_13,M_N_14,M_N_15,M_N_16,M_N_17,M_N_18,M_N_19,M_N_20,sqrtN
322519,322518,-41.4870462941,-23.5480158730,-8.8987187845,-9.0403116367,-49,-11,9,-35,14,32,-13,-10,52,-8,-11,-31,-27,22,23,37,-3,-16,-33,567
372871,372870,-0.2777049857,17.3543650794,-8.9262175665,-8.7058524986,40,40,-54,38,-78,13,35,-10,-22,-22,51,-11,11,-29,-28,-3,44,31,-10,610
375709,375708,-10.5605437923,7.9396825397,-9.7875775714,-8.7126487605,33,19,-53,33,-49,10,38,-23,-37,-26,36,-21,-9,-18,-30,-14,41,47,0,612
376633,376632,-10.2726946791,6.8365079365,-8.3992764195,-8.7099261961,46,6,-77,22,-35,19,50,-22,-40,-26,41,-22,-14,-3,-30,-20,39,44,10,613
377059,377058,-13.4838389973,3.9182539683,-8.6875810458,-8.7145119198,40,0,-71,22,-29,20,48,-23,-42,-22,34,-19,-13,-7,-33,-18,34,44,16,614
377099,377098,-14.4181386894,2.7503968254,-8.4467946697,-8.7217408450,39,-3,-69,22,-27,19,47,-26,-41,-23,33,-17,-11,-5,-34,-18,35,46,16,614
377231,377230,-12.0344034657,4.7765873016,-8.0841961127,-8.7267946546,44,-2,-66,25,-34,20,43,-29,-44,-21,37,-20,-13,-7,-35,-15,38,45,18,614
378289,378288,-7.1870791458,8.5805555556,-7.0488302326,-8.7188044688,56,16,-97,11,-44,28,67,-40,-33,-22,51,-9,-13,-7,-36,-16,39,41,25,615
383983,383982,8.8012988556,21.7722222222,-4.2246586767,-8.7462646899,88,64,-127,16,-73,7,60,-67,-39,-23,69,13,1,-11,-45,-18,32,25,48,619
384203,384202,3.1521454201,16.2972222222,-4.4025596184,-8.7425171837,72,65,-123,9,-69,7,65,-67,-26,-25,65,17,6,-7,-47,-16,30,23,45,619
392831,392830,-26.1683545933,-9.6861111111,-7.6947985717,-8.7874449105,11,-8,-72,2,3,0,77,-31,-16,-14,24,5,-5,3,-54,-31,1,48,37,626
392983,392982,-28.1995138667,-11.8210317460,-7.5917049142,-8.7867772065,12,-13,-73,-2,4,1,75,-29,-18,-16,26,4,-6,3,-52,-28,0,44,41,626
393073,393072,-30.2265857292,-13.8142857143,-7.6161526989,-8.7961473160,6,-14,-75,2,7,2,78,-27,-20,-17,28,3,-6,2,-53,-29,-1,47,43,626
393077,393076,-30.5847204938,-14.0642857143,-7.7239007678,-8.7965340117,6,-14,-76,2,7,2,78,-27,-20,-18,28,3,-6,1,-53,-30,-1,47,43,626
393271,393270,-33.7637277186,-16.8619047619,-8.1172346379,-8.7845883188,2,-18,-72,-1,12,-3,76,-21,-24,-21,26,1,-8,5,-51,-32,-4,46,46,627
393401,393400,-34.9679069204,-18.1194444444,-8.0599740298,-8.7884884462,0,-18,-71,-1,9,0,71,-22,-21,-19,24,-1,-10,7,-49,-33,-3,45,48,627
393403,393402,-35.6373722511,-18.7861111111,-8.0635759434,-8.7876851966,-1,-19,-71,-1,10,0,71,-22,-21,-19,24,-1,-10,7,-49,-33,-3,45,48,627
393451,393450,-35.6459203470,-18.8190476190,-8.0368746302,-8.7899980977,-6,-17,-64,2,12,-2,68,-24,-21,-19,23,2,-7,6,-49,-35,-3,43,47,627
393521,393520,-34.6593210748,-17.7769841270,-8.0946367854,-8.7877001625,-3,-15,-69,2,12,-4,72,-23,-23,-19,22,1,-5,7,-51,-36,-5,45,48,627
439973,439972,-36.2156730699,-16.8599206349,-10.2949771802,-9.0607752548,-29,-42,-12,27,38,-27,7,71,-20,-8,-3,-22,32,-6,10,-5,-57,-34,-6,663
439981,439980,-36.3983619713,-17.1666666667,-10.1704268452,-9.0612684594,-29,-42,-14,28,38,-28,8,72,-21,-9,-2,-22,33,-6,10,-4,-58,-34,-5,663
440393,440392,-34.7143320652,-15.1996031746,-10.4429957788,-9.0717331118,-27,-36,-13,24,36,-30,9,73,-22,-8,-6,-22,36,-5,13,-4,-57,-39,-1,663
440507,440506,-36.9111747777,-17.6706349206,-10.1630216060,-9.0775182511,-33,-44,-5,29,41,-36,8,77,-23,-7,-7,-22,41,-6,11,-2,-58,-37,-1,663
440651,440650,-37.2543983492,-17.5527777778,-10.6295648048,-9.0720557667,-36,-49,6,29,41,-35,5,83,-22,-5,-9,-23,44,-5,12,-4,-61,-35,-6,663
440669,440668,-38.0687780179,-18.4027777778,-10.5948567417,-9.0711434985,-38,-50,6,29,43,-35,7,83,-23,-5,-9,-22,44,-4,11,-4,-62,-35,-5,663
440681,440680,-38.0613312338,-18.1444444444,-10.8442206341,-9.0726661553,-37,-51,7,31,41,-35,6,83,-24,-6,-8,-23,43,-5,10,-5,-61,-35,-6,663
441907,441906,-42.8956462454,-24.0964285714,-9.7099346549,-9.0892830190,-57,-55,19,46,37,-39,5,78,-11,-17,-7,-20,49,-4,20,-5,-53,-28,-16,664
481211,481210,-34.1720603875,-16.1384920635,-8.4981670023,-9.5354013217,-11,-50,105,-121,4,47,-93,11,70,-20,-1,-17,-26,57,17,5,-5,-4,-49,693
481301,481300,-33.7615676804,-15.3123015873,-8.9127114828,-9.5365546103,-18,-47,113,-115,4,48,-95,14,69,-22,-3,-20,-24,55,18,5,-5,-2,-51,693
481307,481306,-34.9924640330,-16.6134920635,-8.8419187158,-9.5370532537,-19,-48,112,-116,4,47,-94,14,69,-23,-3,-20,-23,56,18,5,-5,-2,-51,693
482759,482758,-44.3700781530,-25.7920634921,-9.0168216053,-9.5611930557,-42,-54,120,-122,10,51,-80,5,81,-15,-13,-11,-22,57,8,9,-11,2,-67,694
482767,482766,-44.7714865645,-26.0992063492,-9.1127028651,-9.5595773502,-41,-56,119,-123,11,52,-80,5,81,-15,-13,-11,-23,57,8,8,-11,2,-67,694
483247,483246,-45.2996104737,-26.4579365079,-9.2849626952,-9.5567112706,-49,-59,112,-105,11,61,-74,10,83,-13,-11,-8,-28,53,7,10,-8,2,-68,695
483409,483408,-43.2224105624,-23.0297619048,-10.6394866362,-9.5531620215,-47,-56,111,-104,15,66,-75,12,83,-13,-17,-9,-34,53,4,7,-9,2,-70,695
483557,483556,-42.2562289905,-21.7059523810,-10.9967329424,-9.5535436671,-43,-54,106,-107,18,65,-73,12,82,-12,-17,-10,-35,53,4,5,-12,-2,-69,695
483577,483576,-43.9255066249,-23.5198412698,-10.8522167626,-9.5534485925,-47,-54,104,-106,18,65,-70,13,82,-13,-15,-11,-34,53,3,6,-12,-1,-68,695
490741,490740,-18.1049325999,3.4869047619,-12.0033389439,-9.5884984179,-7,16,37,-67,-34,73,-53,6,70,7,-2,-39,-10,21,36,-27,-4,-12,-52,700
491789,491788,-20.9920857211,0.6484126984,-12.0296615842,-9.6108368353,-4,5,41,-66,-27,57,-60,8,69,-2,-9,-34,-19,23,33,-23,-12,-4,-48,701
492911,492910,-15.2603440211,4.8222222222,-10.4738188169,-9.6087474264,-1,12,47,-62,-38,63,-70,14,65,4,-4,-31,-22,21,42,-17,-6,-3,-47,702
493043,493042,-14.7026387431,4.3936507937,-9.4875844282,-9.6087051086,-2,17,42,-61,-40,60,-68,11,68,4,-1,-28,-19,24,44,-18,-4,-3,-46,702
493351,493350,-20.2597657159,-2.7325396825,-7.9180727310,-9.6091533023,-1,8,38,-62,-50,52,-70,14,61,3,5,-24,-16,22,45,-22,-5,-5,-40,702
493397,493396,-18.8615956470,-0.4773809524,-8.7782983222,-9.6059163724,0,10,38,-60,-49,54,-69,15,61,2,2,-25,-18,22,43,-23,-7,-3,-40,702
494381,494380,-14.6409184931,2.9412698413,-7.9731791826,-9.6090091517,16,17,24,-60,-61,44,-64,14,56,-1,6,-28,-23,21,37,-17,9,-3,-34,703
494407,494406,-15.1570490051,2.6511904762,-8.2075394972,-9.6006999841,16,18,23,-62,-62,43,-63,15,57,-2,5,-30,-23,22,37,-16,8,-4,-34,703
494561,494560,-12.5303859469,5.2583333333,-8.1744397157,-9.6142795645,20,24,21,-67,-63,49,-65,12,57,-1,4,-31,-26,19,42,-13,13,-4,-32,703
494563,494562,-13.2000067426,4.5916666667,-8.1773250971,-9.6143483122,19,23,21,-67,-62,49,-65,12,57,-1,4,-31,-26,19,42,-13,13,-4,-32,703
497297,497296,-25.8896825586,-7.6837301587,-8.5767538696,-9.6291985303,-24,44,27,-56,-52,44,-71,5,48,-9,-6,-33,-16,4,46,-12,20,2,-30,705
498907,498906,-25.2546043175,-6.7246031746,-8.8959028303,-9.6340983126,-17,35,20,-57,-45,47,-66,22,31,-1,-13,-37,-24,8,47,-6,14,1,-23,706
498923,498922,-25.2634811863,-6.6861111111,-8.9439431991,-9.6334268760,-18,34,21,-56,-45,49,-65,23,30,-1,-13,-38,-25,9,46,-6,14,2,-22,706
498937,498936,-26.6537882486,-8.2138888889,-8.8060956695,-9.6338036902,-18,32,19,-59,-45,49,-63,22,31,-2,-11,-39,-26,10,45,-6,15,2,-22,706
498973,498972,-27.2964153252,-9.0329365079,-8.6231334207,-9.6403453966,-20,33,18,-58,-44,47,-61,19,32,-1,-11,-39,-25,9,45,-6,16,1,-23,706
498977,498976,-28.0197893547,-9.8757936508,-8.5023837120,-9.6416119919,-21,33,18,-59,-44,46,-61,19,32,-1,-11,-39,-24,10,44,-6,16,1,-23,706
499327,499326,-29.8051018871,-11.8051587302,-8.3733417175,-9.6266014394,-21,33,11,-61,-36,40,-61,23,25,-1,-19,-34,-22,13,45,-5,14,0,-20,706
500107,500106,-34.0081359278,-14.9777777778,-9.3927725683,-9.6375855817,-41,30,28,-44,-29,21,-52,32,21,4,-23,-24,-16,2,33,-5,12,0,-20,707
500113,500112,-34.7495187045,-15.6611111111,-9.4533794507,-9.6350281427,-41,29,27,-45,-29,21,-52,32,22,4,-23,-25,-17,2,33,-5,12,0,-20,707
503147,503146,-21.8891818580,-2.7797619048,-9.4628728561,-9.6465470972,-24,35,-1,-25,-4,31,-29,15,10,7,-31,-18,-7,-2,35,12,-4,3,-6,709
503267,503266,-22.2506588450,-3.9416666667,-8.6644503433,-9.6445418351,-23,35,-2,-21,-6,21,-31,15,8,6,-28,-20,-2,-3,36,12,-3,7,-5,709
503317,503316,-22.7172775888,-4.2559523810,-8.8156726368,-9.6456525711,-24,34,-2,-19,-7,23,-31,15,8,7,-28,-21,-4,-5,37,10,-3,7,-6,709
511039,511038,-23.4975495332,-4.8849206349,-8.9310274893,-9.6816014090,-74,92,72,-65,28,22,-82,-37,30,42,-71,-20,2,-20,63,20,8,-16,-6,714
511061,511060,-24.4291883201,-6.1043650794,-8.6434409668,-9.6813822739,-75,90,70,-62,27,22,-81,-38,30,43,-70,-19,3,-21,63,21,8,-15,-7,714
511447,511446,-26.4244937874,-8.5384920635,-8.2068779936,-9.6791237302,-74,89,72,-65,26,12,-83,-43,29,38,-70,-21,5,-19,68,18,6,-11,-10,715
511523,511522,-25.6968937146,-8.0349206349,-7.9855415484,-9.6764315312,-70,93,68,-68,20,15,-84,-46,27,36,-68,-22,3,-20,70,17,9,-11,-10,715
512011,512010,-26.4072208639,-7.0964285714,-9.6289909213,-9.6818013712,-76,93,65,-58,22,24,-75,-42,22,30,-66,-22,-7,-26,70,10,6,-14,-10,715
512717,512716,-19.4547264134,1.0912698413,-10.8634165579,-9.6825796967,-75,98,77,-52,27,37,-64,-64,24,37,-72,-22,-6,-33,56,9,5,-11,-11,716
513131,513130,-23.2188165656,-2.1591269841,-11.3740970925,-9.6855924890,-78,99,65,-62,30,39,-49,-68,31,36,-73,-27,-6,-24,56,9,10,-11,-14,716
513157,513156,-23.3944170351,-2.3761904762,-11.3326788241,-9.6855477348,-79,99,65,-61,29,41,-50,-69,33,35,-74,-26,-6,-23,57,10,10,-10,-15,716
513167,513166,-23.2006826642,-2.3051587302,-11.2069888544,-9.6885350796,-78,99,63,-60,29,40,-49,-70,33,36,-74,-26,-6,-24,57,10,11,-10,-14,716
513367,513366,-25.4618802819,-4.3793650794,-11.3940516760,-9.6884635266,-81,97,65,-63,34,36,-54,-65,33,36,-78,-25,-2,-24,56,6,7,-13,-14,716
515507,515506,-8.4352443514,15.1079365079,-13.8463304162,-9.6968504432,-52,90,59,-41,57,37,-46,-61,23,35,-87,-14,-8,-26,52,7,-9,-19,-15,717
545731,545730,-24.8528544647,-8.8861111111,-6.2143815383,-9.7523618153,-38,53,-28,3,9,0,25,-61,10,48,4,-35,-14,-1,-18,52,8,-15,-10,738
545747,545746,-24.1186712374,-8.0694444444,-6.2985049555,-9.7507218374,-35,53,-31,3,10,0,25,-61,9,47,5,-35,-13,-2,-17,51,7,-16,-9,738
551113,551112,-23.3941297684,-6.0142857143,-7.6139085907,-9.7659354635,4,31,-81,13,-6,2,54,-66,6,20,18,-55,-22,-5,-23,43,37,-18,9,742
551143,551142,-22.7130009219,-5.4440476190,-7.5033208916,-9.7656324112,6,29,-79,11,-5,5,53,-69,6,21,18,-55,-23,-5,-24,44,38,-17,10,742
551339,551338,-22.1747093332,-5.2646825397,-7.1409103179,-9.7691164756,-1,40,-78,11,-10,11,51,-70,7,23,22,-55,-23,-5,-23,39,39,-20,12,742
551909,551908,-23.4294350751,-4.5500000000,-9.1050595505,-9.7743755246,-3,34,-77,9,-8,14,56,-54,14,13,21,-59,-22,-7,-26,37,35,-20,13,742
551911,551910,-24.1627810917,-5.3166666667,-9.0717262172,-9.7743882078,-4,33,-77,8,-7,14,56,-54,15,13,21,-59,-22,-6,-26,37,35,-20,13,742
551917,551916,-24.4921387297,-5.7845238095,-8.9327574374,-9.7748574828,-3,32,-78,7,-8,13,57,-54,15,14,22,-60,-22,-6,-26,37,36,-20,13,742
554417,554416,-17.1275234188,2.4535714286,-9.8062994990,-9.7747953484,8,61,-107,15,-24,17,71,-66,19,3,36,-65,-17,-22,-31,30,43,-7,16,744
559703,559702,-4.5520936630,13.7916666667,-8.5584096828,-9.7853506468,37,53,-93,39,-61,0,79,-66,7,15,38,-68,-5,-28,-20,22,43,-5,-4,748
559709,559708,-4.8967685941,13.5261904762,-8.6390216677,-9.7839374025,37,52,-93,38,-61,1,80,-66,7,15,39,-68,-6,-28,-20,22,43,-5,-4,748
561521,561520,-7.2963775851,10.9186507937,-8.4153977266,-9.7996306521,32,45,-72,32,-60,4,61,-61,1,22,32,-62,-3,-31,-13,11,40,18,-6,749
561529,561528,-7.0739244763,10.9924603175,-8.2655395952,-9.8008451986,33,46,-73,31,-61,3,61,-61,1,22,33,-61,-2,-30,-13,10,40,17,-6,749
564671,564670,-2.5592887588,14.7428571429,-7.4951892595,-9.8069566421,39,44,-91,59,-70,15,46,-36,-7,31,47,-39,-10,-37,-21,3,38,20,-3,751
564679,564678,-2.1783163369,14.9317460317,-7.3046694635,-9.8053929052,40,44,-91,58,-70,15,46,-37,-7,32,47,-39,-9,-36,-21,3,39,20,-3,751
565549,565548,0.8167287735,17.7678571429,-7.1428820735,-9.8082462959,57,37,-100,66,-68,1,49,-27,-32,38,46,-35,-10,-43,-25,10,33,19,4,752
565559,565558,0.1292604793,17.1246031746,-7.1877170372,-9.8076256581,56,37,-99,64,-68,2,48,-28,-31,37,46,-35,-11,-43,-24,10,33,19,4,752
565637,565636,-0.4481307064,16.2805555556,-6.9254841829,-9.8032020791,56,38,-101,60,-69,0,51,-28,-29,35,48,-31,-10,-41,-24,10,33,21,2,752
565661,565660,-1.1286610263,15.8138888889,-7.1409866722,-9.8015632430,54,39,-99,58,-69,0,51,-28,-28,33,47,-30,-9,-41,-25,9,33,22,0,752
567937,567936,23.1204335047,36.8571428571,-3.9249122143,-9.8117971382,111,57,-124,67,-101,-15,52,-33,-39,30,62,-22,-6,-35,-23,4,50,24,8,753
570667,570666,6.5938190418,19.4726190476,-3.0601997971,-9.8186002088,83,40,-101,85,-109,-16,39,-39,-72,8,63,-15,-2,-31,-22,-9,52,19,8,755
570677,570676,5.8345539262,18.9059523810,-3.2556843311,-9.8157141236,81,41,-101,85,-109,-16,39,-39,-71,9,63,-16,-3,-32,-22,-10,52,19,8,755
570961,570960,6.3768900586,19.2230158730,-3.0295359574,-9.8165898570,78,44,-84,80,-109,-25,30,-41,-69,7,65,-15,0,-30,-19,-12,50,19,2,755
571099,571098,6.7345274035,19.9857142857,-3.4214141508,-9.8297727314,81,38,-83,82,-103,-26,26,-36,-72,6,59,-14,1,-31,-15,-13,47,19,0,755
571531,571530,13.8472904923,27.8214285714,-4.1499667524,-9.8241713268,82,59,-78,89,-113,-24,22,-39,-73,7,58,-13,-2,-26,-16,-20,40,19,-3,755
571601,571600,14.8191388052,28.8289682540,-4.1867113928,-9.8231180560,84,63,-77,86,-116,-27,21,-41,-70,8,58,-14,-4,-26,-16,-21,43,19,-3,756
571657,571656,15.1601355106,29.0281746032,-4.0394594511,-9.8285796415,85,61,-75,83,-117,-23,19,-40,-68,8,59,-15,-5,-23,-14,-20,45,18,-5,756
571679,571678,14.8778850343,28.8686507937,-4.1622438665,-9.8285218929,87,60,-77,80,-116,-24,21,-40,-68,6,58,-15,-6,-22,-15,-21,44,18,-4,756
572059,572058,15.2728599481,30.0769841270,-4.9833391511,-9.8207850278,84,60,-68,89,-111,-31,22,-49,-71,10,58,-19,-7,-27,-22,-24,50,12,-3,756
572177,572176,12.5863847271,27.5583333333,-5.1446473534,-9.8273012528,78,53,-61,83,-107,-28,23,-45,-65,11,55,-17,-9,-24,-21,-24,49,10,-5,756
572179,572178,11.9124668204,26.8916666667,-5.1517395520,-9.8274602942,77,52,-61,83,-106,-28,23,-45,-65,11,55,-17,-9,-24,-21,-24,49,10,-5,756
572233,572232,12.4131261177,27.0182539683,-4.7747071259,-9.8304207247,74,56,-57,84,-107,-29,20,-47,-65,9,55,-18,-6,-22,-19,-22,50,10,-7,756
631453,631452,5.7517286788,24.4301587302,-8.7570640029,-9.9213660485,129,-80,-59,15,-27,-12,10,64,-38,-62,19,85,-3,-45,-26,-11,-10,4,45,794
633781,633780,-0.2468888245,19.2361111111,-9.5726551938,-9.9103447417,117,-74,-77,13,-26,0,23,64,-36,-53,18,83,-5,-43,-19,-22,-20,-3,52,796
633793,633792,-1.9783809250,17.3984126984,-9.4671036815,-9.9096899420,114,-75,-78,11,-25,1,24,65,-35,-52,18,83,-5,-43,-19,-22,-20,-2,52,796
633883,633882,-5.3779460565,13.4849206349,-8.9439409908,-9.9189257006,101,-71,-73,16,-23,-1,20,61,-36,-50,16,83,-1,-47,-17,-22,-19,-4,52,796
633931,633930,-3.2528061657,15.6015873016,-8.9320760970,-9.9223173702,101,-68,-67,17,-25,-1,18,61,-36,-50,16,82,0,-44,-18,-23,-18,-4,51,796
638971,638970,8.1000618225,30.2380952381,-12.2209726598,-9.9170607558,91,-27,-68,75,-30,18,4,51,-80,-65,12,78,0,-70,-11,-35,-23,-23,66,799
639007,639006,7.1827035577,29.0714285714,-11.9706173029,-9.9181077108,88,-26,-66,76,-31,18,4,48,-82,-63,13,76,-1,-69,-12,-34,-22,-23,67,799
778793,778792,-6.0140365901,8.1535714286,-4.2235784476,-9.9440295711,52,1,14,-63,-7,-4,-83,30,-3,61,4,-98,37,7,81,15,-50,-11,-16,882
778913,778912,-5.8887447009,8.5452380952,-4.4883624904,-9.9456203056,59,-2,4,-63,-6,-4,-78,30,-7,63,7,-97,34,5,77,15,-51,-13,-13,882
779081,779080,-5.7467602322,8.3523809524,-4.1556952231,-9.9434459615,60,-4,9,-64,-9,2,-86,27,-8,61,9,-97,31,6,79,12,-47,-11,-13,882
779731,779730,-2.2009165992,11.7670634921,-4.0228929062,-9.9450871851,63,3,8,-72,-6,5,-93,34,-2,56,13,-85,28,4,81,13,-50,-7,-11,883
780257,780256,-6.3218810170,6.4543650794,-2.8293116250,-9.9469344714,60,-10,-13,-65,-4,20,-79,38,-5,60,17,-83,20,10,80,14,-45,-6,-2,883
780397,780396,-6.9246863773,5.9603174603,-2.9364814066,-9.9485224310,57,-7,-17,-64,-2,18,-74,41,-7,59,14,-80,20,9,79,14,-45,-3,1,883
780401,780400,-7.2124615923,5.6825396825,-2.9464814066,-9.9485198683,56,-6,-17,-64,-2,18,-74,40,-7,59,14,-80,20,9,79,14,-45,-3,1,883
780433,780432,-6.7231443306,5.9801587302,-2.7612207150,-9.9420823457,55,-3,-16,-61,-6,16,-74,40,-8,58,15,-78,20,8,78,16,-44,-4,2,883
785353,785352,-17.1855358596,2.0357142857,-9.2810017215,-9.9402484238,13,19,0,-58,-14,44,-66,36,11,24,6,-71,-3,11,71,35,-34,-13,-19,886
785597,785596,-18.7208583092,0.0087301587,-8.7804526518,-9.9491358161,6,20,10,-54,-12,40,-74,34,4,22,5,-76,-2,8,78,36,-32,-13,-17,886
785627,785626,-19.8671649408,-1.0662698413,-8.8504291156,-9.9504659840,4,20,7,-52,-12,40,-71,34,3,20,6,-77,-2,7,77,37,-31,-13,-16,886
785779,785778,-18.7300668344,-0.1817460317,-8.6026100307,-9.9457107719,3,22,12,-51,-9,41,-78,34,-2,21,5,-73,-2,7,79,36,-31,-11,-16,886
789473,789472,-28.6393431333,-12.0837301587,-6.6039317497,-9.9516812249,-34,36,1,-62,5,51,-59,29,11,33,-5,-63,-3,16,63,49,-22,-14,-26,888
789961,789960,-28.2112280071,-13.0460317460,-5.2116123141,-9.9535839469,-29,33,2,-67,-2,57,-64,22,11,37,2,-70,-6,24,65,42,-16,-13,-23,888
789967,789966,-28.4576686909,-13.2738095238,-5.2323474657,-9.9515117015,-29,34,1,-68,-2,57,-64,21,11,36,2,-70,-7,24,65,42,-15,-12,-23,888
789977,789976,-29.7486608651,-14.6476190476,-5.1514466333,-9.9495951842,-32,33,3,-69,-1,58,-66,21,12,36,1,-69,-7,23,66,43,-15,-12,-23,888
790003,790002,-29.3427678160,-13.9496031746,-5.4450011236,-9.9481635179,-32,33,3,-68,-2,61,-65,22,12,34,2,-68,-8,22,66,44,-16,-12,-24,888
791599,791598,-30.3346251864,-11.7285714286,-8.6518866530,-9.9541671048,-29,32,5,-66,-7,60,-66,27,19,19,5,-65,-30,14,51,31,-16,-20,-17,889
793733,793732,-22.8757914954,-3.5587301587,-9.3696058627,-9.9474554739,5,13,-4,-66,-2,51,-72,41,13,34,15,-80,-37,18,50,35,-23,-20,-11,890
793957,793956,-23.0788440340,-3.6297619048,-9.4940532945,-9.9550288348,6,11,-4,-70,-3,52,-69,45,14,32,16,-74,-35,17,46,33,-24,-25,-14,891
803849,803848,-28.0248877568,-8.4523809524,-9.6168865493,-9.9556202551,14,-62,20,-59,-10,89,-24,24,13,16,26,-64,-61,17,12,67,2,-49,-19,896
803989,803988,-26.2047396666,-6.3230158730,-9.9285333110,-9.9531904826,18,-55,20,-59,-14,88,-30,20,11,14,27,-68,-60,14,16,63,2,-50,-18,896
804161,804160,-29.5443861626,-10.4115079365,-9.1844925284,-9.9483856978,16,-61,17,-60,-11,86,-33,22,9,20,30,-68,-58,12,16,60,3,-49,-15,896
804197,804196,-29.4257452429,-10.1630952381,-9.3098386660,-9.9528113388,13,-59,20,-59,-11,87,-33,21,10,19,29,-68,-58,11,14,61,4,-48,-16,896
960373,960372,8.2036144951,24.2662698413,-6.3020909902,-9.7605643560,38,60,-37,79,-64,-61,107,-25,-125,33,6,49,44,-70,-81,-14,12,14,65,979
960667,960666,12.3031334128,28.7361111111,-6.6725216881,-9.7604560103,48,60,-29,73,-64,-63,99,-29,-121,27,1,53,48,-67,-81,-19,12,12,66,980
963253,963252,-12.6636537920,0.6948412698,-3.5983164516,-9.7601786102,11,31,-26,48,-38,-79,113,-22,-123,37,1,53,50,-52,-85,-29,13,11,76,981
963367,963366,-15.9933599172,-3.0075396825,-3.2307862778,-9.7550339569,1,31,-22,51,-36,-81,111,-22,-124,41,2,53,53,-54,-83,-34,17,13,76,981
963491,963490,-13.1960208598,-0.3242063492,-3.1108956456,-9.7609188650,5,35,-23,53,-34,-81,107,-25,-127,41,-1,55,52,-55,-81,-34,15,15,75,981
963689,963688,-13.1988507312,-1.4261904762,-2.0127798176,-9.7598804375,16,31,-45,56,-40,-85,116,-27,-124,46,8,56,51,-54,-81,-39,15,17,78,981
963691,963690,-13.9884583852,-2.3357142857,-1.8940497280,-9.7586943714,15,30,-45,55,-39,-86,116,-27,-123,46,8,55,52,-53,-81,-39,15,17,78,981
964559,964558,-18.4382253802,-6.4603174603,-2.2180857969,-9.7598221229,14,31,-48,41,-58,-81,128,-23,-122,29,12,48,53,-49,-80,-40,15,17,87,982
964577,964576,-17.6024803604,-5.4119047619,-2.4313039934,-9.7592716051,15,34,-49,42,-60,-80,128,-24,-123,29,13,46,52,-49,-82,-39,16,16,87,982
964783,964782,-14.6539328017,-2.3011904762,-2.6003106097,-9.7524317158,21,31,-46,39,-59,-78,127,-21,-120,31,11,46,50,-44,-85,-38,14,13,83,982
964861,964860,-14.7703557730,-2.4678571429,-2.5508184093,-9.7516802209,19,34,-47,43,-60,-78,125,-21,-123,33,10,46,50,-45,-83,-38,14,14,84,982
964897,964896,-16.4826209861,-4.1186507937,-2.6124029381,-9.7515672544,16,32,-44,41,-58,-81,127,-20,-124,31,9,46,51,-44,-84,-36,13,15,84,982
965047,965046,-15.9293400591,-3.4230158730,-2.7500415963,-9.7562825898,15,38,-45,41,-60,-80,124,-19,-125,28,10,49,52,-47,-82,-36,11,14,82,982
1114723,1114722,-29.1421101342,-17.2456349206,-1.9987081907,-9.8977670228,25,-11,9,-78,27,-64,-103,26,19,-18,-45,42,2,41,87,11,-59,-59,19,1055
1117273,1117272,-18.5564550855,-3.8376984127,-4.8271887082,-9.8915679646,36,7,19,-89,20,-62,-91,34,20,-33,-44,59,10,44,77,-2,-71,-62,19,1057
1118807,1118806,-22.6830394141,-6.1392857143,-6.6405428924,-9.9032108075,21,3,26,-83,41,-68,-93,33,33,-39,-57,67,4,37,80,-1,-76,-61,9,1057
1118951,1118950,-23.3043147431,-6.0567460317,-7.3443646081,-9.9032041033,21,4,29,-83,40,-71,-95,28,37,-42,-58,62,2,38,80,0,-71,-62,5,1057
1118969,1118968,-23.0570697429,-5.5694444444,-7.5857760221,-9.9018492763,20,3,31,-81,41,-70,-95,29,37,-43,-59,63,1,37,79,1,-71,-63,5,1057
1133227,1133226,-8.5954778975,14.6043650794,-13.2651262673,-9.9347167096,32,10,57,-55,33,-36,-113,8,49,-46,-87,41,-4,14,60,30,-34,-105,-29,1064
1133239,1133238,-10.7916591211,12.0380952381,-12.8962351012,-9.9335192579,27,9,59,-56,34,-38,-114,9,50,-45,-87,41,-3,15,61,29,-34,-105,-29,1064
1133387,1133386,-10.9182813879,12.9531746032,-13.9297268768,-9.9417291143,23,7,72,-54,37,-37,-118,8,49,-46,-90,43,-4,12,58,30,-33,-108,-33,1064
1140371,1140370,-3.0146958286,23.2472222222,-16.3072468098,-9.9546712410,10,28,80,-51,37,-35,-107,20,91,3,-105,29,-15,4,48,31,-35,-83,-70,1067
1140389,1140388,-3.6655035372,22.6833333333,-16.3948583838,-9.9539784867,10,27,81,-52,36,-35,-108,21,90,3,-105,27,-15,4,49,31,-36,-83,-69,1067
1140413,1140412,-3.7346299581,22.4400793651,-16.2226073613,-9.9521019618,12,24,79,-51,36,-34,-107,20,89,4,-104,27,-16,4,49,29,-35,-83,-69,1067
1141067,1141066,-6.6343989891,19.8142857143,-16.4907422483,-9.9579424551,3,24,84,-44,33,-30,-104,18,79,4,-101,21,-17,4,42,37,-37,-87,-68,1068
1141087,1141086,-6.6019595598,19.6785714286,-16.3231730575,-9.9573579308,4,24,82,-45,33,-32,-102,18,80,5,-101,21,-17,4,41,37,-36,-87,-67,1068
