p,M_p,B_raw,delta_sq,B_plus_C,ratio,n_farey
9391,-3,44383774.1816478297,4460597.6196498061,48844371.8012976348,9.9501855953,26801835
9397,-3,46222630.2460104600,4467300.7899213284,50689931.0359317884,10.3468811302,26836049
11027,-3,50295684.7098283842,6148402.8761934051,56444087.5860217884,8.1802844938,36954677
11159,-3,63227791.9107630700,6291532.1189963045,69519324.0297593772,10.0496652826,37844513
11273,-3,45249180.9996108711,6430098.7579398286,51679279.7575507015,7.0370895849,38622591
11287,-3,47382639.6052740812,6446407.2208117163,53829046.8260857984,7.3502399061,38717747
11299,-3,52025752.4682639241,6456298.9656034019,58482051.4338673279,8.0581386868,38800139
12919,-3,125534819.9806058109,8439025.9346292391,133973845.9152350426,14.8755106280,50726629
13399,-3,135268230.3719134927,9087700.0126721151,144355930.3845856190,14.8847596403,54565029
13441,-3,133929991.6779275686,9147386.7847134601,143077378.4626410306,14.6413390873,54907557
13469,-3,134181614.8948782980,9183637.7433388326,143365252.6382171214,14.6109437943,55136753
13513,-3,138106049.8417525887,9239235.8012158573,147345285.6429684460,14.9477784541,55497657
13879,-3,153146685.3320869207,9746307.6434681695,162892992.9755550921,15.7133030204,58545347
15277,-3,132108172.2144091278,11812372.7028793208,143920544.9172884524,11.1838811336,70932913
17737,-3,194935563.5203062296,15920930.2894269023,210856493.8097331226,12.2439807208,95617419
17863,-3,147467347.3139756322,16146200.2484424319,163613547.5624180734,9.1332539573,96982909
18671,-3,259697701.8553844988,17641649.9155332595,277339351.7709177732,14.7207150748,105952929
18749,-3,257955680.9886226654,17792912.5297316462,275748593.5183542967,14.4976647616,106841941
21839,-3,286999291.8951095343,24118089.6616820060,311117381.5567915440,11.8997522574,144961561
21991,-3,305837611.4075443149,24477281.9518967159,330314893.3594410419,12.4947537888,146985201
22027,-3,285318059.8200698495,24557777.8240340278,309875837.6441038847,11.6182360580,147467755
25189,-3,355611875.2012157440,32119196.7638896480,387731071.9651054144,11.0716303965,192850523
25357,-3,335659296.8270688653,32546469.8315062486,368205766.6585751176,10.3132320822,195428351
25373,-3,330119029.3125166297,32589562.9532974102,362708592.2658140659,10.1295936305,195678417
25457,-3,259879188.2796174288,32804772.3793436997,292683960.6589611173,7.9219933391,196974353
25913,-3,331195628.9400832653,33992983.9883796051,365188612.9284628630,9.7430584221,204094699
27239,-3,431425037.5558597445,37548254.3947088122,468973291.9505685568,11.4898826726,225515193
27943,-3,438226662.3716343045,39527126.6115903035,477753788.9832246304,11.0867320733,237323735
27983,-3,416408370.3353029490,39635256.4579119682,456043626.7932149172,10.5060092339,238006209
28051,-3,379213546.2500817180,39853653.1779875681,419067199.4280692935,9.5151514607,239160705
28229,-3,313591067.0134154558,40338869.6342205107,353929936.6476359367,7.7739180561,242209563
28571,-3,282126040.8746069074,41326145.7350780293,323452186.6096849442,6.8268171603,248109637
28579,-3,344952084.3502289057,41347723.5433242396,386299807.8935531378,8.3427104273,248250779
29123,-3,600961745.9741261005,42932871.5247729868,643894617.4988991022,13.9977067601,257791443
29137,-3,657913207.7053961754,42983595.7013182715,700896803.4067144394,15.3061463791,258040549
33461,-3,974572697.5241515636,56682161.4235094488,1031254858.9476610422,17.1936403455,340310767
33469,-3,983423357.5594795942,56716837.7183954045,1040140195.2778749466,17.3391782250,340475647
33547,-3,1065435467.5317158699,56978557.2469425574,1122414024.7786583900,18.6988846157,342063695
36307,-3,898568729.2152892351,66740891.0990152210,965309620.3143044710,13.4635410828,400666807
36341,-3,863717875.8056378365,66871998.5637055337,930589874.3693434000,12.9159871749,401414115
36389,-3,818649222.8059937954,67051695.7832168788,885700918.5892106295,12.2092247369,402476897
36683,-3,1015013285.3331104517,68133196.4450330585,1083146481.7781434059,14.8974851951,409011899
36781,-3,1099481187.0080251694,68508477.7876558453,1167989664.7956809998,16.0488339913,411195999
36833,-3,1145600903.3908092976,68688522.9425367415,1214289426.3333461285,16.6781997096,412363431
39097,-3,729843566.3480739594,77406079.3171113133,807249645.6651852131,9.4287628670,464606685
39103,-3,715218025.8000049591,77427327.0367904156,792645352.8367953300,9.2372816313,464754173
39107,-3,742477094.0494788885,77440606.4246238768,819917700.4741027355,9.5876973119,464849211
39119,-3,776829389.3444750309,77465149.1008704007,854294538.4453454018,10.0281145568,465134843
39157,-3,657297755.7634537220,77646506.3703480512,734944262.1338018179,8.4652585994,466036717
39821,-3,500729634.9632096291,80306368.4246748984,581036003.3878844976,6.2352419215,481976257
39827,-3,504953682.1821954846,80315869.3885564804,585269551.5707519054,6.2870972577,482122989
39841,-3,673170386.5133305788,80390599.1051053107,753560985.6184358597,8.3737451146,482465335
40093,-3,779674646.2939811945,81407402.1834475100,861082048.4774286747,9.5774416746,488585937
40483,-3,367639656.4724279642,82997062.1455875486,450636718.6180155277,4.4295502391,498134365
40519,-3,520414980.0083268881,83133504.2115578949,603548484.2198847532,6.2599909019,499024713
40577,-3,336599716.1573944092,83384038.7607534975,419983754.9181479216,4.0367403781,500455983
40897,-3,308459835.9165534973,84697961.0959458500,393157797.0124993324,3.6418802994,508377639
41143,-3,80867968.7817011327,85710047.3174218982,166578016.0991230309,0.9435062903,514512809
41149,-3,89280950.5186721385,85750514.0648881644,175031464.5835602880,1.0411710238,514664555
