p,mertens_p,m_over_sqrt_p,abs_m
4517,-6,-0.0892742489,6
4519,-7,-0.1041302400,7
4523,-8,-0.1189533543,8
4547,-3,-0.0444896283,3
4549,-4,-0.0593064629,4
4561,-4,-0.0592283938,4
4567,-6,-0.0887842120,6
4583,-2,-0.0295430321,2
4591,-3,-0.0442759215,3
4597,-1,-0.0147490059,1
4603,0,0.0000000000,0
4621,-1,-0.0147106552,1
4637,0,0.0000000000,0
4639,-2,-0.0293641754,2
4643,-3,-0.0440272858,3
4649,-3,-0.0439988658,3
4651,-4,-0.0586525396,4
4657,-6,-0.0879221160,6
4663,-6,-0.0878655320,6
4673,-8,-0.1170286234,8
4679,-6,-0.0877151737,6
4691,-2,-0.0292009701,2
4703,-1,-0.0145818461,1
4721,2,0.0291080422,2
4723,0,0.0000000000,0
4729,-1,-0.0145417054,1
4733,-2,-0.0290711186,2
4751,3,0.0435239938,3
4759,4,0.0579831946,4
4783,10,0.1445938460,10
4787,11,0.1589867646,11
4789,10,0.1445032389,10
4793,9,0.1299986358,9
4799,9,0.1299173443,9
4801,8,0.1154580276,8
4813,8,0.1153140050,8
4817,6,0.0864495879,6
4831,8,0.1150989782,8
4861,18,0.2581723302,18
4871,17,0.2435790075,17
4877,18,0.2577484886,18
4889,19,0.2717337501,19
4903,19,0.2713455192,19
4909,18,0.2569070304,18
4919,18,0.2566457600,18
4931,15,0.2136110712,15
4933,14,0.1993299133,14
4937,15,0.2134812295,15
4943,13,0.1849047412,13
4951,11,0.1563314017,11
4957,11,0.1562367606,11
4967,7,0.0993232587,7
4969,6,0.0851170870,6
4973,7,0.0992633231,7
4987,5,0.0708027816,5
4993,3,0.0424561366,3
4999,2,0.0282871001,2
5003,1,0.0141378949,1
5009,3,0.0423882746,3
5011,3,0.0423798147,3
5021,-1,-0.0141125304,1
5023,-2,-0.0282194410,2
5039,-6,-0.0845238112,6
5051,-5,-0.0703527892,5
5059,-5,-0.0702971413,5
5077,-5,-0.0701724149,5
5081,-4,-0.0561158304,4
5087,-5,-0.0701034087,5
5099,-1,-0.0140041739,1
5101,-2,-0.0280028564,2
5107,0,0.0000000000,0
5113,0,0.0000000000,0
5119,-1,-0.0139767898,1
5147,-3,-0.0418161621,3
5153,-4,-0.0557224137,4
5167,-3,-0.0417351543,3
5171,-2,-0.0278126728,2
5179,-3,-0.0416867751,3
5189,-2,-0.0277643915,2
5197,0,0.0000000000,0
5209,-1,-0.0138555197,1
5227,1,0.0138316423,1
5231,-1,-0.0138263530,1
5233,-2,-0.0276474212,2
5237,-3,-0.0414552910,3
5261,0,0.0000000000,0
5273,2,0.0275423574,2
5279,3,0.0412900514,3
5281,2,0.0275214881,2
5297,-2,-0.0274798912,2
5303,-4,-0.0549286819,4
5309,-6,-0.0823464512,6
5323,-1,-0.0137063484,1
5333,2,0.0273869837,2
5347,2,0.0273511067,2
5351,2,0.0273408820,2
5381,11,0.1499550822,11
5387,11,0.1498715495,11
5393,11,0.1497881562,11
5399,10,0.1360953655,10
5407,10,0.1359946474,10
5413,9,0.1223273298,9
5417,9,0.1222821572,9
5419,8,0.1086751908,8
5431,9,0.1221244464,9
5437,11,0.1491808298,11
5441,11,0.1491259839,11
5443,9,0.1219897503,9
5449,8,0.1083756170,8
5471,8,0.1081574974,8
5477,9,0.1216105182,9
5479,9,0.1215883204,9
5483,9,0.1215439613,9
5501,9,0.1213449444,9
5503,9,0.1213228917,9
5507,8,0.1078033976,8
5519,8,0.1076861350,8
5521,7,0.0942082999,7
5527,4,0.0538040861,4
5531,3,0.0403384703,3
5557,7,0.0939026485,7
5563,5,0.0670371395,5
5569,6,0.0804012205,6
5573,4,0.0535815743,4
5581,4,0.0535431577,4
5591,8,0.1069905058,8
5623,13,0.1733641564,13
5639,16,0.2130683464,16
5641,15,0.1997161609,15
5647,15,0.1996100324,15
5651,13,0.1729341241,13
5653,12,0.1596032583,12
5657,11,0.1462512531,11
5659,11,0.1462254068,11
5669,11,0.1460963805,11
5683,9,0.1193860769,9
5689,8,0.1060649814,8
5693,5,0.0662673208,5
5701,6,0.0794649711,6
5711,5,0.0661628073,5
5717,6,0.0793536951,6
5737,5,0.0660127126,5
5741,4,0.0527917693,4
5743,3,0.0395869321,3
5749,2,0.0263775127,2
5779,9,0.1183903112,9
5783,7,0.0920495021,7
5791,6,0.0788450564,6
5801,5,0.0656475574,5
5807,5,0.0656136339,5
5813,5,0.0655797630,5
5821,5,0.0655346833,5
5827,2,0.0262003738,2
5839,4,0.0523468742,4
5843,2,0.0261644767,2
5849,0,0.0000000000,0
5851,-1,-0.0130732917,1
5857,1,0.0130665937,1
5861,-1,-0.0130621341,1
5867,-4,-0.0522218132,4
5869,-5,-0.0652661432,5
5879,-5,-0.0652106117,5
5881,-6,-0.0782394269,6
5897,-9,-0.1171998202,9
5903,-12,-0.1561869897,12
5923,-6,-0.0779615355,6
5927,-6,-0.0779352238,6
5939,-3,-0.0389282241,3
5953,-3,-0.0388824224,3
5981,-2,-0.0258608678,2
5987,-4,-0.0516958121,4
6007,1,0.0129024203,1
6011,0,0.0000000000,0
6029,2,0.0257577162,2
6037,1,0.0128703220,1
6043,3,0.0385917931,3
6047,4,0.0514387027,4
6053,5,0.0642665028,5
6067,0,0.0000000000,0
6073,-1,-0.0128321184,1
6079,-1,-0.0128257842,1
6089,0,0.0000000000,0
6091,-2,-0.0256262876,2
6101,-6,-0.0768158318,6
6113,-3,-0.0383701995,3
6121,-1,-0.0127817056,1
6131,-3,-0.0383138325,3
6133,-4,-0.0510767798,4
6143,-6,-0.0765527846,6
6151,-8,-0.1020039814,8
6163,-5,-0.0636903918,5
6173,-4,-0.0509110264,4
6197,-1,-0.0127030864,1
6199,-3,-0.0381031111,3
6203,-5,-0.0634847062,5
6211,-6,-0.0761325692,6
6217,-10,-0.1268263712,10
6221,-10,-0.1267855910,10
6229,-10,-0.1267041485,10
6247,-7,-0.0885650326,7
6257,-9,-0.1137782977,9
6263,-8,-0.1010878084,8
6269,-10,-0.1262992772,10
6271,-12,-0.1515349624,12
6277,-12,-0.1514625212,12
6287,-13,-0.1639538511,13
6299,-13,-0.1637976053,13
