Sieving to 10000000...
Sieve complete.
HYPERBOLA MODE: Computing alpha for M(p)=-3 primes up to 10000000
p,M_p,T_N,alpha_approx,T_positive,alpha_lt_1
8332663,-3,52.798964,-51.798964,1,1
8333599,-3,52.713629,-51.713629,1,1
8333623,-3,51.527103,-50.527103,1,1
8333629,-3,51.749565,-50.749565,1,1
8333683,-3,53.580559,-52.580559,1,1
8333687,-3,53.330542,-52.330542,1,1
8333749,-3,52.023071,-51.023071,1,1
8334311,-3,57.479724,-56.479724,1,1
8334449,-3,56.629086,-55.629086,1,1
8335571,-3,62.053481,-61.053481,1,1
8335583,-3,61.395288,-60.395288,1,1
8335721,-3,65.026268,-64.026268,1,1
8336491,-3,65.667440,-64.667440,1,1
8336617,-3,63.328781,-62.328781,1,1
8338333,-3,63.935299,-62.935299,1,1
8338367,-3,62.692838,-61.692838,1,1
8338651,-3,57.789409,-56.789409,1,1
8342549,-3,38.024245,-37.024245,1,1
8342827,-3,39.546852,-38.54
Total M(p)=-3 primes: 922
With T(N) > 0: 246 (26.7%)
Min alpha: -136.340757 at p=3535369

For B+C > 0, need alpha + rho > -1.
If |rho| < 5 (empirically ~ 1.4*sqrt(log p) < 5 for p < 10^7),
then alpha + rho > -1 iff alpha > -1 - (-5) = 4 is NOT needed,
we just need alpha > -6 which holds since alpha > 0 always.
In fact: alpha + rho > alpha - |rho| > min_alpha - max_|rho|.
With min_alpha=-136.341 and max |rho| ~ 5, we get -141.341 > -1? NO -- NEED EXACT CHECK
6852,1,1
8342837,-3,40.078349,-39.078349,1,1
8342947,-3,40.416408,-39.416408,1,1
8343053,-3,41.832989,-40.832989,1,1
8343263,-3,40.566152,-39.566152,1,1
8343659,-3,39.502416,-38.502416,1,1
8343887,-3,40.415026,-39.415026,1,1
8344067,-3,41.205344,-40.205344,1,1
8363153,-3,37.200653,-36.200653,1,1
8363183,-3,38.686373,-37.686373,1,1
8376469,-3,41.887335,-40.887335,1,1
8379719,-3,34.110591,-33.110591,1,1
8382113,-3,49.261308,-48.261308,1,1
8382359,-3,48.391271,-47.391271,1,1
8382443,-3,48.836955,-47.836955,1,1
8383171,-3,42.686371,-41.686371,1,1
8383267,-3,44.362368,-43.362368,1,1
8385757,-3,39.265016,-38.265016,1,1
8386153,-3,39.500839,-38.500839,1,1
8387473,-3,43.471789,-42.471789,1,1
8387507,-3,41.727461,-40.727461,1,1
8387543,-3,41.304215,-40.304215,1,1
8387671,-3,38.656598,-37.656598,1,1
8387921,-3,42.586008,-41.586008,1,1
8388673,-3,48.082454,-47.082454,1,1
8407471,-3,66.064610,-65.064610,1,1
8407591,-3,71.956059,-70.956059,1,1
