p,mertens_p,m_over_sqrt_p,cross_term_handoff
8297,14,0.153697743197,-5.112336919643192606e+06
8311,16,0.175506554967,-4.189754827120355498e+06
8317,16,0.175443237105,-4.515968229922679811e+06
8329,16,0.175316806699,-4.716498124744207329e+06
8353,21,0.229772502378,4.265655007124757788e+06
8363,22,0.240570090975,6.392486645125356958e+06
8369,20,0.218621672155,4.173217057744908721e+06
8377,20,0.218517255828,4.668549200849138222e+06
8387,20,0.218386945568,4.076981150046531754e+06
8389,19,0.207442865906,2.217953991418322352e+06
8419,25,0.272464392593,1.195866633446084134e+07
8423,24,0.261503701995,9.670331433678738577e+06
8429,22,0.239626394855,7.326970737790877025e+06
8431,22,0.239597971109,6.009313554973859772e+06
8443,21,0.228544566195,4.465011493496545045e+06
8447,18,0.195848954732,1.286698945703871190e+06
8461,18,0.195686856841,2.075378586871331022e+06
8467,21,0.228220427657,4.117925258400033928e+06
8501,28,0.303684777661,1.507394665959016141e+07
8513,34,0.368500091766,2.177503092281258928e+07
8521,33,0.357493917690,2.077680823043541952e+07
8527,33,0.357368120753,2.054319908541701066e+07
8537,30,0.324689776342,1.731985153658289050e+07
8539,28,0.303008299797,1.489609064346726790e+07
8543,28,0.302937354280,1.385073934521638597e+07
8563,33,0.356616117795,2.251697484601442950e+07
8573,32,0.345607824650,2.228088191996773158e+07
8581,32,0.345446683331,2.279961164100495628e+07
8597,31,0.334339917119,2.134910755819781595e+07
8599,29,0.312733224983,1.883723593284985210e+07
8609,28,0.301773901312,1.755068003735346841e+07
8623,28,0.301528827043,1.979709657977970166e+07
8627,26,0.279926135747,1.698643459626986378e+07
8629,25,0.269128551642,1.481384513301738691e+07
8641,23,0.247426284438,1.337642464072093039e+07
8647,22,0.236586495569,1.153625451518320205e+07
8663,25,0.268599902986,1.676258746772720339e+07
8669,24,0.257766657632,1.518829797173656095e+07
8677,23,0.246912477571,1.282747395741078885e+07
8681,22,0.236122733759,1.086832598977441718e+07
8689,19,0.203830280599,6.825326132587624508e+06
8693,20,0.214508820985,6.416655106871213161e+06
8699,18,0.192991348046,3.143747080938527986e+06
8707,15,0.160752222794,2.237757607588448301e+05
8713,17,0.182123112723,1.710123464886963164e+06
8719,18,0.192769875231,3.312913608510351061e+06
8731,17,0.181935281582,5.681728920862887636e+05
8737,15,0.160476000202,-2.373367847647967576e+06
8741,13,0.139047374270,-4.464646811826014007e+06
8747,16,0.171076524742,-1.996278977011609512e+06
8753,17,0.181706497485,-7.560177216409555982e+05
8761,14,0.149572308121,-4.538006161115427684e+06
8779,11,0.117400557877,-4.861940584662918905e+06
8783,12,0.128044168629,-4.923717833572400156e+06
8803,11,0.117240411537,-5.696276610770941073e+06
8807,10,0.106557985586,-8.389083780784398261e+06
8819,12,0.127782557114,-6.390780968750989799e+06
8821,11,0.117120730941,-8.368158792905618622e+06
8831,5,0.053206545404,-1.432028607319168803e+07
8837,4,0.042550783749,-1.608137568256800776e+07
8839,3,0.031909477122,-1.828290711741780646e+07
8849,3,0.031891442034,-1.822375228843094722e+07
8861,3,0.031869840242,-1.685448494372711302e+07
8863,3,0.031866244210,-1.833173058655155771e+07
8867,3,0.031859055794,-1.980406311855908823e+07
8887,4,0.042430915395,-1.541996087159576158e+07
8893,6,0.063624898750,-1.375523253309422959e+07
8923,9,0.095276778192,-7.864044150667291224e+06
8929,10,0.105827512613,-7.205889225217373693e+06
8933,9,0.095223434714,-9.380390323170989280e+06
8941,8,0.084605177229,-8.988839844976554705e+06
8951,6,0.063418427880,-1.052699360533221709e+07
8963,5,0.052813300148,-1.167352947711990472e+07
8969,4,0.042236505530,-1.462503170185432811e+07
8971,2,0.021115898576,-1.713326573708302215e+07
8999,1,0.010541511190,-1.552450117088257098e+07
9001,0,0.000000000000,-1.760553609361080345e+07
9007,1,0.010536828675,-1.637774170298417674e+07
9011,1,0.010534489756,-1.722000207142998144e+07
9013,0,0.000000000000,-1.962919609086530395e+07
9029,1,0.010523983863,-1.796424549788314431e+07
9041,2,0.021033994743,-1.621385396622330168e+07
9043,2,0.021031668617,-1.766528860295820651e+07
9049,3,0.031537042300,-1.629237082522542953e+07
9059,3,0.031519631024,-1.637702371285952024e+07
9067,-1,-0.010501907582,-2.249411248464476484e+07
9091,2,0.020976072083,-1.446745344029695297e+07
9103,4,0.041924483409,-1.216064707907651992e+07
9109,2,0.020955336766,-1.437383881902728923e+07
9127,6,0.062803988459,-6.740501649056975363e+06
9133,6,0.062783355269,-7.973964235184426820e+06
9137,6,0.062769611102,-8.601442881948875120e+06
9151,2,0.020907192501,-1.259783514126742564e+07
9157,1,0.010450170901,-1.371755380391763901e+07
9161,-2,-0.020895778408,-1.842063713116685927e+07
9173,2,0.020882106142,-1.369482192174844836e+07
9181,3,0.031309509290,-1.291029188910775165e+07
9187,2,0.020866189033,-1.486301482845950257e+07
9199,1,0.010426287364,-1.458629380640852505e+07
9203,0,0.000000000000,-1.637042951495267731e+07
9209,-1,-0.010420624904,-1.845409320951231087e+07
9221,-4,-0.041655368457,-2.269839237849750866e+07
9227,-4,-0.041641822730,-2.287648251145983467e+07
9239,-2,-0.020807385436,-1.937291368002828246e+07
9241,-3,-0.031207700514,-2.172714526048468636e+07
9257,-1,-0.010393572939,-1.906667485752585888e+07
9277,-3,-0.031147089903,-2.168233554577829203e+07
9281,-3,-0.031140377168,-2.232019038969983221e+07
9283,-5,-0.051895037380,-2.513233732938112351e+07
9293,-6,-0.062240529949,-2.668412901978861403e+07
9311,-4,-0.041453559488,-2.168220882001963697e+07
9319,-4,-0.041435762532,-2.198348029196831107e+07
9323,-7,-0.072497027128,-2.682124933020789233e+07
9337,-5,-0.051744753801,-2.466017421449794853e+07
9341,-6,-0.062080408264,-2.776449158946733363e+07
9343,-7,-0.072419390538,-3.010437194544038701e+07
9349,-5,-0.051711534396,-2.785367180654199392e+07
9371,-4,-0.041320638370,-2.398535142280080355e+07
9377,-7,-0.072287978823,-2.866796046050730264e+07
9391,-3,-0.030957460998,-2.219188609082816306e+07
