Sieving to 243799 ...
Sieve done. Scanning qualifying primes (M(p) <= -3) up to 200000 ...
p,M_p,R,min_R_so_far
1811,-7,9.69448456,0.11989382
1823,-3,7.05838868,0.11989382
1831,-3,7.08655047,0.11989382
1873,-3,6.13786561,0.11989382
1877,-3,6.84533347,0.11989382
1879,-5,8.16594919,0.11989382
1889,-7,10.08218783,0.11989382
1901,-4,7.81168413,0.11989382
1907,-5,8.34924106,0.11989382
1913,-6,8.78836896,0.11989382
1933,-3,6.17726390,0.11989382
2143,-3,10.48787931,0.11989382
2347,-3,8.43287436,0.11989382
2351,-4,9.34034197,0.11989382
2357,-6,10.65843721,0.11989382
2377,-3,9.07117424,0.11989382
2381,-6,11.06016932,0.11989382
2383,-8,12.35805370,0.11989382
2389,-9,13.92247241,0.11989382
2393,-10,14.75518003,0.11989382
2399,-12,15.70406118,0.11989382
2411,-15,17.05451500,0.11989382
2417,-15,17.18102310,0.11989382
2423,-15,17.13464531,0.11989382
2437,-11,14.40810048,0.11989382
2441,-13,15.78737696,0.11989382
2447,-12,15.88588041,0.11989382
2459,-11,14.39702196,0.11989382
2467,-10,13.98734296,0.11989382
2473,-8,12.94291627,0.11989382
2477,-8,13.23499525,0.11989382
2543,-3,6.66173349,0.11989382
2549,-4,7.17334284,0.11989382
2551,-5,8.07639210,0.11989382
2557,-7,10.06148575,0.11989382
2699,-6,9.03835329,0.11989382
2707,-6,9.02291080,0.11989382
2711,-8,10.35564680,0.11989382
2713,-9,11.43230585,0.11989382
2719,-13,14.58879040,0.11989382
2729,-12,14.07876985,0.11989382
2731,-14,15.31168591,0.11989382
2741,-14,15.63776005,0.11989382
2749,-13,14.93865802,0.11989382
2753,-15,16.50370814,0.11989382
2767,-16,16.35625687,0.11989382
2777,-18,16.79438546,0.11989382
2789,-19,17.00337499,0.11989382
2791,-20,17.90872788,0.11989382
2797,-23,20.21234471,0.11989382
2801,-23,20.47627471,0.11989382
2803,-25,21.84591807,0.11989382
2819,-21,18.96910442,0.11989382
2833,-23,19.67823542,0.11989382
2837,-25,20.88011026,0.11989382
2843,-23,20.15063565,0.11989382
2851,-24,21.20185382,0.11989382
2857,-23,20.81349695,0.11989382
2861,-22,20.45724584,0.11989382
2879,-20,18.67506612,0.11989382
2887,-19,18.28649718,0.11989382
2897,-19,18.34968271,0.11989382
2903,-17,17.17059443,0.11989382
2909,-18,18.28931910,0.11989382
2917,-18,18.61346565,0.11989382
2927,-17,18.12936635,0.11989382
2939,-17,17.08590999,0.11989382
2953,-15,15.47502587,0.11989382
2957,-18,17.17474482,0.11989382
2963,-16,16.72889888,0.11989382
2969,-16,17.02010090,0.11989382
2971,-17,17.97310571,0.11989382
2999,-6,10.30770706,0.11989382
3001,-7,11.27281752,0.11989382
3011,-6,10.65823647,0.11989382
3019,-7,11.09206978,0.11989382
3023,-8,12.41961903,0.11989382
3037,-6,10.10284553,0.11989382
3041,-6,10.49529471,0.11989382
