p,M,n,A,B,C,D,B_A,C_A,D_A,BCD_A
1087,-8,358501,450883.607920,521110.896613,59038.036256,451982.367065,1.155755,0.130939,1.002437,2.289130
1091,-10,361191,458011.001947,604176.896926,59184.334705,460561.502291,1.319132,0.129220,1.005569,2.453921
1093,-11,362569,464445.578424,669427.283096,60441.318202,453192.975297,1.441347,0.130136,0.975772,2.547256
1097,-12,365327,472133.993514,718402.062583,60209.856566,470548.583409,1.521606,0.127527,0.996642,2.645775
1103,-12,369355,478621.653036,732771.369182,60739.739369,475330.423391,1.531003,0.126906,0.993124,2.651032
1109,-15,373317,490375.692183,851676.859618,61329.089530,487197.401262,1.736784,0.125066,0.993519,2.855369
1117,-13,378693,490693.909324,808367.594391,62702.437706,484843.192480,1.647397,0.127783,0.988077,2.763257
1123,-12,382805,495446.270771,794092.244682,63244.099502,486786.595726,1.602782,0.127651,0.982521,2.712954
1129,-12,386941,502462.876342,814957.304612,64001.653348,493961.615589,1.621925,0.127376,0.983081,2.732382
1151,-6,402063,507409.151298,477146.323686,66018.136564,508288.490877,0.940358,0.130108,1.001733,2.072199
1153,-7,403597,512493.472625,549451.315829,67237.855736,507568.686904,1.072114,0.131197,0.990391,2.193702
1163,-6,410565,520400.823543,489205.943968,67864.888215,517913.337059,0.940056,0.130409,0.995220,2.065685
1171,-5,416195,527301.088617,439147.312448,69105.692643,522466.772844,0.832821,0.131055,0.990832,1.954708
1181,-6,423339,534049.377295,460220.185106,70017.524021,533876.882303,0.861756,0.131107,0.999677,1.992540
1187,-8,427639,541413.179113,554111.588224,70217.823446,542030.000842,1.023454,0.129694,1.001139,2.154287
1193,-6,432073,544728.333702,485337.973789,71258.154472,545823.215423,0.890973,0.130814,1.002010,2.023797
1201,-5,437787,552009.262918,462847.385629,72832.904122,547875.127394,0.838478,0.131941,0.992511,1.962930
1223,-3,454049,569872.590802,459441.777039,74586.036079,569328.455437,0.806218,0.130882,0.999045,1.936146
1237,-3,464497,589195.078979,580914.464239,76754.766128,592371.238480,0.985946,0.130271,1.005391,2.121607
1249,-3,473559,598523.727581,530274.460539,78730.442275,596504.512410,0.885971,0.131541,0.996626,2.014138
1499,-3,682285,874214.500166,975182.730074,112421.118592,873235.404270,1.115496,0.128597,0.998880,2.242973
1511,-3,693213,884236.205115,916573.874630,113822.415117,887251.825943,1.036571,0.128724,1.003410,2.168706
1553,-4,732321,930866.824756,946272.408891,121148.319475,923744.548616,1.016550,0.130146,0.992349,2.139044
1559,-4,738073,938015.262054,937608.952284,121327.997706,937403.092367,0.999567,0.129345,0.999347,2.128260
1567,-3,745543,946765.569395,860818.925069,123200.120406,948853.894703,0.909221,0.130127,1.002206,2.041554
1571,-4,749449,955386.117728,960328.898458,124245.764463,951263.647995,1.005174,0.130048,0.995685,2.130906
1579,-4,757149,966021.951319,952167.470255,125021.501658,966232.994934,0.985658,0.129419,1.000218,2.115296
1583,-7,760983,976266.096172,1240412.430607,125170.127404,973947.416930,1.270568,0.128213,0.997625,2.396406
1597,-5,774301,986468.782543,1031894.119780,128527.363017,983500.006262,1.046048,0.130290,0.996991,2.173329
1601,-8,778233,995960.916944,1308421.710361,129384.018818,986529.981262,1.313728,0.129909,0.990531,2.434168
1607,-10,784097,1007939.543599,1440483.460206,129709.460032,1003297.603609,1.429137,0.128688,0.995395,2.553219
1609,-11,786231,1016233.577498,1586326.811223,129956.109622,1008895.743940,1.560986,0.127880,0.992779,2.681646
1613,-11,790155,1024048.489698,1683760.695080,131168.980161,1014070.267824,1.644220,0.128089,0.990256,2.762564
1619,-13,795903,1036078.395235,1891411.996217,130804.325156,1036568.137739,1.825549,0.126249,1.000473,2.952271
1621,-14,797953,1047181.493391,2052913.482233,132949.801491,1018763.737199,1.960418,0.126960,0.972863,3.060240
1627,-14,803875,1057210.076933,2081629.816400,132925.270469,1047248.127228,1.968984,0.125732,0.990577,3.085293
1637,-16,813829,1072770.311009,2152986.173566,134083.635756,1065489.022602,2.006940,0.124988,0.993213,3.125141
1657,-10,833681,1068667.955859,1640692.936126,138416.882362,1062423.927580,1.535269,0.129523,0.994157,2.658949
1663,-11,839809,1084959.288197,1744589.989892,138581.919293,1080281.855081,1.607977,0.127730,0.995689,2.731396
1667,-12,843775,1092920.215795,1929592.676806,139768.919884,1081693.110378,1.765538,0.127886,0.989727,2.883152
1669,-13,845993,1106035.106842,2096139.978364,140077.918108,1092701.352906,1.895184,0.126649,0.987945,3.009777
1693,-9,870415,1113610.309413,1540114.946950,144193.120649,1108086.777318,1.382993,0.129483,0.995040,2.507515
1697,-11,874495,1127508.227927,1763864.653293,144756.339116,1124895.073659,1.564392,0.128386,0.997682,2.690460
1699,-13,876755,1141745.288076,1961313.328613,144789.790755,1135742.801059,1.717820,0.126814,0.994743,2.839378
1709,-13,886885,1152058.532691,2039534.037219,146403.233126,1152764.516091,1.770339,0.127080,1.000613,2.898031
1721,-9,899419,1159728.777699,1634092.473991,149046.193766,1152725.073794,1.409030,0.128518,0.993961,2.531509
1723,-9,901619,1166958.439063,1754807.641423,149875.178178,1148992.336042,1.503745,0.128432,0.984604,2.616781
