=== ERGODIC/EXPLICIT FORMULA ATTACK ===
Computing key quantities for small M(p) <= -3 primes

Computing Mertens function...
     p   M(p)        n      C_W        C/A        D/A
  1123    -12   382805   0.6462   0.127651   0.982521
  1129    -12   386941   0.6483   0.127376   0.983081
  1151     -6   402063   0.6301   0.130108   1.001733
  1153     -7   403597   0.6340   0.131197   0.990391
  1163     -6   410565   0.6329   0.130409   0.995220
  1171     -5   416195   0.6326   0.131055   0.990832
  1181     -6   423339   0.6299   0.131107   0.999677
  1187     -8   427639   0.6321   0.129694   1.001139
  1193     -6   432073   0.6295   0.130814   1.002010
  1201     -5   437787   0.6296   0.131941   0.992511
  1223     -3   454049   0.6267   0.130882   0.999045
  1237     -3   464497   0.6334   0.130271   1.005391
  1249     -3   473559   0.6311   0.131541   0.996626
  1499     -3   682285   0.6399   0.128597   0.998880
  1511     -3   693213   0.6371   0.128724   1.003410
  1553     -4   732321   0.6349   0.130146   0.992349
  1559     -4   738073   0.6348   0.129345   0.999347
  1567     -3   745543   0.6343   0.130127   1.002206
  1571     -4   749449   0.6367   0.130048   0.995685
  1579     -4   757149   0.6373   0.129419   1.000218
  1583     -7   760983   0.6408   0.128213   0.997625
  1597     -5   774301   0.6364   0.130290   0.996991
  1601     -8   778233   0.6392   0.129909   0.990531
  1607    -10   784097   0.6421   0.128688   0.995395
  1609    -11   786231   0.6456   0.127880   0.992779
  1613    -11   790155   0.6473   0.128089   0.990256
  1619    -13   795903   0.6502   0.126249   1.000473
  1621    -14   797953   0.6555   0.126960   0.972863
  1627    -14   803875   0.6569   0.125732   0.990577
  1637    -16   813829   0.6584   0.124988   0.993213
  1657    -10   833681   0.6403   0.129523   0.994157
  1663    -11   839809   0.6453   0.127730   0.995689
  1667    -12   843775   0.6470   0.127886   0.989727
  1669    -13   845993   0.6530   0.126649   0.987945
  1693     -9   870415   0.6391   0.129483   0.995040
  1697    -11   874495   0.6440   0.128386   0.997682
  1699    -13   876755   0.6505   0.126814   0.994743
  1709    -13   886885   0.6489   0.127080   1.000613
  1721     -9   899419   0.6441   0.128518   0.993961
  1723     -9   901619   0.6465   0.128432   0.984604
  1733     -9   912079   0.6442   0.128329   0.997088
  1741     -9   920495   0.6438   0.128872   0.991222
  1747    -11   926843   0.6454   0.127903   0.995706
  1753    -12   933229   0.6478   0.127911   0.987481
  1759    -12   939681   0.6510   0.126382   0.995929
  1777     -7   958839   0.6459   0.128545   0.983310
  1783     -7   965431   0.6445   0.128800   0.995607
  1787     -8   969697   0.6441   0.128405   0.992509
  1789     -9   972075   0.6473   0.127855   0.990793
  1801     -7   985059   0.6440   0.129293   0.984396
  1811     -7   996023   0.6420   0.128707   0.997938
  1823     -3  1009345   0.6382   0.129085   1.002480
  1831     -3  1018143   0.6377   0.129824   0.998275
  1873     -3  1065423   0.6395   0.130225   0.989801
  1877     -3  1070023   0.6398   0.129582   0.994185
  1879     -5  1072523   0.6427   0.128412   0.999749
  1889     -7  1083693   0.6395   0.128654   1.001789
  1901     -4  1097459   0.6384   0.130000   0.995797
  1907     -5  1104439   0.6392   0.129352   0.996023
  1913     -6  1111493   0.6401   0.129123   0.998735
  1933     -3  1134849   0.6407   0.129639   0.997466

