p,M_p,R,B_plus_C_sign,margin_above_neg1
1571,-4,7.729269,1,8.729269
1579,-4,7.616030,1,8.616030
1583,-7,9.909812,1,10.909812
1597,-5,8.028595,1,9.028595
1601,-8,10.112700,1,11.112700
1607,-10,11.105462,1,12.105462
1609,-11,12.206635,1,13.206635
1613,-11,12.836577,1,13.836577
1619,-13,14.459858,1,15.459858
1621,-14,15.441268,1,16.441268
1627,-14,15.660151,1,16.660151
1637,-16,16.057039,1,17.057039
1657,-10,11.853272,1,12.853272
1663,-11,12.588872,1,13.588872
1667,-12,13.805592,1,14.805592
1669,-13,14.964100,1,15.964100
1693,-9,10.680918,1,11.680918
1697,-11,12.185060,1,13.185060
1699,-13,13.545937,1,14.545937
1709,-13,13.930936,1,14.930936
1721,-9,10.963665,1,11.963665
1723,-9,11.708461,1,12.708461
1733,-9,11.359337,1,12.359337
1741,-9,10.829140,1,11.829140
1747,-11,12.126737,1,13.126737
1753,-12,13.117991,1,14.117991
1759,-12,12.913603,1,13.913603
1777,-7,9.682778,1,10.682778
1783,-7,9.649814,1,10.649814
1787,-8,10.631966,1,11.631966
1789,-9,11.792410,1,12.792410
1801,-7,9.661077,1,10.661077
1811,-7,9.694485,1,10.694485
1823,-3,7.058389,1,8.058389
1831,-3,7.086550,1,8.086550
1847,-2,5.113949,1,6.113949
1861,0,3.682819,1,4.682819
1867,-1,4.120989,1,5.120989
1871,-2,5.152048,1,6.152048
1873,-3,6.137866,1,7.137866
1877,-3,6.845333,1,7.845333
1879,-5,8.165949,1,9.165949
1889,-7,10.082188,1,11.082188
1901,-4,7.811684,1,8.811684
1907,-5,8.349241,1,9.349241
1913,-6,8.788369,1,9.788369
1931,-2,5.407351,1,6.407351
1933,-3,6.177264,1,7.177264
1949,2,2.897328,1,3.897328
1951,1,3.784974,1,4.784974
1973,4,1.050030,1,2.050030
1979,4,1.581488,1,2.581488
1987,6,0.019888,1,1.019888
1993,5,0.962060,1,1.962060
1997,6,0.745194,1,1.745194
1999,5,1.819576,1,2.819576
2003,4,3.069054,1,4.069054
2011,4,3.163854,1,4.163854
2017,0,5.733254,1,6.733254
2027,2,4.703495,1,5.703495
2029,1,5.698054,1,6.698054
2039,2,5.362324,1,6.362324
2053,8,1.346214,1,2.346214
2063,7,1.685827,1,2.685827
2069,5,3.727083,1,4.727083
2081,7,2.216346,1,3.216346
2083,5,3.607261,1,4.607261
2087,2,5.294811,1,6.294811
2089,1,6.297543,1,7.297543
2099,0,6.869648,1,7.869648
2111,1,5.972407,1,6.972407
2113,0,6.930797,1,7.930797
2129,2,5.185423,1,6.185423
2131,2,5.901990,1,6.901990
2137,-1,8.280167,1,9.280167
2141,-2,9.586397,1,10.586397
2143,-3,10.487879,1,11.487879
2153,-2,9.629911,1,10.629911
2161,-2,9.009457,1,10.009457
2179,2,5.472603,1,6.472603
2203,8,0.890496,1,1.890496
2207,8,1.696382,1,2.696382
2213,7,3.164307,1,4.164307
2221,10,1.060639,1,2.060639
2237,10,0.911739,1,1.911739
2239,8,2.207993,1,3.207993
2243,6,3.645331,1,4.645331
2251,7,2.715742,1,3.715742
2267,7,2.518194,1,3.518194
2269,6,3.496379,1,4.496379
2273,5,4.215786,1,5.215786
2281,3,5.081172,1,6.081172
2287,3,4.866327,1,5.866327
