scenario,seed,kernel,kernel_param,match_mode,mode,alpha,cross_curve_ratio,cross_curve_cv,max_within_cv,score,passes_old_gate,passes_primary_gate,mean_37a1,mean_11a1,mean_389a1,cv_37a1,cv_11a1,cv_389a1,tail_ratio,tail_max_cv,tail_slope_37a1,tail_slope_11a1,tail_slope_389a1,loo_k_pass_count,loo_k_ratio_min,loo_k_ratio_max,loo_k_ratio_range,loo_k_maxcv_min,loo_k_maxcv_max,loo_k_maxcv_range
real,,exponential,3,discrete_both,PL2_only,0.75,1.356581553160334,0.13024759325148355,0.075540252739560623,0.38050822432963732,True,False,1.5906392771191737,1.2083471279636326,1.6392214236097336,0.046101071614512927,0.051831761029066122,0.075540252739560623,1.3198123164835127,0.056124179156970454,0.021388870683621507,-0.015104150190958125,-0.039881602756895229,7,1.3338056088762702,1.3711820606844758,0.037376451808205591,0.066370481158134528,0.081551451107367223,0.015180969949232695
real,,exponential,3,discrete_both,P_only,0.75,1.3566747525808029,0.13026066065182884,0.075590495927798054,0.38062716682970044,True,False,1.5905928103492415,1.2083471279636326,1.6393340408617851,0.046105428482691155,0.051831761029066122,0.075590495927798054,1.3198132408423175,0.056124266495559655,0.021389004389345947,-0.015104150190958125,-0.039882552003548469,7,1.3338247470105062,1.3712906546856927,0.037465907675186427,0.066423834609852059,0.081607315930626617,0.015183481320774558
real,,exponential,3,discrete_both,all,0.75,1.343655150182075,0.1299902666886194,0.073502872575141528,0.36889649706666083,True,False,1.5797399367601028,1.1862783154963823,1.5939489681660306,0.044539095661672017,0.0207599572730379,0.073502872575141528,1.4007019147557846,0.056032281908149385,0.024966728426087312,0.0076713923276637086,-0.037908192669153996,7,1.3220364618638969,1.3716742032824905,0.049637741418593562,0.062967007986974924,0.079268377726000969,0.016301369739026045
real,,exponential,3,discrete_both,cP_only,0.75,1.3437467216265471,0.12999982734775509,0.073546408688848583,0.36900818185992945,True,False,1.5796934079121914,1.1862783154963823,1.5940575973849265,0.044538053140107024,0.0207599572730379,0.073546408688848583,1.4007017774894361,0.056032325112110974,0.024966862131811752,0.0076713923276637086,-0.037909141915807146,7,1.3221428763827334,1.3717757346783912,0.049632858295657778,0.063012525442548747,0.079317618655309091,0.016305093212760344
real,,exponential,3,none,PL2_only,0.5,1.4968344785168755,0.16990829944408653,0.12002175591007115,0.52337428644138051,False,False,1.7145129515218265,1.1850420919345237,1.7738118617013598,0.024068453754408681,0.032866090447017431,0.12002175591007115,1.4945740017999176,0.032271463750543808,0.0091766275191458337,-0.024095851489399182,-0.031867297092116213,0,1.4542769534552225,1.5264317390829245,0.072154785627702056,0.044198609519212326,0.12968726564705865,0.085488656127846327
real,,exponential,3,none,PL2_only,0.65,1.4600571528017481,0.15875536306887461,0.090427004887684639,0.4689025855963766,False,False,1.6381193153708422,1.1696210584834332,1.7077135925062883,0.071476247711310975,0.053021985971783189,0.090427004887684639,1.4465822627649825,0.090791448599705032,0.019263787398309487,0.010004437712128784,-0.0023777655055788232,0,1.4334482212374244,1.4831827232982502,0.049734502060825747,0.075702268014924495,0.097716555792925389,0.022014287778000893
real,,exponential,3,none,PL2_only,0.75,1.4081775538566461,0.14368378923919203,0.070957907474905768,0.41325426085173489,True,False,1.604316042257079,1.1902634916475652,1.676102332113139,0.064001705995052255,0.055715835083757534,0.070957907474905768,1.3826309877036946,0.066928779852010054,0.027190858010862125,0.0082104730473540454,-0.017084895499140176,6,1.3929587676581308,1.4295423809309591,0.03658361327282833,0.06206169573026267,0.076659285943441444,0.014597590213178774
real,,exponential,3,none,PL2_only,0.85,1.3561047445614054,0.13062734024103637,0.075155805716167146,0.37977223750288402,True,False,1.5934835425325262,1.2070240205238556,1.6368510010319837,0.04816099221433745,0.050172659620850893,0.075155805716167146,1.3280144337840498,0.052102738799518426,0.021700384417322194,-0.015813630449217148,-0.039772684350388166,7,1.3341334867184136,1.3702621052265302,0.036128618508116661,0.065505655664213347,0.080808860379555966,0.015303204715342619
real,,exponential,3,none,PL2_only,0.92,1.3788445009952339,0.14033797197860112,0.059284240557759403,0.38053007086085577,True,False,1.6348132100607697,1.1856400115319607,1.6164837309258977,0.059284240557759403,0.049539362126739421,0.048170961083769552,1.3691220447379691,0.029593742989108177,0.018117487438856328,-0.010922715735101498,0.00108284293123987,7,1.3493336355888657,1.3909053873014317,0.041571751712565996,0.051027010826710593,0.063725928788773048,0.012698917962062455
real,,exponential,3,none,P_only,0.5,1.4971208726733856,0.16995315722698842,0.12043728122979448,0.52398112667651819,False,False,1.714489758336154,1.1850420919345237,1.7741512508317085,0.024103658230233038,0.032866090447017431,0.12043728122979448,1.494574384676179,0.032272189776536099,0.009176356916144858,-0.024095851489399182,-0.031868680371930087,0,1.4542821649027005,1.5267829603614691,0.072500795458768641,0.044215166154458981,0.13014307273429526,0.085927906579836288
