scenario,seed,kernel,kernel_param,match_mode,match_basis,match_target_mass,mode,alpha,effective_alpha_n,effective_alpha_p,curve,source_curve,true_rank,assigned_rank,conductor,K,c,P,D,D_zeta2,L2,L2_rank_power,X,p_max,prime_count,product_complete
real,,exponential,3,none,alpha,0.5,PL2_only,0.5,0.5,0.5,389a1,389a1,2,2,389,300000,114.791620231412,0.001155926235752129,0.13269064546998402,0.218267363085657,0.36009301710817759,0.12966698097007029,1.6832917790847419,299993,25997,True
real,,exponential,3,none,alpha,0.5,all,0.5,0.5,0.5,37a1,37a1,1,1,37,1000000,41.367489845530372,0.0094671820938431496,0.39163355913284348,0.64421138313863358,0.38157545035812263,0.38157545035812263,1.6882935800351344,999983,78498,True
real,,exponential,3,none,alpha,0.5,cP_only,0.5,0.5,0.5,37a1,37a1,1,1,37,1000000,41.367489845530372,0.0094671820938431496,0.39163355913284348,0.64421138313863358,0.38157543589070936,0.38157543589070936,1.6882936440466998,999983,78498,True
real,,exponential,3,none,alpha,0.5,P_only,0.5,0.5,0.5,37a1,37a1,1,1,37,1000000,43.066209759173361,0.0094671820938431496,0.40771564988173914,0.67066536207763672,0.38157543589070936,0.38157543589070936,1.7576219509835753,999983,78498,True
real,,exponential,3,none,alpha,0.5,PL2_only,0.5,0.5,0.5,37a1,37a1,1,1,37,1000000,43.066209759173361,0.0094671820938431496,0.40771564988173914,0.67066536207763672,0.38157545035812263,0.38157545035812263,1.7576218843434308,999983,78498,True
real,,exponential,3,none,alpha,0.5,all,0.5,0.5,0.5,11a1,11a1,0,0,11,1000000,4.0169855320037753,0.17617228719226516,0.70768152879134316,1.1640894551881142,0.54604798465943127,1,1.1640894551881142,999983,78498,True
real,,exponential,3,none,alpha,0.5,cP_only,0.5,0.5,0.5,11a1,11a1,0,0,11,1000000,4.0169855320037753,0.17617228719226516,0.70768152879134316,1.1640894551881142,0.54604800914946272,1,1.1640894551881142,999983,78498,True
real,,exponential,3,none,alpha,0.5,P_only,0.5,0.5,0.5,11a1,11a1,0,0,11,1000000,3.8279107011234008,0.17617228719226516,0.67437178338465686,1.1092971202106148,0.54604800914946272,1,1.1092971202106148,999983,78498,True
real,,exponential,3,none,alpha,0.5,PL2_only,0.5,0.5,0.5,11a1,11a1,0,0,11,1000000,3.8279107011234008,0.17617228719226516,0.67437178338465686,1.1092971202106148,0.54604798465943127,1,1.1092971202106148,999983,78498,True
real,,exponential,3,none,alpha,0.5,all,0.5,0.5,0.5,389a1,389a1,2,2,389,1000000,127.36219132188437,0.00090632499856110286,0.11543153786654575,0.18987726902536214,0.36009290116033132,0.12966689746606413,1.4643465119928238,999983,78498,True
real,,exponential,3,none,alpha,0.5,cP_only,0.5,0.5,0.5,389a1,389a1,2,2,389,1000000,127.36219132188437,0.00090632499856110286,0.11543153786654575,0.18987726902536214,0.36009289173670006,0.12966689067929879,1.4643465886367235,999983,78498,True
real,,exponential,3,none,alpha,0.5,P_only,0.5,0.5,0.5,389a1,389a1,2,2,389,1000000,137.13660888176958,0.00090632499856110286,0.12429033684744434,0.20444940926040259,0.36009289173670006,0.12966689067929879,1.5767279387153745,999983,78498,True
real,,exponential,3,none,alpha,0.5,PL2_only,0.5,0.5,0.5,389a1,389a1,2,2,389,1000000,137.13660888176958,0.00090632499856110286,0.12429033684744434,0.20444940926040259,0.36009290116033132,0.12966689746606413,1.5767278561894351,999983,78498,True
real,,exponential,3,none,alpha,0.65000000000000002,all,0.65,0.65000000000000002,0.65000000000000002,37a1,37a1,1,1,37,1000,19.83505532227905,0.016302879297065576,0.3233685127697335,0.53191988280098035,0.38153488318910816,0.38153488318910816,1.3941579295577378,997,168,True
real,,exponential,3,none,alpha,0.65000000000000002,cP_only,0.65,0.65000000000000002,0.65000000000000002,37a1,37a1,1,1,37,1000,19.83505532227905,0.016302879297065576,0.3233685127697335,0.53191988280098035,0.38166426104492446,0.38166426104492446,1.3936853331372565,997,168,True
real,,exponential,3,none,alpha,0.65000000000000002,P_only,0.65,0.65000000000000002,0.65000000000000002,37a1,37a1,1,1,37,1000,20.14780821157591,0.016302879297065576,0.3284672853737487,0.54030702755643745,0.38166426104492446,0.38166426104492446,1.4156605234065645,997,168,True
real,,exponential,3,none,alpha,0.65000000000000002,PL2_only,0.65,0.65000000000000002,0.65000000000000002,37a1,37a1,1,1,37,1000,20.14780821157591,0.016302879297065576,0.3284672853737487,0.54030702755643745,0.38153488318910816,0.38153488318910816,1.4161405715781792,997,168,True
real,,exponential,3,none,alpha,0.65000000000000002,all,0.65,0.65000000000000002,0.65000000000000002,11a1,11a1,0,0,11,1000,3.8336346257269796,0.18549683824863009,0.71112710207282503,1.1697571960586459,0.54601712235607436,1,1.1697571960586459,997,168,True
real,,exponential,3,none,alpha,0.65000000000000002,cP_only,0.65,0.65000000000000002,0.65000000000000002,11a1,11a1,0,0,11,1000,3.8336346257269796,0.18549683824863009,0.71112710207282503,1.1697571960586459,0.5460478673445236,1,1.1697571960586459,997,168,True
real,,exponential,3,none,alpha,0.65000000000000002,P_only,0.65,0.65000000000000002,0.65000000000000002,11a1,11a1,0,0,11,1000,3.8534284234510268,0.18549683824863009,0.71479878896756877,1.17579687891461,0.5460478673445236,1,1.17579687891461,997,168,True
real,,exponential,3,none,alpha,0.65000000000000002,PL2_only,0.65,0.65000000000000002,0.65000000000000002,11a1,11a1,0,0,11,1000,3.8534284234510268,0.18549683824863009,0.71479878896756877,1.17579687891461,0.54601712235607436,1,1.17579687891461,997,168,True
real,,exponential,3,none,alpha,0.65000000000000002,all,0.65,0.65000000000000002,0.65000000000000002,389a1,389a1,2,2,389,1000,34.047726783092706,0.0041198780427564863,0.14027248197943556,0.23073898424932748,0.36022776493219333,0.12976404262804353,1.778142693278439,997,168,True
real,,exponential,3,none,alpha,0.65000000000000002,cP_only,0.65,0.65000000000000002,0.65000000000000002,389a1,389a1,2,2,389,1000,34.047726783092706,0.0041198780427564863,0.14027248197943556,0.23073898424932748,0.36011312749674285,0.12968146459548538,1.7792749717091045,997,168,True
real,,exponential,3,none,alpha,0.65000000000000002,P_only,0.65,0.65000000000000002,0.65000000000000002,389a1,389a1,2,2,389,1000,37.437233881897761,0.0041198780427564863,0.15423683785156975,0.2537094289449931,0.36011312749674285,0.12968146459548538,1.9564047162513734,997,168,True
real,,exponential,3,none,alpha,0.65000000000000002,PL2_only,0.65,0.65000000000000002,0.65000000000000002,389a1,389a1,2,2,389,1000,37.437233881897761,0.0041198780427564863,0.15423683785156975,0.2537094289449931,0.36022776493219333,0.12976404262804353,1.9551597176440272,997,168,True
real,,exponential,3,none,alpha,0.65000000000000002,all,0.65,0.65000000000000002,0.65000000000000002,37a1,37a1,1,1,37,3000,23.245486519690338,0.015177737606140541,0.35281389492293702,0.58035559501614964,0.38158092242650393,0.38158092242650393,1.5209240318557371,2999,430,True
real,,exponential,3,none,alpha,0.65000000000000002,cP_only,0.65,0.65000000000000002,0.65000000000000002,37a1,37a1,1,1,37,3000,23.245486519690338,0.015177737606140541,0.35281389492293702,0.58035559501614964,0.38159008905305708,0.38159008905305708,1.5208874959418974,2999,430,True
real,,exponential,3,none,alpha,0.65000000000000002,P_only,0.65,0.65000000000000002,0.65000000000000002,37a1,37a1,1,1,37,3000,23.946137343569369,0.015177737606140541,0.36344818928129918,0.5978483080831114,0.38159008905305708,0.38159008905305708,1.5667291295922137,2999,430,True
real,,exponential,3,none,alpha,0.65000000000000002,PL2_only,0.65,0.65000000000000002,0.65000000000000002,37a1,37a1,1,1,37,3000,23.946137343569369,0.015177737606140541,0.36344818928129918,0.5978483080831114,0.38158092242650393,0.38158092242650393,1.5667667667485725,2999,430,True
real,,exponential,3,none,alpha,0.65000000000000002,all,0.65,0.65000000000000002,0.65000000000000002,11a1,11a1,0,0,11,3000,3.8109180077307525,0.18726467919324771,0.7136503381494701,1.1739077530398199,0.5460420351098596,1,1.1739077530398199,2999,430,True
real,,exponential,3,none,alpha,0.65000000000000002,cP_only,0.65,0.65000000000000002,0.65000000000000002,11a1,11a1,0,0,11,3000,3.8109180077307525,0.18726467919324771,0.7136503381494701,1.1739077530398199,0.54602137063872891,1,1.1739077530398199,2999,430,True
real,,exponential,3,none,alpha,0.65000000000000002,P_only,0.65,0.65000000000000002,0.65000000000000002,11a1,11a1,0,0,11,3000,4.1187060161140892,0.18726467919324771,0.77128816079890428,1.2687181710548303,0.54602137063872891,1,1.2687181710548303,2999,430,True
real,,exponential,3,none,alpha,0.65000000000000002,PL2_only,0.65,0.65000000000000002,0.65000000000000002,11a1,11a1,0,0,11,3000,4.1187060161140892,0.18726467919324771,0.77128816079890428,1.2687181710548303,0.5460420351098596,1,1.2687181710548303,2999,430,True
real,,exponential,3,none,alpha,0.65000000000000002,all,0.65,0.65000000000000002,0.65000000000000002,389a1,389a1,2,2,389,3000,45.284007084488962,0.0028936653971903211,0.13103676434650707,0.21554683768313257,0.36011747087533047,0.12968459282964448,1.6620851635496743,2999,430,True
